Time,credit karma
2023-12-22,70
2023-12-23,62
2023-12-24,51
2023-12-25,43
2023-12-26,68
2023-12-27,74
2023-12-28,72
2023-12-29,75
2023-12-30,67
2023-12-31,61
2024-01-01,64
2024-01-02,79
2024-01-03,84
2024-01-04,79
2024-01-05,78
2024-01-06,81
2024-01-07,72
2024-01-08,76
2024-01-09,69
2024-01-10,71
2024-01-11,71
2024-01-12,70
2024-01-13,71
2024-01-14,65
2024-01-15,67
2024-01-16,70
2024-01-17,73
2024-01-18,75
2024-01-19,83
2024-01-20,82
2024-01-21,67
2024-01-22,76
2024-01-23,80
2024-01-24,87
2024-01-25,84
2024-01-26,83
2024-01-27,83
2024-01-28,75
2024-01-29,85
2024-01-30,90
2024-01-31,87
2024-02-01,84
2024-02-02,100
2024-02-03,87
2024-02-04,82
2024-02-05,87
2024-02-06,92
2024-02-07,99
2024-02-08,88
2024-02-09,84
2024-02-10,88
2024-02-11,74
2024-02-12,73
2024-02-13,84
2024-02-14,75
2024-02-15,84
2024-02-16,87
2024-02-17,87
2024-02-18,88
2024-02-19,81
2024-02-20,92
2024-02-21,95
2024-02-22,100
2024-02-23,95
2024-02-24,89
2024-02-25,78
2024-02-26,82
2024-02-27,85
2024-02-28,83
2024-02-29,85
2024-03-01,83
2024-03-02,84
2024-03-03,80
2024-03-04,89
2024-03-05,92
2024-03-06,89
2024-03-07,85
2024-03-08,80
2024-03-09,84
2024-03-10,77
2024-03-11,82
2024-03-12,79
2024-03-13,86
2024-03-14,76
2024-03-15,78
2024-03-16,79
2024-03-17,75
2024-03-18,83
2024-03-19,85
2024-03-20,82
2024-03-21,80
2024-03-22,82
2024-03-23,84
2024-03-24,72
2024-03-25,86
2024-03-26,82
2024-03-27,78
2024-03-28,78
2024-03-29,86
2024-03-30,69
2024-03-31,61
2024-04-01,79
2024-04-02,76
2024-04-03,79
2024-04-04,78
2024-04-05,77
2024-04-06,76
2024-04-07,74
2024-04-08,68
2024-04-09,76
2024-04-10,87
2024-04-11,79
2024-04-12,81
2024-04-13,79
2024-04-14,79
2024-04-15,84
2024-04-16,83
2024-04-17,73
2024-04-18,73
2024-04-19,77
2024-04-20,74
2024-04-21,69
2024-04-22,84
2024-04-23,77
2024-04-24,75
2024-04-25,76
2024-04-26,76
2024-04-27,69
2024-04-28,68
2024-04-29,75
2024-04-30,70
2024-05-01,77
2024-05-02,74
2024-05-03,73
2024-05-04,70
2024-05-05,67
2024-05-06,87
2024-05-07,73
2024-05-08,75
2024-05-09,71
2024-05-10,75
2024-05-11,69
2024-05-12,60
2024-05-13,77
2024-05-14,77
2024-05-15,74
2024-05-16,73
2024-05-17,72
2024-05-18,70
2024-05-19,64
2024-05-20,74
2024-05-21,72
2024-05-22,72
2024-05-23,73
2024-05-24,69
2024-05-25,64
2024-05-26,58
2024-05-27,64
2024-05-28,70
2024-05-29,70
2024-05-30,70
2024-05-31,66
2024-06-01,63
2024-06-02,59
2024-06-03,76
2024-06-04,73
2024-06-05,73
2024-06-06,69
2024-06-07,72
2024-06-08,66
2024-06-09,64
2024-06-10,76
2024-06-11,74
2024-06-12,71
2024-06-13,74
2024-06-14,72
2024-06-15,65
2024-06-16,57
2024-06-17,70
2024-06-18,73
2024-06-19,70
2024-06-20,65
2024-06-21,71
2024-06-22,64
2024-06-23,62
2024-06-24,77
2024-06-25,74
2024-06-26,70
2024-06-27,75
2024-06-28,69
2024-06-29,66
2024-06-30,58
2024-07-01,69
2024-07-02,76
2024-07-03,73
2024-07-04,60
2024-07-05,70
2024-07-06,61
2024-07-07,62
2024-07-08,75
2024-07-09,70
2024-07-10,70
2024-07-11,67
2024-07-12,72
2024-07-13,61
2024-07-14,53
2024-07-15,63
2024-07-16,75
2024-07-17,71
2024-07-18,71
2024-07-19,68
2024-07-20,63
2024-07-21,58
2024-07-22,66
2024-07-23,69
2024-07-24,65
2024-07-25,70
2024-07-26,70
2024-07-27,60
2024-07-28,56
2024-07-29,75
2024-07-30,76
2024-07-31,66
2024-08-01,67
2024-08-02,69
2024-08-03,62
2024-08-04,58
2024-08-05,69
2024-08-06,74
2024-08-07,69
2024-08-08,68
2024-08-09,70
2024-08-10,57
2024-08-11,55
2024-08-12,66
2024-08-13,69
2024-08-14,71
2024-08-15,81
2024-08-16,79
2024-08-17,71
2024-08-18,64
2024-08-19,77
2024-08-20,70
2024-08-21,81
2024-08-22,71
2024-08-23,65
2024-08-24,59
2024-08-25,62
2024-08-26,70
2024-08-27,71
2024-08-28,70
2024-08-29,72
2024-08-30,67
2024-08-31,60
2024-09-01,59
2024-09-02,66
2024-09-03,69
2024-09-04,71
2024-09-05,70
2024-09-06,67
2024-09-07,65
2024-09-08,54
2024-09-09,61
2024-09-10,60
2024-09-11,60
2024-09-12,62
2024-09-13,64
2024-09-14,56
2024-09-15,52
2024-09-16,62
