Time,ncaa women's basketball
2023-04-26,6
2023-04-27,6
2023-04-28,6
2023-04-29,5
2023-04-30,3
2023-05-01,8
2023-05-02,4
2023-05-03,5
2023-05-04,6
2023-05-05,7
2023-05-06,7
2023-05-07,3
2023-05-08,5
2023-05-09,4
2023-05-10,3
2023-05-11,3
2023-05-12,3
2023-05-13,3
2023-05-14,5
2023-05-15,5
2023-05-16,3
2023-05-17,2
2023-05-18,4
2023-05-19,5
2023-05-20,5
2023-05-21,4
2023-05-22,6
2023-05-23,5
2023-05-24,3
2023-05-25,4
2023-05-26,4
2023-05-27,5
2023-05-28,8
2023-05-29,0
2023-05-30,5
2023-05-31,3
2023-06-01,4
2023-06-02,5
2023-06-03,4
2023-06-04,4
2023-06-05,6
2023-06-06,2
2023-06-07,5
2023-06-08,4
2023-06-09,4
2023-06-10,0
2023-06-11,5
2023-06-12,4
2023-06-13,3
2023-06-14,3
2023-06-15,3
2023-06-16,3
2023-06-17,0
2023-06-18,5
2023-06-19,4
2023-06-20,3
2023-06-21,0
2023-06-22,3
2023-06-23,3
2023-06-24,4
2023-06-25,5
2023-06-26,5
2023-06-27,6
2023-06-28,4
2023-06-29,3
2023-06-30,3
2023-07-01,3
2023-07-02,4
2023-07-03,0
2023-07-04,3
2023-07-05,0
2023-07-06,0
2023-07-07,3
2023-07-08,5
2023-07-09,0
2023-07-10,3
2023-07-11,0
2023-07-12,3
2023-07-13,0
2023-07-14,0
2023-07-15,6
2023-07-16,0
2023-07-17,3
2023-07-18,4
2023-07-19,4
2023-07-20,3
2023-07-21,3
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,3
2023-07-28,3
2023-07-29,0
2023-07-30,0
2023-07-31,3
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,3
2023-08-05,6
2023-08-06,3
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,4
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,4
2023-08-16,0
2023-08-17,3
2023-08-18,0
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,3
2023-08-25,0
2023-08-26,0
2023-08-27,4
2023-08-28,0
2023-08-29,3
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,3
2023-09-03,3
2023-09-04,0
2023-09-05,5
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,3
2023-09-11,0
2023-09-12,4
2023-09-13,3
2023-09-14,3
2023-09-15,0
2023-09-16,0
2023-09-17,0
2023-09-18,0
2023-09-19,3
2023-09-20,3
2023-09-21,4
2023-09-22,2
2023-09-23,3
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,4
2023-09-28,3
2023-09-29,2
2023-09-30,5
2023-10-01,5
2023-10-02,0
2023-10-03,0
2023-10-04,4
2023-10-05,0
2023-10-06,4
2023-10-07,3
2023-10-08,5
2023-10-09,0
2023-10-10,3
2023-10-11,2
2023-10-12,3
2023-10-13,0
2023-10-14,4
2023-10-15,7
2023-10-16,6
2023-10-17,8
2023-10-18,6
2023-10-19,7
2023-10-20,4
2023-10-21,24
2023-10-22,8
2023-10-23,5
2023-10-24,6
2023-10-25,5
2023-10-26,9
2023-10-27,8
2023-10-28,5
2023-10-29,7
2023-10-30,5
2023-10-31,3
2023-11-01,6
2023-11-02,7
2023-11-03,8
2023-11-04,10
2023-11-05,10
2023-11-06,27
2023-11-07,64
2023-11-08,29
2023-11-09,36
2023-11-10,53
2023-11-11,41
2023-11-12,62
2023-11-13,69
2023-11-14,37
2023-11-15,35
2023-11-16,31
2023-11-17,56
2023-11-18,49
2023-11-19,56
2023-11-20,48
2023-11-21,35
2023-11-22,31
2023-11-23,28
2023-11-24,53
2023-11-25,74
2023-11-26,63
2023-11-27,43
2023-11-28,31
2023-11-29,26
2023-11-30,34
2023-12-01,50
2023-12-02,43
2023-12-03,59
2023-12-04,34
2023-12-05,29
2023-12-06,34
2023-12-07,54
2023-12-08,30
2023-12-09,42
2023-12-10,66
2023-12-11,38
2023-12-12,25
2023-12-13,27
2023-12-14,20
2023-12-15,24
2023-12-16,42
2023-12-17,56
2023-12-18,31
2023-12-19,35
2023-12-20,36
2023-12-21,36
2023-12-22,34
2023-12-23,29
2023-12-24,21
2023-12-25,16
2023-12-26,18
2023-12-27,19
2023-12-28,23
2023-12-29,25
2023-12-30,57
2023-12-31,56
2024-01-01,31
2024-01-02,28
2024-01-03,50
2024-01-04,49
2024-01-05,48
2024-01-06,61
2024-01-07,57
2024-01-08,37
2024-01-09,34
2024-01-10,33
2024-01-11,51
2024-01-12,40
2024-01-13,57
2024-01-14,100
2024-01-15,60
2024-01-16,40
2024-01-17,59
2024-01-18,48
2024-01-19,42
2024-01-20,64
