Time,home run derby
2022-08-29,57
2022-08-30,46
2022-08-31,44
2022-09-01,38
2022-09-02,0
2022-09-03,43
2022-09-04,45
2022-09-05,46
2022-09-06,29
2022-09-07,0
2022-09-08,30
2022-09-09,26
2022-09-10,51
2022-09-11,47
2022-09-12,36
2022-09-13,0
2022-09-14,36
2022-09-15,32
2022-09-16,31
2022-09-17,62
2022-09-18,36
2022-09-19,36
2022-09-20,37
2022-09-21,35
2022-09-22,29
2022-09-23,28
2022-09-24,32
2022-09-25,46
2022-09-26,45
2022-09-27,42
2022-09-28,42
2022-09-29,48
2022-09-30,0
2022-10-01,59
2022-10-02,30
2022-10-03,32
2022-10-04,27
2022-10-05,50
2022-10-06,42
2022-10-07,68
2022-10-08,52
2022-10-09,51
2022-10-10,41
2022-10-11,36
2022-10-12,24
2022-10-13,35
2022-10-14,56
2022-10-15,37
2022-10-16,100
2022-10-17,38
2022-10-18,0
2022-10-19,50
2022-10-20,35
2022-10-21,0
2022-10-22,38
2022-10-23,41
2022-10-24,32
2022-10-25,0
2022-10-26,27
2022-10-27,0
2022-10-28,34
2022-10-29,48
2022-10-30,38
2022-10-31,0
2022-11-01,0
2022-11-02,65
2022-11-03,27
2022-11-04,31
2022-11-05,64
2022-11-06,75
2022-11-07,22
2022-11-08,29
2022-11-09,29
2022-11-10,0
2022-11-11,26
2022-11-12,25
2022-11-13,36
2022-11-14,0
2022-11-15,36
2022-11-16,0
2022-11-17,24
2022-11-18,32
2022-11-19,31
2022-11-20,0
2022-11-21,25
2022-11-22,28
2022-11-23,32
2022-11-24,28
2022-11-25,37
2022-11-26,0
2022-11-27,0
2022-11-28,22
2022-11-29,34
2022-11-30,27
2022-12-01,23
2022-12-02,34
2022-12-03,32
2022-12-04,0
2022-12-05,0
2022-12-06,21
2022-12-07,31
2022-12-08,0
2022-12-09,26
2022-12-10,26
2022-12-11,0
2022-12-12,0
2022-12-13,25
2022-12-14,25
2022-12-15,0
2022-12-16,0
2022-12-17,0
2022-12-18,0
2022-12-19,30
2022-12-20,0
2022-12-21,24
2022-12-22,35
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,0
2022-12-27,25
2022-12-28,26
2022-12-29,26
2022-12-30,41
2022-12-31,39
2023-01-01,0
2023-01-02,0
2023-01-03,22
2023-01-04,0
2023-01-05,29
2023-01-06,0
2023-01-07,33
2023-01-08,33
2023-01-09,78
2023-01-10,35
2023-01-11,26
2023-01-12,38
2023-01-13,27
2023-01-14,26
2023-01-15,31
2023-01-16,31
2023-01-17,29
2023-01-18,0
2023-01-19,24
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,29
2023-01-28,0
2023-01-29,0
2023-01-30,24
2023-01-31,0
2023-02-01,23
2023-02-02,30
2023-02-03,22
2023-02-04,0
2023-02-05,0
2023-02-06,24
2023-02-07,0
2023-02-08,0
2023-02-09,23
2023-02-10,0
2023-02-11,0
2023-02-12,28
2023-02-13,35
2023-02-14,0
2023-02-15,27
2023-02-16,27
2023-02-17,26
2023-02-18,0
2023-02-19,51
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,38
2023-02-24,0
2023-02-25,33
2023-02-26,39
2023-02-27,41
2023-02-28,30
2023-03-01,32
2023-03-02,0
2023-03-03,0
2023-03-04,41
2023-03-05,31
2023-03-06,0
2023-03-07,29
2023-03-08,25
2023-03-09,40
2023-03-10,26
2023-03-11,33
2023-03-12,38
2023-03-13,31
2023-03-14,30
2023-03-15,29
2023-03-16,33
2023-03-17,0
2023-03-18,54
2023-03-19,33
2023-03-20,47
2023-03-21,23
2023-03-22,47
2023-03-23,27
2023-03-24,36
2023-03-25,0
2023-03-26,26
2023-03-27,52
2023-03-28,32
2023-03-29,40
2023-03-30,86
2023-03-31,55
2023-04-01,61
2023-04-02,48
2023-04-03,24
2023-04-04,58
2023-04-05,46
2023-04-06,43
2023-04-07,47
2023-04-08,30
2023-04-09,0
2023-04-10,71
2023-04-11,48
2023-04-12,47
2023-04-13,32
2023-04-14,41
2023-04-15,39
2023-04-16,61
2023-04-17,44
2023-04-18,0
2023-04-19,52
2023-04-20,61
2023-04-21,64
2023-04-22,56
2023-04-23,73
2023-04-24,67
2023-04-25,55
2023-04-26,42
2023-04-27,55
2023-04-28,41
2023-04-29,60
2023-04-30,54
2023-05-01,55
2023-05-02,51
2023-05-03,60
2023-05-04,58
2023-05-05,53
2023-05-06,83
2023-05-07,66
2023-05-08,50
2023-05-09,82
2023-05-10,54
2023-05-11,47
2023-05-12,34
2023-05-13,53
2023-05-14,48
2023-05-15,59
2023-05-16,63
2023-05-17,58
2023-05-18,71
2023-05-19,67
2023-05-20,54
2023-05-21,82
2023-05-22,56
2023-05-23,53
2023-05-24,63
2023-05-25,58
