Time,covid vaccine near me
2023-04-26,12
2023-04-27,12
2023-04-28,13
2023-04-29,8
2023-04-30,6
2023-05-01,12
2023-05-02,11
2023-05-03,13
2023-05-04,12
2023-05-05,12
2023-05-06,10
2023-05-07,11
2023-05-08,11
2023-05-09,10
2023-05-10,9
2023-05-11,9
2023-05-12,11
2023-05-13,10
2023-05-14,6
2023-05-15,12
2023-05-16,11
2023-05-17,10
2023-05-18,9
2023-05-19,11
2023-05-20,5
2023-05-21,5
2023-05-22,12
2023-05-23,9
2023-05-24,8
2023-05-25,7
2023-05-26,11
2023-05-27,6
2023-05-28,7
2023-05-29,4
2023-05-30,9
2023-05-31,7
2023-06-01,9
2023-06-02,5
2023-06-03,5
2023-06-04,6
2023-06-05,11
2023-06-06,6
2023-06-07,11
2023-06-08,11
2023-06-09,8
2023-06-10,6
2023-06-11,7
2023-06-12,10
2023-06-13,8
2023-06-14,10
2023-06-15,7
2023-06-16,9
2023-06-17,6
2023-06-18,7
2023-06-19,5
2023-06-20,8
2023-06-21,9
2023-06-22,7
2023-06-23,5
2023-06-24,0
2023-06-25,5
2023-06-26,7
2023-06-27,0
2023-06-28,8
2023-06-29,7
2023-06-30,9
2023-07-01,6
2023-07-02,7
2023-07-03,6
2023-07-04,0
2023-07-05,6
2023-07-06,6
2023-07-07,9
2023-07-08,7
2023-07-09,5
2023-07-10,7
2023-07-11,5
2023-07-12,6
2023-07-13,6
2023-07-14,6
2023-07-15,6
2023-07-16,0
2023-07-17,8
2023-07-18,7
2023-07-19,6
2023-07-20,8
2023-07-21,8
2023-07-22,6
2023-07-23,0
2023-07-24,0
2023-07-25,7
2023-07-26,9
2023-07-27,6
2023-07-28,6
2023-07-29,7
2023-07-30,7
2023-07-31,9
2023-08-01,4
2023-08-02,7
2023-08-03,9
2023-08-04,8
2023-08-05,6
2023-08-06,7
2023-08-07,0
2023-08-08,7
2023-08-09,11
2023-08-10,8
2023-08-11,10
2023-08-12,0
2023-08-13,6
2023-08-14,9
2023-08-15,11
2023-08-16,7
2023-08-17,6
2023-08-18,8
2023-08-19,9
2023-08-20,6
2023-08-21,5
2023-08-22,11
2023-08-23,9
2023-08-24,8
2023-08-25,7
2023-08-26,8
2023-08-27,10
2023-08-28,10
2023-08-29,10
2023-08-30,9
2023-08-31,8
2023-09-01,11
2023-09-02,7
2023-09-03,7
2023-09-04,9
2023-09-05,7
2023-09-06,11
2023-09-07,12
2023-09-08,8
2023-09-09,9
2023-09-10,7
2023-09-11,13
2023-09-12,19
2023-09-13,47
2023-09-14,42
2023-09-15,56
2023-09-16,70
2023-09-17,56
2023-09-18,88
2023-09-19,100
2023-09-20,95
2023-09-21,94
2023-09-22,90
2023-09-23,84
2023-09-24,74
2023-09-25,83
2023-09-26,71
2023-09-27,62
2023-09-28,56
2023-09-29,60
2023-09-30,59
2023-10-01,45
2023-10-02,59
2023-10-03,59
2023-10-04,60
2023-10-05,60
2023-10-06,48
2023-10-07,42
2023-10-08,40
2023-10-09,46
2023-10-10,43
2023-10-11,41
2023-10-12,40
2023-10-13,40
2023-10-14,42
2023-10-15,34
2023-10-16,44
2023-10-17,36
2023-10-18,35
2023-10-19,34
2023-10-20,29
2023-10-21,25
2023-10-22,20
2023-10-23,31
2023-10-24,37
2023-10-25,26
2023-10-26,30
2023-10-27,29
2023-10-28,18
2023-10-29,19
2023-10-30,28
2023-10-31,23
2023-11-01,22
2023-11-02,23
2023-11-03,23
2023-11-04,20
2023-11-05,17
2023-11-06,23
2023-11-07,23
2023-11-08,21
2023-11-09,19
2023-11-10,21
2023-11-11,20
2023-11-12,15
2023-11-13,19
2023-11-14,22
2023-11-15,18
2023-11-16,17
2023-11-17,19
2023-11-18,17
2023-11-19,14
2023-11-20,16
2023-11-21,19
2023-11-22,15
2023-11-23,8
2023-11-24,11
2023-11-25,17
2023-11-26,11
2023-11-27,16
2023-11-28,17
2023-11-29,17
2023-11-30,13
2023-12-01,14
2023-12-02,14
2023-12-03,10
2023-12-04,13
2023-12-05,12
2023-12-06,14
2023-12-07,12
2023-12-08,13
2023-12-09,10
2023-12-10,14
2023-12-11,12
2023-12-12,11
2023-12-13,15
2023-12-14,16
2023-12-15,10
2023-12-16,11
2023-12-17,13
2023-12-18,13
2023-12-19,20
2023-12-20,16
2023-12-21,15
2023-12-22,14
2023-12-23,11
2023-12-24,5
2023-12-25,6
2023-12-26,16
2023-12-27,15
2023-12-28,16
2023-12-29,14
2023-12-30,10
2023-12-31,10
2024-01-01,11
2024-01-02,13
2024-01-03,20
2024-01-04,20
2024-01-05,18
2024-01-06,16
2024-01-07,10
2024-01-08,16
2024-01-09,10
2024-01-10,11
2024-01-11,12
2024-01-12,11
2024-01-13,13
2024-01-14,11
2024-01-15,8
2024-01-16,10
2024-01-17,10
2024-01-18,10
2024-01-19,10
2024-01-20,9
