Time,hulu
2022-01-01,46
2022-01-02,46
2022-01-03,36
2022-01-04,38
2022-01-05,34
2022-01-06,28
2022-01-07,35
2022-01-08,39
2022-01-09,45
2022-01-10,34
2022-01-11,35
2022-01-12,33
2022-01-13,34
2022-01-14,26
2022-01-15,40
2022-01-16,43
2022-01-17,33
2022-01-18,29
2022-01-19,27
2022-01-20,28
2022-01-21,29
2022-01-22,36
2022-01-23,40
2022-01-24,37
2022-01-25,25
2022-01-26,26
2022-01-27,25
2022-01-28,30
2022-01-29,38
2022-01-30,45
2022-01-31,30
2022-02-01,29
2022-02-02,32
2022-02-03,34
2022-02-04,32
2022-02-05,36
2022-02-06,39
2022-02-07,30
2022-02-08,28
2022-02-09,29
2022-02-10,24
2022-02-11,27
2022-02-12,33
2022-02-13,48
2022-02-14,28
2022-02-15,28
2022-02-16,27
2022-02-17,26
2022-02-18,27
2022-02-19,34
2022-02-20,37
2022-02-21,32
2022-02-22,30
2022-02-23,29
2022-02-24,32
2022-02-25,30
2022-02-26,34
2022-02-27,38
2022-02-28,31
2022-03-01,31
2022-03-02,28
2022-03-03,28
2022-03-04,31
2022-03-05,38
2022-03-06,39
2022-03-07,32
2022-03-08,30
2022-03-09,29
2022-03-10,28
2022-03-11,31
2022-03-12,39
2022-03-13,37
2022-03-14,31
2022-03-15,31
2022-03-16,30
2022-03-17,32
2022-03-18,34
2022-03-19,38
2022-03-20,41
2022-03-21,31
2022-03-22,29
2022-03-23,29
2022-03-24,30
2022-03-25,30
2022-03-26,34
2022-03-27,39
2022-03-28,32
2022-03-29,27
2022-03-30,27
2022-03-31,28
2022-04-01,30
2022-04-02,37
2022-04-03,39
2022-04-04,28
2022-04-05,28
2022-04-06,28
2022-04-07,32
2022-04-08,34
2022-04-09,37
2022-04-10,38
2022-04-11,30
2022-04-12,32
2022-04-13,32
2022-04-14,41
2022-04-15,39
2022-04-16,40
2022-04-17,42
2022-04-18,35
2022-04-19,33
2022-04-20,33
2022-04-21,33
2022-04-22,100
2022-04-23,35
2022-04-24,36
2022-04-25,33
2022-04-26,29
2022-04-27,26
2022-04-28,31
2022-04-29,33
2022-04-30,39
2022-05-01,43
2022-05-02,31
2022-05-03,31
2022-05-04,29
2022-05-05,29
2022-05-06,27
2022-05-07,33
2022-05-08,35
2022-05-09,35
2022-05-10,39
2022-05-11,37
2022-05-12,41
2022-05-13,42
2022-05-14,49
2022-05-15,50
2022-05-16,36
2022-05-17,35
2022-05-18,33
2022-05-19,32
2022-05-20,33
2022-05-21,43
2022-05-22,42
2022-05-23,34
2022-05-24,34
2022-05-25,30
2022-05-26,32
2022-05-27,35
2022-05-28,37
2022-05-29,39
2022-05-30,36
2022-05-31,31
2022-06-01,32
2022-06-02,31
2022-06-03,34
2022-06-04,34
2022-06-05,36
2022-06-06,32
2022-06-07,29
2022-06-08,29
2022-06-09,31
2022-06-10,29
2022-06-11,33
2022-06-12,36
2022-06-13,30
2022-06-14,31
2022-06-15,30
2022-06-16,33
2022-06-17,34
2022-06-18,36
2022-06-19,40
2022-06-20,30
2022-06-21,38
2022-06-22,31
2022-06-23,32
2022-06-24,34
2022-06-25,36
2022-06-26,39
2022-06-27,34
2022-06-28,33
2022-06-29,32
2022-06-30,31
2022-07-01,34
2022-07-02,36
2022-07-03,38
2022-07-04,39
2022-07-05,32
2022-07-06,34
2022-07-07,33
2022-07-08,33
2022-07-09,38
2022-07-10,40
2022-07-11,35
2022-07-12,34
2022-07-13,32
2022-07-14,32
2022-07-15,32
2022-07-16,35
2022-07-17,37
2022-07-18,32
2022-07-19,33
2022-07-20,32
2022-07-21,32
2022-07-22,32
2022-07-23,36
2022-07-24,38
2022-07-25,33
2022-07-26,34
2022-07-27,31
2022-07-28,33
2022-07-29,33
2022-07-30,35
2022-07-31,39
2022-08-01,35
2022-08-02,33
2022-08-03,31
2022-08-04,33
2022-08-05,37
2022-08-06,43
2022-08-07,46
2022-08-08,33
2022-08-09,33
2022-08-10,32
2022-08-11,33
2022-08-12,32
2022-08-13,37
2022-08-14,43
2022-08-15,32
2022-08-16,30
2022-08-17,31
2022-08-18,31
2022-08-19,32
2022-08-20,37
2022-08-21,41
2022-08-22,30
2022-08-23,32
2022-08-24,29
2022-08-25,34
2022-08-26,34
2022-08-27,42
2022-08-28,43
2022-08-29,32
2022-08-30,32
2022-08-31,33
2022-09-01,34
2022-09-02,34
2022-09-03,47
2022-09-04,43
2022-09-05,45
2022-09-06,38
2022-09-07,39
2022-09-08,35
2022-09-09,35
2022-09-10,50
2022-09-11,53
2022-09-12,34
2022-09-13,34
2022-09-14,34
2022-09-15,33
2022-09-16,34
2022-09-17,43
2022-09-18,49
2022-09-19,34
2022-09-20,35
2022-09-21,38
2022-09-22,37
2022-09-23,37
2022-09-24,43
2022-09-25,48
2022-09-26,33
2022-09-27,32
