Time,indian wells
2025-04-15,62
2025-04-16,66
2025-04-17,64
2025-04-18,66
2025-04-19,52
2025-04-20,65
2025-04-21,65
2025-04-22,60
2025-04-23,77
2025-04-24,59
2025-04-25,51
2025-04-26,52
2025-04-27,61
2025-04-28,62
2025-04-29,51
2025-04-30,46
2025-05-01,54
2025-05-02,51
2025-05-03,91
2025-05-04,72
2025-05-05,53
2025-05-06,58
2025-05-07,53
2025-05-08,56
2025-05-09,59
2025-05-10,61
2025-05-11,64
2025-05-12,54
2025-05-13,51
2025-05-14,48
2025-05-15,48
2025-05-16,50
2025-05-17,65
2025-05-18,49
2025-05-19,52
2025-05-20,52
2025-05-21,52
2025-05-22,57
2025-05-23,55
2025-05-24,73
2025-05-25,62
2025-05-26,63
2025-05-27,59
2025-05-28,48
2025-05-29,55
2025-05-30,57
2025-05-31,65
2025-06-01,68
2025-06-02,64
2025-06-03,63
2025-06-04,58
2025-06-05,61
2025-06-06,54
2025-06-07,75
2025-06-08,82
2025-06-09,48
2025-06-10,62
2025-06-11,58
2025-06-12,55
2025-06-13,66
2025-06-14,64
2025-06-15,48
2025-06-16,59
2025-06-17,62
2025-06-18,67
2025-06-19,67
2025-06-20,58
2025-06-21,58
2025-06-22,61
2025-06-23,72
2025-06-24,57
2025-06-25,61
2025-06-26,61
2025-06-27,46
2025-06-28,55
2025-06-29,50
2025-06-30,71
2025-07-01,57
2025-07-02,71
2025-07-03,65
2025-07-04,70
2025-07-05,71
2025-07-06,76
2025-07-07,72
2025-07-08,78
2025-07-09,66
2025-07-10,66
2025-07-11,82
2025-07-12,66
2025-07-13,88
2025-07-14,84
2025-07-15,73
2025-07-16,83
2025-07-17,71
2025-07-18,59
2025-07-19,71
2025-07-20,73
2025-07-21,79
2025-07-22,66
2025-07-23,74
2025-07-24,66
2025-07-25,77
2025-07-26,65
2025-07-27,69
2025-07-28,63
2025-07-29,61
2025-07-30,72
2025-07-31,72
2025-08-01,61
2025-08-02,63
2025-08-03,59
2025-08-04,58
2025-08-05,61
2025-08-06,56
2025-08-07,68
2025-08-08,64
2025-08-09,63
2025-08-10,85
2025-08-11,70
2025-08-12,63
2025-08-13,61
2025-08-14,50
2025-08-15,62
2025-08-16,66
2025-08-17,76
2025-08-18,61
2025-08-19,59
2025-08-20,55
2025-08-21,49
2025-08-22,68
2025-08-23,59
2025-08-24,58
2025-08-25,61
2025-08-26,69
2025-08-27,73
2025-08-28,67
2025-08-29,80
2025-08-30,79
2025-08-31,86
2025-09-01,97
2025-09-02,80
2025-09-03,84
2025-09-04,83
2025-09-05,85
2025-09-06,80
2025-09-07,97
2025-09-08,83
2025-09-09,72
2025-09-10,55
2025-09-11,46
2025-09-12,55
2025-09-13,59
2025-09-14,52
2025-09-15,60
2025-09-16,75
2025-09-17,56
2025-09-18,62
2025-09-19,73
2025-09-20,65
2025-09-21,58
2025-09-22,56
2025-09-23,58
2025-09-24,63
2025-09-25,54
2025-09-26,46
2025-09-27,58
2025-09-28,52
2025-09-29,57
2025-09-30,57
2025-10-01,57
2025-10-02,72
2025-10-03,48
2025-10-04,49
2025-10-05,58
2025-10-06,48
2025-10-07,57
2025-10-08,54
2025-10-09,54
2025-10-10,53
2025-10-11,46
2025-10-12,50
2025-10-13,58
2025-10-14,54
2025-10-15,59
2025-10-16,48
2025-10-17,49
2025-10-18,58
2025-10-19,51
2025-10-20,51
2025-10-21,54
2025-10-22,73
2025-10-23,46
2025-10-24,51
2025-10-25,50
2025-10-26,45
2025-10-27,52
2025-10-28,61
2025-10-29,66
2025-10-30,64
2025-10-31,54
2025-11-01,53
2025-11-02,61
2025-11-03,62
2025-11-04,55
2025-11-05,66
2025-11-06,58
2025-11-07,63
2025-11-08,63
2025-11-09,68
2025-11-10,67
2025-11-11,78
2025-11-12,67
2025-11-13,73
2025-11-14,58
2025-11-15,66
2025-11-16,73
2025-11-17,60
2025-11-18,47
2025-11-19,54
2025-11-20,56
2025-11-21,51
2025-11-22,63
2025-11-23,69
2025-11-24,82
2025-11-25,62
2025-11-26,71
2025-11-27,52
2025-11-28,54
2025-11-29,69
2025-11-30,66
2025-12-01,62
2025-12-02,63
2025-12-03,66
2025-12-04,59
2025-12-05,65
2025-12-06,64
2025-12-07,72
2025-12-08,69
2025-12-09,59
2025-12-10,58
2025-12-11,71
2025-12-12,50
2025-12-13,63
2025-12-14,65
2025-12-15,60
2025-12-16,60
2025-12-17,56
2025-12-18,59
2025-12-19,56
2025-12-20,53
2025-12-21,59
2025-12-22,69
2025-12-23,72
2025-12-24,79
2025-12-25,57
2025-12-26,68
2025-12-27,78
2025-12-28,84
2025-12-29,100
2025-12-30,82
2025-12-31,67
2026-01-01,86
2026-01-02,86
2026-01-03,75
2026-01-04,82
2026-01-05,72
2026-01-06,93
2026-01-07,97
2026-01-08,88
2026-01-09,84
