Time,indian wells
2023-04-26,52
2023-04-27,45
2023-04-28,49
2023-04-29,58
2023-04-30,55
2023-05-01,50
2023-05-02,50
2023-05-03,55
2023-05-04,51
2023-05-05,50
2023-05-06,57
2023-05-07,64
2023-05-08,47
2023-05-09,45
2023-05-10,46
2023-05-11,55
2023-05-12,45
2023-05-13,61
2023-05-14,44
2023-05-15,50
2023-05-16,50
2023-05-17,49
2023-05-18,48
2023-05-19,51
2023-05-20,52
2023-05-21,63
2023-05-22,51
2023-05-23,49
2023-05-24,46
2023-05-25,60
2023-05-26,59
2023-05-27,48
2023-05-28,61
2023-05-29,55
2023-05-30,47
2023-05-31,54
2023-06-01,56
2023-06-02,63
2023-06-03,56
2023-06-04,56
2023-06-05,52
2023-06-06,46
2023-06-07,64
2023-06-08,46
2023-06-09,56
2023-06-10,55
2023-06-11,58
2023-06-12,59
2023-06-13,48
2023-06-14,63
2023-06-15,63
2023-06-16,60
2023-06-17,61
2023-06-18,60
2023-06-19,53
2023-06-20,55
2023-06-21,55
2023-06-22,56
2023-06-23,68
2023-06-24,68
2023-06-25,54
2023-06-26,72
2023-06-27,56
2023-06-28,65
2023-06-29,61
2023-06-30,56
2023-07-01,51
2023-07-02,63
2023-07-03,59
2023-07-04,71
2023-07-05,60
2023-07-06,61
2023-07-07,55
2023-07-08,69
2023-07-09,71
2023-07-10,63
2023-07-11,62
2023-07-12,62
2023-07-13,72
2023-07-14,76
2023-07-15,66
2023-07-16,76
2023-07-17,62
2023-07-18,67
2023-07-19,71
2023-07-20,54
2023-07-21,54
2023-07-22,69
2023-07-23,68
2023-07-24,53
2023-07-25,56
2023-07-26,62
2023-07-27,54
2023-07-28,53
2023-07-29,55
2023-07-30,55
2023-07-31,49
2023-08-01,64
2023-08-02,52
2023-08-03,53
2023-08-04,53
2023-08-05,57
2023-08-06,51
2023-08-07,64
2023-08-08,55
2023-08-09,52
2023-08-10,46
2023-08-11,50
2023-08-12,54
2023-08-13,46
2023-08-14,56
2023-08-15,51
2023-08-16,45
2023-08-17,47
2023-08-18,43
2023-08-19,55
2023-08-20,71
2023-08-21,82
2023-08-22,60
2023-08-23,46
2023-08-24,49
2023-08-25,44
2023-08-26,45
2023-08-27,50
2023-08-28,50
2023-08-29,58
2023-08-30,72
2023-08-31,56
2023-09-01,64
2023-09-02,65
2023-09-03,81
2023-09-04,74
2023-09-05,66
2023-09-06,69
2023-09-07,65
2023-09-08,76
2023-09-09,96
2023-09-10,72
2023-09-11,71
2023-09-12,51
2023-09-13,51
2023-09-14,52
2023-09-15,50
2023-09-16,50
2023-09-17,40
2023-09-18,35
2023-09-19,46
2023-09-20,53
2023-09-21,47
2023-09-22,40
2023-09-23,47
2023-09-24,37
2023-09-25,49
2023-09-26,46
2023-09-27,50
2023-09-28,54
2023-09-29,52
2023-09-30,44
2023-10-01,45
2023-10-02,47
2023-10-03,51
2023-10-04,44
2023-10-05,47
2023-10-06,49
2023-10-07,51
2023-10-08,40
2023-10-09,47
2023-10-10,57
2023-10-11,43
2023-10-12,39
2023-10-13,44
2023-10-14,55
2023-10-15,51
2023-10-16,42
2023-10-17,50
2023-10-18,39
2023-10-19,47
2023-10-20,40
2023-10-21,39
2023-10-22,41
2023-10-23,43
2023-10-24,57
2023-10-25,51
2023-10-26,55
2023-10-27,42
2023-10-28,45
2023-10-29,46
2023-10-30,50
2023-10-31,55
2023-11-01,36
2023-11-02,49
2023-11-03,49
2023-11-04,48
2023-11-05,47
2023-11-06,41
2023-11-07,47
2023-11-08,57
2023-11-09,46
2023-11-10,52
2023-11-11,46
2023-11-12,62
2023-11-13,62
2023-11-14,55
2023-11-15,47
2023-11-16,51
2023-11-17,49
2023-11-18,55
2023-11-19,56
2023-11-20,48
2023-11-21,57
2023-11-22,62
2023-11-23,46
2023-11-24,45
2023-11-25,59
2023-11-26,46
2023-11-27,54
2023-11-28,60
2023-11-29,60
2023-11-30,50
2023-12-01,65
2023-12-02,73
2023-12-03,87
2023-12-04,83
2023-12-05,62
2023-12-06,57
2023-12-07,44
2023-12-08,45
2023-12-09,43
2023-12-10,58
2023-12-11,57
2023-12-12,56
2023-12-13,54
2023-12-14,47
2023-12-15,49
2023-12-16,50
2023-12-17,56
2023-12-18,46
2023-12-19,43
2023-12-20,47
2023-12-21,58
2023-12-22,58
2023-12-23,52
2023-12-24,55
2023-12-25,43
2023-12-26,58
2023-12-27,73
2023-12-28,63
2023-12-29,57
2023-12-30,54
2023-12-31,62
2024-01-01,45
2024-01-02,63
2024-01-03,85
2024-01-04,72
2024-01-05,67
2024-01-06,72
2024-01-07,64
2024-01-08,61
2024-01-09,77
2024-01-10,61
2024-01-11,76
2024-01-12,71
2024-01-13,100
2024-01-14,88
2024-01-15,98
2024-01-16,87
2024-01-17,98
2024-01-18,94
2024-01-19,92
2024-01-20,97
