Time,atlanta falcons
2023-04-26,8
2023-04-27,11
2023-04-28,43
2023-04-29,34
2023-04-30,19
2023-05-01,11
2023-05-02,9
2023-05-03,7
2023-05-04,7
2023-05-05,6
2023-05-06,7
2023-05-07,6
2023-05-08,7
2023-05-09,8
2023-05-10,9
2023-05-11,10
2023-05-12,19
2023-05-13,11
2023-05-14,8
2023-05-15,8
2023-05-16,8
2023-05-17,6
2023-05-18,7
2023-05-19,6
2023-05-20,6
2023-05-21,6
2023-05-22,6
2023-05-23,6
2023-05-24,6
2023-05-25,6
2023-05-26,7
2023-05-27,6
2023-05-28,6
2023-05-29,6
2023-05-30,6
2023-05-31,6
2023-06-01,5
2023-06-02,7
2023-06-03,5
2023-06-04,6
2023-06-05,5
2023-06-06,5
2023-06-07,6
2023-06-08,5
2023-06-09,5
2023-06-10,5
2023-06-11,5
2023-06-12,5
2023-06-13,6
2023-06-14,5
2023-06-15,5
2023-06-16,6
2023-06-17,5
2023-06-18,5
2023-06-19,6
2023-06-20,5
2023-06-21,5
2023-06-22,4
2023-06-23,5
2023-06-24,4
2023-06-25,6
2023-06-26,5
2023-06-27,6
2023-06-28,4
2023-06-29,5
2023-06-30,5
2023-07-01,4
2023-07-02,5
2023-07-03,5
2023-07-04,6
2023-07-05,7
2023-07-06,5
2023-07-07,4
2023-07-08,5
2023-07-09,7
2023-07-10,4
2023-07-11,5
2023-07-12,6
2023-07-13,8
2023-07-14,9
2023-07-15,9
2023-07-16,9
2023-07-17,8
2023-07-18,8
2023-07-19,8
2023-07-20,8
2023-07-21,7
2023-07-22,8
2023-07-23,9
2023-07-24,8
2023-07-25,8
2023-07-26,8
2023-07-27,8
2023-07-28,8
2023-07-29,9
2023-07-30,10
2023-07-31,10
2023-08-01,9
2023-08-02,10
2023-08-03,10
2023-08-04,12
2023-08-05,10
2023-08-06,10
2023-08-07,9
2023-08-08,10
2023-08-09,10
2023-08-10,10
2023-08-11,20
2023-08-12,30
2023-08-13,15
2023-08-14,11
2023-08-15,10
2023-08-16,11
2023-08-17,11
2023-08-18,18
2023-08-19,38
2023-08-20,15
2023-08-21,12
2023-08-22,10
2023-08-23,11
2023-08-24,18
2023-08-25,28
2023-08-26,13
2023-08-27,16
2023-08-28,14
2023-08-29,14
2023-08-30,13
2023-08-31,12
2023-09-01,11
2023-09-02,11
2023-09-03,16
2023-09-04,12
2023-09-05,13
2023-09-06,15
2023-09-07,15
2023-09-08,13
2023-09-09,13
2023-09-10,85
2023-09-11,28
2023-09-12,16
2023-09-13,13
2023-09-14,14
2023-09-15,14
2023-09-16,15
2023-09-17,89
2023-09-18,29
2023-09-19,21
2023-09-20,17
2023-09-21,17
2023-09-22,14
2023-09-23,13
2023-09-24,78
2023-09-25,20
2023-09-26,14
2023-09-27,12
2023-09-28,12
2023-09-29,14
2023-09-30,14
2023-10-01,100
2023-10-02,16
2023-10-03,12
2023-10-04,11
2023-10-05,12
2023-10-06,12
2023-10-07,11
2023-10-08,72
2023-10-09,20
2023-10-10,12
2023-10-11,12
2023-10-12,12
2023-10-13,14
2023-10-14,24
2023-10-15,70
2023-10-16,16
2023-10-17,10
2023-10-18,9
2023-10-19,10
2023-10-20,10
2023-10-21,10
2023-10-22,74
2023-10-23,18
2023-10-24,12
2023-10-25,9
2023-10-26,9
2023-10-27,9
2023-10-28,10
2023-10-29,61
2023-10-30,18
2023-10-31,16
2023-11-01,13
2023-11-02,12
2023-11-03,10
2023-11-04,10
2023-11-05,79
2023-11-06,19
2023-11-07,11
2023-11-08,8
2023-11-09,8
2023-11-10,8
2023-11-11,9
2023-11-12,57
2023-11-13,33
2023-11-14,8
2023-11-15,7
2023-11-16,6
2023-11-17,7
2023-11-18,8
2023-11-19,26
2023-11-20,12
2023-11-21,9
2023-11-22,7
2023-11-23,10
2023-11-24,10
2023-11-25,10
2023-11-26,60
2023-11-27,21
2023-11-28,12
2023-11-29,9
2023-11-30,8
2023-12-01,8
2023-12-02,9
2023-12-03,57
2023-12-04,19
2023-12-05,10
2023-12-06,8
2023-12-07,8
2023-12-08,7
2023-12-09,9
2023-12-10,61
2023-12-11,16
2023-12-12,8
2023-12-13,7
2023-12-14,8
2023-12-15,7
2023-12-16,9
2023-12-17,71
2023-12-18,19
2023-12-19,12
2023-12-20,11
2023-12-21,9
2023-12-22,9
2023-12-23,11
2023-12-24,55
2023-12-25,20
2023-12-26,12
2023-12-27,9
2023-12-28,9
2023-12-29,9
2023-12-30,10
2023-12-31,55
2024-01-01,17
2024-01-02,9
2024-01-03,8
2024-01-04,7
2024-01-05,7
2024-01-06,9
2024-01-07,61
2024-01-08,34
2024-01-09,17
2024-01-10,13
2024-01-11,15
2024-01-12,24
2024-01-13,20
2024-01-14,19
2024-01-15,15
2024-01-16,17
2024-01-17,15
2024-01-18,18
2024-01-19,20
2024-01-20,27
