Time,retro bowl
2024-08-18,4
2024-08-19,15
2024-08-20,18
2024-08-21,18
2024-08-22,20
2024-08-23,25
2024-08-24,5
2024-08-25,6
2024-08-26,21
2024-08-27,24
2024-08-28,25
2024-08-29,27
2024-08-30,28
2024-08-31,8
2024-09-01,8
2024-09-02,7
2024-09-03,22
2024-09-04,32
2024-09-05,37
2024-09-06,47
2024-09-07,13
2024-09-08,11
2024-09-09,36
2024-09-10,41
2024-09-11,46
2024-09-12,53
2024-09-13,63
2024-09-14,18
2024-09-15,13
2024-09-16,46
2024-09-17,60
2024-09-18,67
2024-09-19,70
2024-09-20,82
2024-09-21,18
2024-09-22,18
2024-09-23,66
2024-09-24,82
2024-09-25,78
2024-09-26,77
2024-09-27,79
2024-09-28,19
2024-09-29,16
2024-09-30,60
2024-10-01,72
2024-10-02,79
2024-10-03,82
2024-10-04,98
2024-10-05,21
2024-10-06,19
2024-10-07,67
2024-10-08,76
2024-10-09,85
2024-10-10,85
2024-10-11,86
2024-10-12,20
2024-10-13,18
2024-10-14,46
2024-10-15,78
2024-10-16,84
2024-10-17,93
2024-10-18,100
2024-10-19,21
2024-10-20,17
2024-10-21,80
2024-10-22,85
2024-10-23,90
2024-10-24,97
2024-10-25,100
2024-10-26,20
2024-10-27,18
2024-10-28,82
2024-10-29,87
2024-10-30,86
2024-10-31,99
2024-11-01,92
2024-11-02,21
2024-11-03,17
2024-11-04,75
2024-11-05,58
2024-11-06,63
2024-11-07,82
2024-11-08,89
2024-11-09,22
2024-11-10,18
2024-11-11,49
2024-11-12,69
2024-11-13,83
2024-11-14,77
2024-11-15,81
2024-11-16,19
2024-11-17,17
2024-11-18,61
2024-11-19,63
2024-11-20,66
2024-11-21,73
2024-11-22,77
2024-11-23,20
2024-11-24,16
2024-11-25,38
2024-11-26,47
2024-11-27,22
2024-11-28,16
2024-11-29,15
2024-11-30,13
2024-12-01,13
2024-12-02,40
2024-12-03,47
2024-12-04,52
2024-12-05,53
2024-12-06,62
2024-12-07,17
2024-12-08,15
2024-12-09,48
2024-12-10,57
2024-12-11,60
2024-12-12,64
2024-12-13,66
2024-12-14,19
2024-12-15,16
2024-12-16,53
2024-12-17,57
2024-12-18,67
2024-12-19,73
2024-12-20,55
2024-12-21,16
2024-12-22,13
2024-12-23,13
2024-12-24,13
2024-12-25,12
2024-12-26,11
2024-12-27,10
2024-12-28,9
2024-12-29,9
2024-12-30,9
2024-12-31,9
2025-01-01,10
2025-01-02,12
2025-01-03,16
2025-01-04,8
2025-01-05,9
2025-01-06,21
2025-01-07,32
2025-01-08,36
2025-01-09,37
2025-01-10,36
2025-01-11,12
2025-01-12,11
2025-01-13,37
2025-01-14,40
2025-01-15,40
2025-01-16,42
2025-01-17,47
2025-01-18,14
2025-01-19,11
2025-01-20,11
2025-01-21,27
2025-01-22,27
2025-01-23,35
2025-01-24,45
2025-01-25,11
2025-01-26,10
2025-01-27,33
2025-01-28,39
2025-01-29,39
2025-01-30,39
2025-01-31,48
2025-02-01,11
2025-02-02,11
2025-02-03,29
2025-02-04,34
2025-02-05,36
2025-02-06,35
2025-02-07,42
2025-02-08,14
2025-02-09,13
2025-02-10,32
2025-02-11,41
2025-02-12,34
2025-02-13,39
2025-02-14,34
2025-02-15,12
2025-02-16,10
2025-02-17,12
2025-02-18,25
2025-02-19,24
2025-02-20,25
2025-02-21,28
2025-02-22,9
2025-02-23,9
2025-02-24,24
2025-02-25,26
2025-02-26,27
2025-02-27,30
2025-02-28,32
2025-03-01,9
2025-03-02,7
2025-03-03,21
2025-03-04,25
2025-03-05,25
2025-03-06,28
2025-03-07,27
2025-03-08,9
2025-03-09,6
2025-03-10,18
2025-03-11,20
2025-03-12,21
2025-03-13,21
2025-03-14,22
2025-03-15,8
2025-03-16,6
2025-03-17,15
2025-03-18,17
2025-03-19,17
2025-03-20,19
2025-03-21,19
2025-03-22,6
2025-03-23,5
2025-03-24,16
2025-03-25,15
2025-03-26,16
2025-03-27,15
2025-03-28,19
2025-03-29,5
2025-03-30,5
2025-03-31,11
2025-04-01,16
2025-04-02,16
2025-04-03,16
2025-04-04,17
2025-04-05,5
2025-04-06,5
2025-04-07,13
2025-04-08,14
2025-04-09,14
2025-04-10,15
2025-04-11,19
2025-04-12,5
2025-04-13,4
2025-04-14,11
2025-04-15,14
2025-04-16,13
2025-04-17,13
2025-04-18,7
2025-04-19,4
2025-04-20,4
2025-04-21,8
2025-04-22,12
2025-04-23,12
2025-04-24,12
2025-04-25,13
2025-04-26,4
2025-04-27,3
2025-04-28,11
2025-04-29,14
2025-04-30,12
2025-05-01,16
2025-05-02,16
2025-05-03,5
2025-05-04,4
2025-05-05,12
2025-05-06,14
2025-05-07,14
2025-05-08,15
2025-05-09,17
2025-05-10,5
2025-05-11,5
2025-05-12,14
2025-05-13,15
2025-05-14,14
