,seg_1,seg_2,seg_3,seg_4,seg_5,seg_6,seg_7,seg_8,seg_9,seg_10,seg_11,seg_12
2020_election_results,1.4102564102564104,1.3982371794871795,1.455128205128205,1.4070512820512822,1.3309294871794872,1.3461538461538463,1.4014423076923077,1.4415064102564104,1.4479166666666667,1.4727564102564104,1.4751602564102564,1.4447115384615385
2022_election_results,1.2804487179487178,1.2283653846153846,1.2259615384615385,1.205128205128205,1.2379807692307692,1.2940705128205128,1.3581730769230769,1.3950320512820513,1.4831730769230769,1.5985576923076923,1.7091346153846154,1.8325320512820513
2024_election,1.0825320512820513,1.0689102564102564,1.108974358974359,1.142628205128205,1.2451923076923077,1.3782051282051282,1.4383012820512822,1.5536858974358974,1.78125,1.9190705128205128,1.9783653846153846,2.0560897435897436
2024_election_results,1.1923076923076923,1.2131410256410255,1.2395833333333333,1.3044871794871795,1.3221153846153846,1.3373397435897436,1.3333333333333333,1.3709935897435896,1.486378205128205,1.5560897435897436,1.5969551282051282,1.6522435897435896
2024_presidential_election,0.9967948717948718,1.0104166666666667,1.0841346153846154,1.1931089743589745,1.2932692307692308,1.4415064102564104,1.4991987179487178,1.5512820512820513,1.7195512820512822,1.8309294871794872,1.8621794871794872,1.8870192307692308
2024_united_states_elections_results,1.1645367412140575,1.1501597444089458,1.1549520766773163,1.170926517571885,1.2396166134185302,1.2507987220447285,1.279552715654952,1.2987220447284344,1.220447284345048,1.1996805111821087,1.145367412140575,1.099041533546326
2024_united_states_presidential_election,1.2475961538461537,1.2411858974358974,1.2467948717948718,1.263621794871795,1.2668269230769231,1.2403846153846154,1.251602564102564,1.25,1.3020833333333333,1.3838141025641026,1.4334935897435896,1.5240384615384615
2024_us_election_results,1.1522435897435896,1.2131410256410255,1.2644230769230769,1.233974358974359,1.2467948717948718,1.2932692307692308,1.3181089743589745,1.3501602564102564,1.4174679487179487,1.4879807692307692,1.5096153846153846,1.5352564102564104
49ers,1.4294871794871795,1.4102564102564104,1.4375,1.4575320512820513,1.4903846153846154,1.5096153846153846,1.532852564102564,1.5745192307692308,1.5769230769230769,1.5857371794871795,1.5817307692307692,1.5841346153846154
80_for_brady,1.6394230769230769,1.6554487179487178,1.5224358974358974,1.4719551282051282,1.3798076923076923,1.3333333333333333,1.2772435897435896,1.2475961538461537,1.2700320512820513,1.2668269230769231,1.2820512820512822,1.3020833333333333
aaron_judge,1.4615384615384615,1.5208333333333333,1.5496794871794872,1.529647435897436,1.5576923076923077,1.5304487179487178,1.4791666666666667,1.422275641025641,1.3020833333333333,1.3149038461538463,1.3549679487179487,1.3934294871794872
aaron_rodgers,1.484775641025641,1.4006410256410255,1.3758012820512822,1.358974358974359,1.3838141025641026,1.4110576923076923,1.4663461538461537,1.5200320512820513,1.5432692307692308,1.5416666666666667,1.5192307692307692,1.5520833333333333
abcya,1.608974358974359,1.5825320512820513,1.5657051282051282,1.576121794871795,1.5665064102564104,1.5697115384615385,1.5817307692307692,1.5512820512820513,1.5104166666666667,1.4735576923076923,1.4310897435897436,1.3862179487179487
accuweather,1.78125,1.7235576923076923,1.6778846153846154,1.6338141025641026,1.5544871794871795,1.4735576923076923,1.4134615384615385,1.326121794871795,1.3189102564102564,1.2868589743589745,1.265224358974359,1.217147435897436
airbnb,1.7275641025641026,1.7243589743589745,1.7019230769230769,1.6474358974358974,1.5809294871794872,1.4951923076923077,1.3942307692307692,1.3349358974358974,1.3309294871794872,1.3541666666666667,1.3758012820512822,1.3790064102564104
alabama_basketball,1.5600961538461537,1.5064102564102564,1.4559294871794872,1.4318910256410255,1.4342948717948718,1.4439102564102564,1.467147435897436,1.4927884615384615,1.5128205128205128,1.5681089743589745,1.5681089743589745,1.5528846153846154
all_quiet_on_the_western_front,1.7307692307692308,1.6049679487179487,1.4479166666666667,1.3653846153846154,1.3677884615384615,1.3798076923076923,1.4174679487179487,1.4439102564102564,1.4871794871794872,1.4871794871794872,1.4471153846153846,1.3653846153846154
amanda_aldridge,1.1884057971014492,1.1896135265700483,1.1932367149758454,1.1884057971014492,1.2053140096618358,1.2077294685990339,1.1871980676328502,1.1920289855072463,1.1666666666666667,1.1570048309178744,1.144927536231884,1.1497584541062802
amazon,1.5432692307692308,1.53125,1.5368589743589745,1.5416666666666667,1.5120192307692308,1.4975961538461537,1.4318910256410255,1.3966346153846154,1.3357371794871795,1.2868589743589745,1.203525641025641,1.1314102564102564
amazon_prime,1.6610576923076923,1.6706730769230769,1.6530448717948718,1.5913461538461537,1.5841346153846154,1.5737179487179487,1.5256410256410255,1.4895833333333333,1.4302884615384615,1.358974358974359,1.297275641025641,1.2115384615384615
amazon_stock,1.5889423076923077,1.5552884615384615,1.5504807692307692,1.5320512820512822,1.5144230769230769,1.4879807692307692,1.4695512820512822,1.4294871794871795,1.4126602564102564,1.4334935897435896,1.4230769230769231,1.4495192307692308
