,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,pos_36
2020_election_results,1.3830128205128205,1.4647435897435896,1.5232371794871795,1.3557692307692308,1.4599358974358974,1.5400641025641026,1.3717948717948718,1.5032051282051282,1.5889423076923077,1.3517628205128205,1.5080128205128205,1.5256410256410255,1.3197115384615385,1.4575320512820513,1.4903846153846154,1.2940705128205128,1.4463141025641026,1.4807692307692308,1.2908653846153846,1.4927884615384615,1.4991987179487178,1.2900641025641026,1.5128205128205128,1.5456730769230769,1.2892628205128205,1.5616987179487178,1.5112179487179487,1.3221153846153846,1.5705128205128205,1.4911858974358974,1.3237179487179487,1.5705128205128205,1.4647435897435896,1.3189102564102564,1.5552884615384615,1.451121794871795
2022_election_results,1.1770833333333333,1.4006410256410255,1.736378205128205,1.1418269230769231,1.3677884615384615,1.7716346153846154,1.1498397435897436,1.3685897435897436,1.8477564102564104,1.1658653846153846,1.3685897435897436,1.78125,1.1786858974358974,1.3685897435897436,1.7708333333333333,1.1963141025641026,1.3790064102564104,1.7788461538461537,1.2411858974358974,1.3838141025641026,1.794871794871795,1.2443910256410255,1.4142628205128205,1.8213141025641026,1.265224358974359,1.4711538461538463,1.9094551282051282,1.3125,1.547275641025641,1.9751602564102564,1.3822115384615385,1.5817307692307692,2.000801282051282,1.4318910256410255,1.6458333333333333,2.0544871794871793
2024_election,1.0040064102564104,1.0857371794871795,1.1217948717948718,1.0032051282051282,1.0897435897435896,1.2403846153846154,1.001602564102564,1.1642628205128205,1.3669871794871795,1.060897435897436,1.2668269230769231,1.3862179487179487,1.1746794871794872,1.3854166666666667,1.5264423076923077,1.233974358974359,1.5120192307692308,1.6394230769230769,1.3501602564102564,1.5793269230769231,1.7940705128205128,1.4102564102564104,1.685897435897436,1.875,1.5336538461538463,1.8325320512820513,1.9431089743589745,1.6065705128205128,1.9102564102564104,1.9935897435897436,1.6995192307692308,1.9375,1.9967948717948718,1.7756410256410255,1.96875,2.048076923076923
2024_election_results,1.0961538461538463,1.2315705128205128,1.625,1.1338141025641026,1.2403846153846154,1.6306089743589745,1.1594551282051282,1.3044871794871795,1.6586538461538463,1.1947115384615385,1.34375,1.6850961538461537,1.2067307692307692,1.357371794871795,1.7307692307692308,1.1979166666666667,1.3998397435897436,1.7604166666666667,1.2179487179487178,1.4655448717948718,1.7620192307692308,1.2403846153846154,1.4967948717948718,1.7956730769230769,1.3269230769230769,1.5528846153846154,1.8557692307692308,1.3669871794871795,1.6153846153846154,1.9014423076923077,1.4038461538461537,1.6362179487179487,1.9014423076923077,1.4431089743589745,1.689102564102564,1.9302884615384615
2024_presidential_election,0.9551282051282052,1.1065705128205128,1.1923076923076923,0.9839743589743589,1.0961538461538463,1.2259615384615385,0.9983974358974359,1.185897435897436,1.3205128205128205,1.1241987179487178,1.2684294871794872,1.4399038461538463,1.185897435897436,1.3814102564102564,1.59375,1.3133012820512822,1.5048076923076923,1.6818910256410255,1.421474358974359,1.5929487179487178,1.7075320512820513,1.4607371794871795,1.6290064102564104,1.7748397435897436,1.5633012820512822,1.7219551282051282,1.8397435897435896,1.611378205128205,1.8020833333333333,1.876602564102564,1.6690705128205128,1.7876602564102564,1.8782051282051282,1.6834935897435896,1.7716346153846154,1.8693910256410255
2024_united_states_elections_results,1.1166134185303513,1.1389776357827477,1.3610223642172523,1.1022364217252396,1.1325878594249201,1.3530351437699681,1.1038338658146964,1.1373801916932906,1.3594249201277955,1.1022364217252396,1.1325878594249201,1.3881789137380192,1.1118210862619808,1.1725239616613419,1.4185303514376997,1.1182108626198084,1.1757188498402555,1.4121405750798721,1.1469648562300319,1.1757188498402555,1.4696485623003195,1.170926517571885,1.1757188498402555,1.5143769968051117,1.1309904153354633,1.1757188498402555,1.3929712460063899,1.1166134185303513,1.1661341853035143,1.3067092651757188,1.110223642172524,1.1134185303514377,1.207667731629393,1.073482428115016,1.0910543130990416,1.148562300319489
2024_united_states_presidential_election,1.2467948717948718,1.0560897435897436,1.5024038461538463,1.2411858974358974,1.0560897435897436,1.53125,1.2540064102564104,1.0560897435897436,1.5985576923076923,1.2588141025641026,1.0689102564102564,1.611378205128205,1.2604166666666667,1.0729166666666667,1.638621794871795,1.233974358974359,1.0713141025641026,1.640224358974359,1.2315705128205128,1.0881410256410255,1.6810897435897436,1.220352564102564,1.0985576923076923,1.7532051282051282,1.2331730769230769,1.1482371794871795,1.7748397435897436,1.2916666666666667,1.173878205128205,1.8357371794871795,1.3245192307692308,1.2115384615384615,1.8469551282051282,1.376602564102564,1.2556089743589745,1.9070512820512822
2024_us_election_results,1.1490384615384615,0.9863782051282052,1.4975961538461537,1.1987179487179487,1.0224358974358974,1.547275641025641,1.234775641025641,1.064102564102564,1.5977564102564104,1.2163461538461537,1.0649038461538463,1.5689102564102564,1.2371794871794872,1.0568910256410255,1.6217948717948718,1.248397435897436,1.1025641025641026,1.6538461538461537,1.2379807692307692,1.1346153846153846,1.7147435897435896,1.2291666666666667,1.1802884615384615,1.7852564102564104,1.282852564102564,1.2123397435897436,1.8413461538461537,1.327724358974359,1.2572115384615385,1.9006410256410255,1.345352564102564,1.2924679487179487,1.8717948717948718,1.3637820512820513,1.3381410256410255,1.8717948717948718
49ers,1.3012820512820513,1.5272435897435896,1.5977564102564104,1.2716346153846154,1.4959935897435896,1.5897435897435896,1.2724358974358974,1.5112179487179487,1.6586538461538463,1.282852564102564,1.548878205128205,1.6522435897435896,1.2924679487179487,1.576121794871795,1.6810897435897436,1.326121794871795,1.5929487179487178,1.6931089743589745,1.3461538461538463,1.6177884615384615,1.732371794871795,1.3605769230769231,1.6834935897435896,1.7748397435897436,1.3838141025641026,1.6923076923076923,1.7283653846153846,1.3774038461538463,1.6778846153846154,1.717147435897436,1.3645833333333333,1.6498397435897436,1.702724358974359,1.3549679487179487,1.654647435897436,1.685897435897436
80_for_brady,1.5833333333333333,1.6538461538461537,1.8717948717948718,1.6274038461538463,1.6458333333333333,1.8685897435897436,1.5408653846153846,1.5929487179487178,1.8341346153846154,1.5048076923076923,1.544871794871795,1.8133012820512822,1.4166666666666667,1.4294871794871795,1.8044871794871795,1.3741987179487178,1.388621794871795,1.814102564102564,1.2844551282051282,1.294871794871795,1.8173076923076923,1.2243589743589745,1.2467948717948718,1.8477564102564104,1.233974358974359,1.2067307692307692,1.8076923076923077,1.2275641025641026,1.1883012820512822,1.8517628205128205,1.2411858974358974,1.1810897435897436,1.8645833333333333,1.2491987179487178,1.1650641025641026,1.8958333333333333
