,SAX,eSAX,TDA
Silhouette (KMeans),0.3260537721743149,0.2606284156635117,0.845586657505461
DBI (KMeans),0.8870074151347073,1.1496635622127154,0.4629373411373454
Silhouette (Hierarchical),0.3007150437858212,0.19147282779924454,0.8932042710685791
DBI (Hierarchical),0.9231829725401696,1.3061358644565102,0.35857633550413964
