Time,steph curry
2023-04-26,22
2023-04-27,38
2023-04-28,33
2023-04-29,38
2023-04-30,100
2023-05-01,89
2023-05-02,66
2023-05-03,71
2023-05-04,43
2023-05-05,68
2023-05-06,43
2023-05-07,55
2023-05-08,35
2023-05-09,61
2023-05-10,36
2023-05-11,58
2023-05-12,34
2023-05-13,81
2023-05-14,32
2023-05-15,28
2023-05-16,24
2023-05-17,23
2023-05-18,17
2023-05-19,20
2023-05-20,18
2023-05-21,20
2023-05-22,16
2023-05-23,26
2023-05-24,20
2023-05-25,16
2023-05-26,15
2023-05-27,15
2023-05-28,16
2023-05-29,15
2023-05-30,17
2023-05-31,14
2023-06-01,13
2023-06-02,15
2023-06-03,13
2023-06-04,14
2023-06-05,13
2023-06-06,12
2023-06-07,12
2023-06-08,14
2023-06-09,12
2023-06-10,15
2023-06-11,11
2023-06-12,11
2023-06-13,16
2023-06-14,14
2023-06-15,17
2023-06-16,17
2023-06-17,17
2023-06-18,15
2023-06-19,13
2023-06-20,14
2023-06-21,13
2023-06-22,18
2023-06-23,20
2023-06-24,14
2023-06-25,17
2023-06-26,17
2023-06-27,18
2023-06-28,15
2023-06-29,24
2023-06-30,33
2023-07-01,28
2023-07-02,18
2023-07-03,14
2023-07-04,15
2023-07-05,11
2023-07-06,13
2023-07-07,13
2023-07-08,16
2023-07-09,14
2023-07-10,12
2023-07-11,14
2023-07-12,13
2023-07-13,14
2023-07-14,14
2023-07-15,42
2023-07-16,95
2023-07-17,66
2023-07-18,45
2023-07-19,21
2023-07-20,18
2023-07-21,30
2023-07-22,34
2023-07-23,34
2023-07-24,24
2023-07-25,22
2023-07-26,19
2023-07-27,26
2023-07-28,27
2023-07-29,26
2023-07-30,29
2023-07-31,18
2023-08-01,15
2023-08-02,15
2023-08-03,17
2023-08-04,14
2023-08-05,19
2023-08-06,18
2023-08-07,15
2023-08-08,23
2023-08-09,20
2023-08-10,17
2023-08-11,16
2023-08-12,17
2023-08-13,14
2023-08-14,13
2023-08-15,12
2023-08-16,12
2023-08-17,12
2023-08-18,12
2023-08-19,11
2023-08-20,13
2023-08-21,13
2023-08-22,15
2023-08-23,15
2023-08-24,14
2023-08-25,12
2023-08-26,11
2023-08-27,12
2023-08-28,11
2023-08-29,11
2023-08-30,10
2023-08-31,10
2023-09-01,10
2023-09-02,10
2023-09-03,10
2023-09-04,11
2023-09-05,9
2023-09-06,11
2023-09-07,12
2023-09-08,13
2023-09-09,11
2023-09-10,12
2023-09-11,11
2023-09-12,12
2023-09-13,12
2023-09-14,11
2023-09-15,10
2023-09-16,9
2023-09-17,10
2023-09-18,9
2023-09-19,8
2023-09-20,9
2023-09-21,10
2023-09-22,9
2023-09-23,9
2023-09-24,10
2023-09-25,9
2023-09-26,10
2023-09-27,10
2023-09-28,12
2023-09-29,11
2023-09-30,11
2023-10-01,10
2023-10-02,10
2023-10-03,11
2023-10-04,11
2023-10-05,10
2023-10-06,10
2023-10-07,13
2023-10-08,13
2023-10-09,11
2023-10-10,10
2023-10-11,10
2023-10-12,10
2023-10-13,9
2023-10-14,12
2023-10-15,11
2023-10-16,13
2023-10-17,12
2023-10-18,11
2023-10-19,16
2023-10-20,13
2023-10-21,16
2023-10-22,17
2023-10-23,16
2023-10-24,20
2023-10-25,27
2023-10-26,16
2023-10-27,19
2023-10-28,27
2023-10-29,20
2023-10-30,26
2023-10-31,26
2023-11-01,21
2023-11-02,26
2023-11-03,24
2023-11-04,23
2023-11-05,22
2023-11-06,20
2023-11-07,19
2023-11-08,18
2023-11-09,27
2023-11-10,15
2023-11-11,24
2023-11-12,24
2023-11-13,19
2023-11-14,21
2023-11-15,35
2023-11-16,25
2023-11-17,25
2023-11-18,28
2023-11-19,22
2023-11-20,18
2023-11-21,22
2023-11-22,18
2023-11-23,28
2023-11-24,19
2023-11-25,27
2023-11-26,14
2023-11-27,14
2023-11-28,21
2023-11-29,26
2023-11-30,18
2023-12-01,19
2023-12-02,26
2023-12-03,14
2023-12-04,12
2023-12-05,12
2023-12-06,19
2023-12-07,27
2023-12-08,22
2023-12-09,24
2023-12-10,16
2023-12-11,13
2023-12-12,23
2023-12-13,29
2023-12-14,25
2023-12-15,25
2023-12-16,22
2023-12-17,28
2023-12-18,27
2023-12-19,27
2023-12-20,45
2023-12-21,21
2023-12-22,23
2023-12-23,34
2023-12-24,21
2023-12-25,44
2023-12-26,17
2023-12-27,15
2023-12-28,19
2023-12-29,24
2023-12-30,19
2023-12-31,20
2024-01-01,13
2024-01-02,20
2024-01-03,28
2024-01-04,29
2024-01-05,35
2024-01-06,26
2024-01-07,19
2024-01-08,21
2024-01-09,15
2024-01-10,19
2024-01-11,26
2024-01-12,22
2024-01-13,26
2024-01-14,29
2024-01-15,18
2024-01-16,15
2024-01-17,15
2024-01-18,13
2024-01-19,17
2024-01-20,15
