Time,steph curry
2025-04-15,13
2025-04-16,24
2025-04-17,13
2025-04-18,12
2025-04-19,11
2025-04-20,16
2025-04-21,27
2025-04-22,11
2025-04-23,13
2025-04-24,17
2025-04-25,8
2025-04-26,12
2025-04-27,33
2025-04-28,17
2025-04-29,27
2025-04-30,16
2025-05-01,20
2025-05-02,17
2025-05-03,30
2025-05-04,18
2025-05-05,39
2025-05-06,17
2025-05-07,100
2025-05-08,37
2025-05-09,42
2025-05-10,29
2025-05-11,46
2025-05-12,25
2025-05-13,41
2025-05-14,34
2025-05-15,32
2025-05-16,13
2025-05-17,11
2025-05-18,10
2025-05-19,9
2025-05-20,7
2025-05-21,9
2025-05-22,9
2025-05-23,8
2025-05-24,9
2025-05-25,9
2025-05-26,9
2025-05-27,8
2025-05-28,8
2025-05-29,8
2025-05-30,8
2025-05-31,8
2025-06-01,9
2025-06-02,7
2025-06-03,7
2025-06-04,8
2025-06-05,7
2025-06-06,8
2025-06-07,7
2025-06-08,7
2025-06-09,6
2025-06-10,6
2025-06-11,5
2025-06-12,6
2025-06-13,6
2025-06-14,7
2025-06-15,7
2025-06-16,5
2025-06-17,7
2025-06-18,6
2025-06-19,6
2025-06-20,6
2025-06-21,6
2025-06-22,6
2025-06-23,9
2025-06-24,7
2025-06-25,6
2025-06-26,7
2025-06-27,6
2025-06-28,6
2025-06-29,6
2025-06-30,6
2025-07-01,6
2025-07-02,6
2025-07-03,6
2025-07-04,6
2025-07-05,6
2025-07-06,7
2025-07-07,6
2025-07-08,6
2025-07-09,6
2025-07-10,6
2025-07-11,7
2025-07-12,9
2025-07-13,10
2025-07-14,7
2025-07-15,6
2025-07-16,6
2025-07-17,7
2025-07-18,8
2025-07-19,7
2025-07-20,7
2025-07-21,5
2025-07-22,6
2025-07-23,7
2025-07-24,6
2025-07-25,7
2025-07-26,8
2025-07-27,7
2025-07-28,6
2025-07-29,5
2025-07-30,6
2025-07-31,7
2025-08-01,6
2025-08-02,6
2025-08-03,6
2025-08-04,6
2025-08-05,6
2025-08-06,6
2025-08-07,5
2025-08-08,5
2025-08-09,5
2025-08-10,7
2025-08-11,5
2025-08-12,5
2025-08-13,6
2025-08-14,6
2025-08-15,5
2025-08-16,6
2025-08-17,5
2025-08-18,5
2025-08-19,5
2025-08-20,6
2025-08-21,6
2025-08-22,5
2025-08-23,6
2025-08-24,6
2025-08-25,5
2025-08-26,6
2025-08-27,6
2025-08-28,5
2025-08-29,5
2025-08-30,5
2025-08-31,6
2025-09-01,6
2025-09-02,5
2025-09-03,5
2025-09-04,4
2025-09-05,5
2025-09-06,5
2025-09-07,8
2025-09-08,5
2025-09-09,5
2025-09-10,7
2025-09-11,6
2025-09-12,6
2025-09-13,5
2025-09-14,5
2025-09-15,6
2025-09-16,5
2025-09-17,5
2025-09-18,5
2025-09-19,5
2025-09-20,6
2025-09-21,6
2025-09-22,5
2025-09-23,5
2025-09-24,5
2025-09-25,5
2025-09-26,5
2025-09-27,5
2025-09-28,5
2025-09-29,6
2025-09-30,5
2025-10-01,8
2025-10-02,7
2025-10-03,7
2025-10-04,9
2025-10-05,10
2025-10-06,12
2025-10-07,9
2025-10-08,10
2025-10-09,13
2025-10-10,12
2025-10-11,11
2025-10-12,11
2025-10-13,11
2025-10-14,11
2025-10-15,17
2025-10-16,16
2025-10-17,17
2025-10-18,15
2025-10-19,14
2025-10-20,14
2025-10-21,22
2025-10-22,32
2025-10-23,17
2025-10-24,30
2025-10-25,16
2025-10-26,9
2025-10-27,9
2025-10-28,13
2025-10-29,15
2025-10-30,12
2025-10-31,11
2025-11-01,11
2025-11-02,11
2025-11-03,7
2025-11-04,9
2025-11-05,11
2025-11-06,11
2025-11-07,9
2025-11-08,19
2025-11-09,10
2025-11-10,12
2025-11-11,17
2025-11-12,17
2025-11-13,20
2025-11-14,31
2025-11-15,48
2025-11-16,23
2025-11-17,19
2025-11-18,20
2025-11-19,23
2025-11-20,15
2025-11-21,14
2025-11-22,18
2025-11-23,16
2025-11-24,11
2025-11-25,18
2025-11-26,16
2025-11-27,39
2025-11-28,24
2025-11-29,16
2025-11-30,18
2025-12-01,11
2025-12-02,12
2025-12-03,19
2025-12-04,13
2025-12-05,14
2025-12-06,15
2025-12-07,15
2025-12-08,10
2025-12-09,10
2025-12-10,9
2025-12-11,11
2025-12-12,13
2025-12-13,23
2025-12-14,13
2025-12-15,16
2025-12-16,14
2025-12-17,14
2025-12-18,11
2025-12-19,13
2025-12-20,11
2025-12-21,12
2025-12-22,11
2025-12-23,13
2025-12-24,10
2025-12-25,22
2025-12-26,21
2025-12-27,16
2025-12-28,12
2025-12-29,10
2025-12-30,12
2025-12-31,14
2026-01-01,11
2026-01-02,10
2026-01-03,16
2026-01-04,13
2026-01-05,9
2026-01-06,14
2026-01-07,10
2026-01-08,11
2026-01-09,9
