Time,popeyes
2022-08-29,56
2022-08-30,56
2022-08-31,52
2022-09-01,56
2022-09-02,65
2022-09-03,72
2022-09-04,73
2022-09-05,70
2022-09-06,57
2022-09-07,52
2022-09-08,56
2022-09-09,58
2022-09-10,69
2022-09-11,68
2022-09-12,51
2022-09-13,53
2022-09-14,54
2022-09-15,55
2022-09-16,60
2022-09-17,71
2022-09-18,66
2022-09-19,51
2022-09-20,57
2022-09-21,55
2022-09-22,52
2022-09-23,57
2022-09-24,69
2022-09-25,72
2022-09-26,50
2022-09-27,56
2022-09-28,55
2022-09-29,66
2022-09-30,62
2022-10-01,68
2022-10-02,75
2022-10-03,52
2022-10-04,57
2022-10-05,56
2022-10-06,53
2022-10-07,60
2022-10-08,70
2022-10-09,73
2022-10-10,57
2022-10-11,53
2022-10-12,56
2022-10-13,58
2022-10-14,66
2022-10-15,80
2022-10-16,77
2022-10-17,55
2022-10-18,58
2022-10-19,60
2022-10-20,63
2022-10-21,65
2022-10-22,75
2022-10-23,87
2022-10-24,55
2022-10-25,66
2022-10-26,62
2022-10-27,61
2022-10-28,62
2022-10-29,69
2022-10-30,83
2022-10-31,59
2022-11-01,61
2022-11-02,59
2022-11-03,70
2022-11-04,75
2022-11-05,90
2022-11-06,96
2022-11-07,60
2022-11-08,63
2022-11-09,62
2022-11-10,67
2022-11-11,73
2022-11-12,74
2022-11-13,83
2022-11-14,66
2022-11-15,68
2022-11-16,77
2022-11-17,82
2022-11-18,80
2022-11-19,86
2022-11-20,86
2022-11-21,75
2022-11-22,80
2022-11-23,88
2022-11-24,100
2022-11-25,61
2022-11-26,58
2022-11-27,68
2022-11-28,49
2022-11-29,54
2022-11-30,51
2022-12-01,59
2022-12-02,56
2022-12-03,69
2022-12-04,68
2022-12-05,53
2022-12-06,53
2022-12-07,53
2022-12-08,55
2022-12-09,56
2022-12-10,66
2022-12-11,74
2022-12-12,56
2022-12-13,51
2022-12-14,55
2022-12-15,53
2022-12-16,57
2022-12-17,66
2022-12-18,68
2022-12-19,58
2022-12-20,58
2022-12-21,65
2022-12-22,60
2022-12-23,63
2022-12-24,83
2022-12-25,79
2022-12-26,56
2022-12-27,60
2022-12-28,59
2022-12-29,61
2022-12-30,63
2022-12-31,68
2023-01-01,73
2023-01-02,59
2023-01-03,55
2023-01-04,60
2023-01-05,68
2023-01-06,66
2023-01-07,77
2023-01-08,78
2023-01-09,59
2023-01-10,58
2023-01-11,61
2023-01-12,64
2023-01-13,64
2023-01-14,74
2023-01-15,66
2023-01-16,63
2023-01-17,54
2023-01-18,55
2023-01-19,56
2023-01-20,59
2023-01-21,69
2023-01-22,67
2023-01-23,49
2023-01-24,58
2023-01-25,55
2023-01-26,56
2023-01-27,58
2023-01-28,68
2023-01-29,68
2023-01-30,47
2023-01-31,47
2023-02-01,61
2023-02-02,52
2023-02-03,55
2023-02-04,63
2023-02-05,65
2023-02-06,48
2023-02-07,48
2023-02-08,48
2023-02-09,48
2023-02-10,58
2023-02-11,65
2023-02-12,68
2023-02-13,41
2023-02-14,46
2023-02-15,53
2023-02-16,58
2023-02-17,59
2023-02-18,70
2023-02-19,83
2023-02-20,63
2023-02-21,60
2023-02-22,56
2023-02-23,55
2023-02-24,69
2023-02-25,80
2023-02-26,84
2023-02-27,60
2023-02-28,51
2023-03-01,57
2023-03-02,57
2023-03-03,61
2023-03-04,68
2023-03-05,69
2023-03-06,56
2023-03-07,53
2023-03-08,54
2023-03-09,54
2023-03-10,63
2023-03-11,69
2023-03-12,76
2023-03-13,55
2023-03-14,51
2023-03-15,58
2023-03-16,58
2023-03-17,62
2023-03-18,65
2023-03-19,80
2023-03-20,55
2023-03-21,56
2023-03-22,55
2023-03-23,57
2023-03-24,61
2023-03-25,69
2023-03-26,69
2023-03-27,58
2023-03-28,61
2023-03-29,70
2023-03-30,70
2023-03-31,76
2023-04-01,90
2023-04-02,86
2023-04-03,65
2023-04-04,63
2023-04-05,71
2023-04-06,70
2023-04-07,79
2023-04-08,82
2023-04-09,93
2023-04-10,61
2023-04-11,60
2023-04-12,61
2023-04-13,62
2023-04-14,66
2023-04-15,71
2023-04-16,81
2023-04-17,56
2023-04-18,58
2023-04-19,60
2023-04-20,62
2023-04-21,68
2023-04-22,78
2023-04-23,76
2023-04-24,56
2023-04-25,55
2023-04-26,54
2023-04-27,56
2023-04-28,59
2023-04-29,74
2023-04-30,68
2023-05-01,58
2023-05-02,62
2023-05-03,60
2023-05-04,58
2023-05-05,64
2023-05-06,71
2023-05-07,75
2023-05-08,60
2023-05-09,56
2023-05-10,57
2023-05-11,58
2023-05-12,64
2023-05-13,74
2023-05-14,74
2023-05-15,53
2023-05-16,59
2023-05-17,57
2023-05-18,59
2023-05-19,59
2023-05-20,71
2023-05-21,72
2023-05-22,55
2023-05-23,61
2023-05-24,59
2023-05-25,63
