Time,popeyes
2025-12-11,44
2025-12-12,46
2025-12-13,55
2025-12-14,49
2025-12-15,40
2025-12-16,38
2025-12-17,42
2025-12-18,44
2025-12-19,46
2025-12-20,53
2025-12-21,53
2025-12-22,48
2025-12-23,52
2025-12-24,66
2025-12-25,67
2025-12-26,44
2025-12-27,45
2025-12-28,49
2025-12-29,47
2025-12-30,52
2025-12-31,60
2026-01-01,64
2026-01-02,55
2026-01-03,51
2026-01-04,55
2026-01-05,42
2026-01-06,44
2026-01-07,43
2026-01-08,45
2026-01-09,48
2026-01-10,53
2026-01-11,50
2026-01-12,40
2026-01-13,39
2026-01-14,41
2026-01-15,41
2026-01-16,46
2026-01-17,50
2026-01-18,53
2026-01-19,46
2026-01-20,42
2026-01-21,41
2026-01-22,41
2026-01-23,44
2026-01-24,45
2026-01-25,40
2026-01-26,36
2026-01-27,37
2026-01-28,41
2026-01-29,41
2026-01-30,44
2026-01-31,54
2026-02-01,52
2026-02-02,40
2026-02-03,40
2026-02-04,40
2026-02-05,40
2026-02-06,43
2026-02-07,48
2026-02-08,51
2026-02-09,31
2026-02-10,34
2026-02-11,40
2026-02-12,38
2026-02-13,42
2026-02-14,43
2026-02-15,45
2026-02-16,43
2026-02-17,40
2026-02-18,42
2026-02-19,43
2026-02-20,47
2026-02-21,57
2026-02-22,50
2026-02-23,40
2026-02-24,41
2026-02-25,42
2026-02-26,42
2026-02-27,48
2026-02-28,58
2026-03-01,52
2026-03-02,40
2026-03-03,39
2026-03-04,41
2026-03-05,42
2026-03-06,50
2026-03-07,54
2026-03-08,52
2026-03-09,39
2026-03-10,43
2026-03-11,42
2026-03-12,45
2026-03-13,51
2026-03-14,60
2026-03-15,63
2026-03-16,44
2026-03-17,44
2026-03-18,45
2026-03-19,44
2026-03-20,47
2026-03-21,53
2026-03-22,54
2026-03-23,41
2026-03-24,42
2026-03-25,44
2026-03-26,42
2026-03-27,48
2026-03-28,55
2026-03-29,56
2026-03-30,40
2026-03-31,40
2026-04-01,43
2026-04-02,45
2026-04-03,51
2026-04-04,57
2026-04-05,67
2026-04-06,45
2026-04-07,47
2026-04-08,48
2026-04-09,45
2026-04-10,51
2026-04-11,56
2026-04-12,62
2026-04-13,86
2026-04-14,100
2026-04-15,84
2026-04-16,65
2026-04-17,62
2026-04-18,67
2026-04-19,64
2026-04-20,49
2026-04-21,47
2026-04-22,53
2026-04-23,47
2026-04-24,53
2026-04-25,56
2026-04-26,61
2026-04-27,43
2026-04-28,44
2026-04-29,45
2026-04-30,44
2026-05-01,48
2026-05-02,51
2026-05-03,53
2026-05-04,54
2026-05-05,40
2026-05-06,51
2026-05-07,43
2026-05-08,45
2026-05-09,52
2026-05-10,50
2026-05-11,38
2026-05-12,41
2026-05-13,41
2026-05-14,41
2026-05-15,43
2026-05-16,52
2026-05-17,52
2026-05-18,40
2026-05-19,40
2026-05-20,43
2026-05-21,46
2026-05-22,48
2026-05-23,50
2026-05-24,52
2026-05-25,49
2026-05-26,39
2026-05-27,42
2026-05-28,43
2026-05-29,47
2026-05-30,49
2026-05-31,57
