Time,tampa bay lightning
2025-04-15,34
2025-04-16,48
2025-04-17,33
2025-04-18,34
2025-04-19,24
2025-04-20,26
2025-04-21,22
2025-04-22,47
2025-04-23,99
2025-04-24,53
2025-04-25,63
2025-04-26,73
2025-04-27,42
2025-04-28,48
2025-04-29,86
2025-04-30,45
2025-05-01,100
2025-05-02,16
2025-05-03,13
2025-05-04,11
2025-05-05,10
2025-05-06,8
2025-05-07,8
2025-05-08,6
2025-05-09,7
2025-05-10,11
2025-05-11,8
2025-05-12,7
2025-05-13,6
2025-05-14,10
2025-05-15,7
2025-05-16,7
2025-05-17,9
2025-05-18,7
2025-05-19,7
2025-05-20,3
2025-05-21,5
2025-05-22,6
2025-05-23,7
2025-05-24,8
2025-05-25,6
2025-05-26,7
2025-05-27,7
2025-05-28,6
2025-05-29,9
2025-05-30,7
2025-05-31,5
2025-06-01,6
2025-06-02,6
2025-06-03,5
2025-06-04,7
2025-06-05,6
2025-06-06,7
2025-06-07,8
2025-06-08,5
2025-06-09,5
2025-06-10,10
2025-06-11,6
2025-06-12,5
2025-06-13,7
2025-06-14,6
2025-06-15,7
2025-06-16,4
2025-06-17,4
2025-06-18,20
2025-06-19,8
2025-06-20,9
2025-06-21,7
2025-06-22,6
2025-06-23,6
2025-06-24,8
2025-06-25,9
2025-06-26,7
2025-06-27,12
2025-06-28,13
2025-06-29,13
2025-06-30,9
2025-07-01,12
2025-07-02,12
2025-07-03,7
2025-07-04,5
2025-07-05,8
2025-07-06,6
2025-07-07,7
2025-07-08,7
2025-07-09,9
2025-07-10,8
2025-07-11,3
2025-07-12,8
2025-07-13,6
2025-07-14,8
2025-07-15,6
2025-07-16,16
2025-07-17,10
2025-07-18,8
2025-07-19,7
2025-07-20,7
2025-07-21,8
2025-07-22,6
2025-07-23,7
2025-07-24,8
2025-07-25,5
2025-07-26,6
2025-07-27,5
2025-07-28,6
2025-07-29,8
2025-07-30,7
2025-07-31,7
2025-08-01,6
2025-08-02,8
2025-08-03,5
2025-08-04,6
2025-08-05,5
2025-08-06,6
2025-08-07,5
2025-08-08,7
2025-08-09,6
2025-08-10,7
2025-08-11,7
2025-08-12,7
2025-08-13,8
2025-08-14,8
2025-08-15,8
2025-08-16,6
2025-08-17,5
2025-08-18,7
2025-08-19,8
2025-08-20,7
2025-08-21,5
2025-08-22,6
2025-08-23,5
2025-08-24,5
2025-08-25,4
2025-08-26,5
2025-08-27,7
2025-08-28,6
2025-08-29,5
2025-08-30,7
2025-08-31,7
2025-09-01,7
2025-09-02,7
2025-09-03,7
2025-09-04,8
2025-09-05,6
2025-09-06,8
2025-09-07,5
2025-09-08,6
2025-09-09,6
2025-09-10,5
2025-09-11,5
2025-09-12,8
2025-09-13,8
2025-09-14,7
2025-09-15,8
2025-09-16,8
2025-09-17,7
2025-09-18,7
2025-09-19,11
2025-09-20,10
2025-09-21,8
2025-09-22,17
2025-09-23,21
2025-09-24,17
2025-09-25,13
2025-09-26,18
2025-09-27,28
2025-09-28,19
2025-09-29,12
2025-09-30,17
2025-10-01,20
2025-10-02,20
2025-10-03,25
2025-10-04,21
2025-10-05,31
2025-10-06,22
2025-10-07,31
2025-10-08,20
2025-10-09,47
2025-10-10,46
2025-10-11,30
2025-10-12,39
2025-10-13,42
2025-10-14,27
2025-10-15,30
2025-10-16,18
2025-10-17,30
2025-10-18,39
2025-10-19,28
2025-10-20,14
2025-10-21,15
2025-10-22,18
2025-10-23,34
2025-10-24,34
2025-10-25,40
2025-10-26,45
2025-10-27,22
2025-10-28,18
2025-10-29,27
2025-10-30,23
2025-10-31,33
2025-11-01,17
2025-11-02,37
2025-11-03,20
2025-11-04,17
2025-11-05,31
2025-11-06,18
2025-11-07,28
2025-11-08,29
2025-11-09,39
2025-11-10,18
2025-11-11,16
2025-11-12,27
2025-11-13,33
2025-11-14,15
2025-11-15,30
2025-11-16,44
2025-11-17,23
2025-11-18,27
2025-11-19,38
2025-11-20,26
2025-11-21,44
2025-11-22,24
2025-11-23,36
2025-11-24,23
2025-11-25,36
2025-11-26,25
2025-11-27,36
2025-11-28,37
2025-11-29,38
2025-11-30,22
2025-12-01,17
2025-12-02,21
2025-12-03,29
2025-12-04,25
2025-12-05,37
2025-12-06,27
2025-12-07,39
2025-12-08,24
2025-12-09,41
2025-12-10,32
2025-12-11,27
2025-12-12,41
2025-12-13,41
2025-12-14,23
2025-12-15,23
2025-12-16,35
2025-12-17,21
2025-12-18,21
2025-12-19,30
2025-12-20,25
2025-12-21,44
2025-12-22,25
2025-12-23,37
2025-12-24,14
2025-12-25,12
2025-12-26,20
2025-12-27,24
2025-12-28,64
2025-12-29,36
2025-12-30,18
2025-12-31,26
2026-01-01,28
2026-01-02,34
2026-01-03,40
2026-01-04,26
2026-01-05,19
2026-01-06,25
2026-01-07,43
2026-01-08,23
2026-01-09,19
