Time,best buy
2025-12-11,62
2025-12-12,64
2025-12-13,83
2025-12-14,74
2025-12-15,68
2025-12-16,66
2025-12-17,70
2025-12-18,76
2025-12-19,78
2025-12-20,87
2025-12-21,88
2025-12-22,87
2025-12-23,85
2025-12-24,100
2025-12-25,69
2025-12-26,87
2025-12-27,82
2025-12-28,72
2025-12-29,71
2025-12-30,71
2025-12-31,69
2026-01-01,66
2026-01-02,68
2026-01-03,69
2026-01-04,63
2026-01-05,53
2026-01-06,52
2026-01-07,51
2026-01-08,50
2026-01-09,54
2026-01-10,59
2026-01-11,60
2026-01-12,51
2026-01-13,53
2026-01-14,52
2026-01-15,55
2026-01-16,55
2026-01-17,64
2026-01-18,64
2026-01-19,60
2026-01-20,53
2026-01-21,57
2026-01-22,53
2026-01-23,55
2026-01-24,64
2026-01-25,58
2026-01-26,56
2026-01-27,53
2026-01-28,53
2026-01-29,55
2026-01-30,60
2026-01-31,68
2026-02-01,73
2026-02-02,58
2026-02-03,58
2026-02-04,57
2026-02-05,59
2026-02-06,59
2026-02-07,67
2026-02-08,65
2026-02-09,52
2026-02-10,58
2026-02-11,52
2026-02-12,46
2026-02-13,59
2026-02-14,65
2026-02-15,68
2026-02-16,69
2026-02-17,57
2026-02-18,53
2026-02-19,54
2026-02-20,57
2026-02-21,64
2026-02-22,61
2026-02-23,53
2026-02-24,53
2026-02-25,53
2026-02-26,58
2026-02-27,63
2026-02-28,62
2026-03-01,59
2026-03-02,52
2026-03-03,54
2026-03-04,56
2026-03-05,56
2026-03-06,55
2026-03-07,62
2026-03-08,62
2026-03-09,53
2026-03-10,50
2026-03-11,53
2026-03-12,51
2026-03-13,52
2026-03-14,66
2026-03-15,64
2026-03-16,54
2026-03-17,51
2026-03-18,52
2026-03-19,55
2026-03-20,57
2026-03-21,64
2026-03-22,58
2026-03-23,51
2026-03-24,48
2026-03-25,50
2026-03-26,48
2026-03-27,52
2026-03-28,59
2026-03-29,60
2026-03-30,49
2026-03-31,48
2026-04-01,48
2026-04-02,50
2026-04-03,52
2026-04-04,55
2026-04-05,58
2026-04-06,56
2026-04-07,53
2026-04-08,52
2026-04-09,52
2026-04-10,50
2026-04-11,57
2026-04-12,52
2026-04-13,45
2026-04-14,47
2026-04-15,45
2026-04-16,48
2026-04-17,59
2026-04-18,57
2026-04-19,55
2026-04-20,48
2026-04-21,48
2026-04-22,50
2026-04-23,47
2026-04-24,48
2026-04-25,52
2026-04-26,54
2026-04-27,47
2026-04-28,46
2026-04-29,47
2026-04-30,52
2026-05-01,51
2026-05-02,60
2026-05-03,60
2026-05-04,47
2026-05-05,50
2026-05-06,52
2026-05-07,51
2026-05-08,52
2026-05-09,59
2026-05-10,53
2026-05-11,51
2026-05-12,49
2026-05-13,51
2026-05-14,53
2026-05-15,55
2026-05-16,57
2026-05-17,58
2026-05-18,53
2026-05-19,50
2026-05-20,51
2026-05-21,53
2026-05-22,66
2026-05-23,71
2026-05-24,65
2026-05-25,65
2026-05-26,51
2026-05-27,50
2026-05-28,56
2026-05-29,54
2026-05-30,59
2026-05-31,63
