Time,best buy
2023-12-22,88
2023-12-23,100
2023-12-24,90
2023-12-25,65
2023-12-26,82
2023-12-27,68
2023-12-28,62
2023-12-29,62
2023-12-30,65
2023-12-31,59
2024-01-01,54
2024-01-02,52
2024-01-03,50
2024-01-04,48
2024-01-05,48
2024-01-06,57
2024-01-07,52
2024-01-08,42
2024-01-09,38
2024-01-10,41
2024-01-11,41
2024-01-12,45
2024-01-13,52
2024-01-14,48
2024-01-15,43
2024-01-16,38
2024-01-17,41
2024-01-18,39
2024-01-19,43
2024-01-20,51
2024-01-21,53
2024-01-22,39
2024-01-23,38
2024-01-24,40
2024-01-25,39
2024-01-26,40
2024-01-27,50
2024-01-28,47
2024-01-29,37
2024-01-30,42
2024-01-31,40
2024-02-01,40
2024-02-02,42
2024-02-03,51
2024-02-04,49
2024-02-05,38
2024-02-06,40
2024-02-07,37
2024-02-08,39
2024-02-09,42
2024-02-10,50
2024-02-11,44
2024-02-12,34
2024-02-13,38
2024-02-14,39
2024-02-15,39
2024-02-16,43
2024-02-17,54
2024-02-18,53
2024-02-19,48
2024-02-20,42
2024-02-21,39
2024-02-22,41
2024-02-23,43
2024-02-24,50
2024-02-25,50
2024-02-26,40
2024-02-27,37
2024-02-28,39
2024-02-29,41
2024-03-01,42
2024-03-02,53
2024-03-03,49
2024-03-04,41
2024-03-05,40
2024-03-06,40
2024-03-07,38
2024-03-08,40
2024-03-09,50
2024-03-10,48
2024-03-11,39
2024-03-12,38
2024-03-13,39
2024-03-14,38
2024-03-15,40
2024-03-16,48
2024-03-17,48
2024-03-18,40
2024-03-19,37
2024-03-20,38
2024-03-21,36
2024-03-22,40
2024-03-23,44
2024-03-24,45
2024-03-25,37
2024-03-26,34
2024-03-27,36
2024-03-28,37
2024-03-29,40
2024-03-30,43
2024-03-31,42
2024-04-01,40
2024-04-02,37
2024-04-03,37
2024-04-04,35
2024-04-05,38
2024-04-06,44
2024-04-07,42
2024-04-08,35
2024-04-09,35
2024-04-10,36
2024-04-11,36
2024-04-12,38
2024-04-13,43
2024-04-14,44
2024-04-15,37
2024-04-16,34
2024-04-17,34
2024-04-18,34
2024-04-19,37
2024-04-20,45
2024-04-21,43
2024-04-22,36
2024-04-23,35
2024-04-24,34
2024-04-25,33
2024-04-26,36
2024-04-27,43
2024-04-28,43
2024-04-29,37
2024-04-30,35
2024-05-01,35
2024-05-02,35
2024-05-03,38
2024-05-04,42
2024-05-05,43
2024-05-06,36
2024-05-07,36
2024-05-08,36
2024-05-09,38
2024-05-10,40
2024-05-11,49
2024-05-12,42
2024-05-13,37
2024-05-14,36
2024-05-15,35
2024-05-16,35
2024-05-17,40
2024-05-18,46
2024-05-19,46
2024-05-20,38
2024-05-21,37
2024-05-22,38
2024-05-23,40
2024-05-24,43
2024-05-25,49
2024-05-26,50
2024-05-27,53
2024-05-28,38
2024-05-29,37
2024-05-30,39
2024-05-31,39
2024-06-01,45
2024-06-02,45
2024-06-03,40
2024-06-04,38
2024-06-05,40
2024-06-06,40
2024-06-07,41
2024-06-08,47
2024-06-09,50
2024-06-10,42
2024-06-11,41
2024-06-12,39
2024-06-13,41
2024-06-14,43
2024-06-15,47
2024-06-16,47
2024-06-17,42
2024-06-18,40
2024-06-19,42
2024-06-20,38
2024-06-21,43
2024-06-22,49
2024-06-23,46
2024-06-24,40
2024-06-25,40
2024-06-26,39
2024-06-27,38
2024-06-28,41
2024-06-29,48
2024-06-30,47
2024-07-01,44
2024-07-02,43
2024-07-03,46
2024-07-04,53
2024-07-05,47
2024-07-06,49
2024-07-07,48
2024-07-08,41
2024-07-09,41
2024-07-10,42
2024-07-11,43
2024-07-12,42
2024-07-13,48
2024-07-14,42
2024-07-15,41
2024-07-16,55
2024-07-17,54
2024-07-18,47
2024-07-19,43
2024-07-20,49
2024-07-21,48
2024-07-22,41
2024-07-23,41
2024-07-24,41
2024-07-25,40
2024-07-26,41
2024-07-27,44
2024-07-28,45
2024-07-29,39
2024-07-30,40
2024-07-31,39
2024-08-01,41
2024-08-02,43
2024-08-03,49
2024-08-04,49
2024-08-05,40
2024-08-06,38
2024-08-07,41
2024-08-08,40
2024-08-09,43
2024-08-10,48
2024-08-11,49
2024-08-12,41
2024-08-13,40
2024-08-14,42
2024-08-15,41
2024-08-16,43
2024-08-17,49
2024-08-18,49
2024-08-19,41
2024-08-20,41
2024-08-21,41
2024-08-22,38
2024-08-23,42
2024-08-24,49
2024-08-25,50
2024-08-26,42
2024-08-27,41
2024-08-28,40
2024-08-29,42
2024-08-30,41
2024-08-31,52
2024-09-01,54
2024-09-02,58
2024-09-03,41
2024-09-04,38
2024-09-05,37
2024-09-06,40
2024-09-07,45
2024-09-08,44
2024-09-09,39
2024-09-10,37
2024-09-11,36
2024-09-12,39
2024-09-13,39
2024-09-14,48
2024-09-15,43
2024-09-16,37
