cluster,n_terms,share_of_terms
1,42,0.049586776859504134
2,115,0.1357733175914994
3,227,0.2680047225501771
4,28,0.03305785123966942
5,88,0.1038961038961039
6,28,0.03305785123966942
7,37,0.043683589138134596
8,24,0.02833530106257379
9,49,0.05785123966942149
10,74,0.08736717827626919
11,26,0.030696576151121605
12,109,0.12868949232585597
