Time,march madness
2023-04-26,49
2023-04-27,50
2023-04-28,41
2023-04-29,38
2023-04-30,35
2023-05-01,42
2023-05-02,36
2023-05-03,34
2023-05-04,33
2023-05-05,28
2023-05-06,32
2023-05-07,37
2023-05-08,31
2023-05-09,30
2023-05-10,32
2023-05-11,31
2023-05-12,31
2023-05-13,32
2023-05-14,24
2023-05-15,28
2023-05-16,26
2023-05-17,34
2023-05-18,28
2023-05-19,28
2023-05-20,26
2023-05-21,24
2023-05-22,28
2023-05-23,27
2023-05-24,28
2023-05-25,21
2023-05-26,22
2023-05-27,30
2023-05-28,26
2023-05-29,34
2023-05-30,26
2023-05-31,20
2023-06-01,23
2023-06-02,27
2023-06-03,23
2023-06-04,26
2023-06-05,26
2023-06-06,23
2023-06-07,20
2023-06-08,25
2023-06-09,20
2023-06-10,26
2023-06-11,20
2023-06-12,19
2023-06-13,22
2023-06-14,24
2023-06-15,18
2023-06-16,23
2023-06-17,21
2023-06-18,22
2023-06-19,18
2023-06-20,16
2023-06-21,20
2023-06-22,26
2023-06-23,45
2023-06-24,22
2023-06-25,24
2023-06-26,19
2023-06-27,24
2023-06-28,20
2023-06-29,18
2023-06-30,17
2023-07-01,17
2023-07-02,21
2023-07-03,17
2023-07-04,17
2023-07-05,15
2023-07-06,15
2023-07-07,21
2023-07-08,23
2023-07-09,19
2023-07-10,25
2023-07-11,21
2023-07-12,18
2023-07-13,19
2023-07-14,18
2023-07-15,15
2023-07-16,21
2023-07-17,16
2023-07-18,16
2023-07-19,16
2023-07-20,20
2023-07-21,20
2023-07-22,17
2023-07-23,16
2023-07-24,16
2023-07-25,17
2023-07-26,19
2023-07-27,21
2023-07-28,20
2023-07-29,17
2023-07-30,15
2023-07-31,18
2023-08-01,18
2023-08-02,18
2023-08-03,22
2023-08-04,22
2023-08-05,16
2023-08-06,23
2023-08-07,14
2023-08-08,18
2023-08-09,17
2023-08-10,18
2023-08-11,18
2023-08-12,17
2023-08-13,14
2023-08-14,21
2023-08-15,18
2023-08-16,20
2023-08-17,19
2023-08-18,17
2023-08-19,21
2023-08-20,16
2023-08-21,20
2023-08-22,20
2023-08-23,35
2023-08-24,21
2023-08-25,25
2023-08-26,26
2023-08-27,20
2023-08-28,16
2023-08-29,19
2023-08-30,16
2023-08-31,19
2023-09-01,22
2023-09-02,26
2023-09-03,23
2023-09-04,21
2023-09-05,23
2023-09-06,18
2023-09-07,26
2023-09-08,20
2023-09-09,18
2023-09-10,27
2023-09-11,20
2023-09-12,20
2023-09-13,20
2023-09-14,21
2023-09-15,15
2023-09-16,24
2023-09-17,22
2023-09-18,18
2023-09-19,24
2023-09-20,21
2023-09-21,21
2023-09-22,20
2023-09-23,25
2023-09-24,19
2023-09-25,21
2023-09-26,24
2023-09-27,28
2023-09-28,23
2023-09-29,22
2023-09-30,22
2023-10-01,20
2023-10-02,21
2023-10-03,30
2023-10-04,30
2023-10-05,27
2023-10-06,29
2023-10-07,27
2023-10-08,26
2023-10-09,28
2023-10-10,24
2023-10-11,31
2023-10-12,29
2023-10-13,25
2023-10-14,30
2023-10-15,21
2023-10-16,38
2023-10-17,28
2023-10-18,31
2023-10-19,32
2023-10-20,28
2023-10-21,29
2023-10-22,25
2023-10-23,26
2023-10-24,29
2023-10-25,38
2023-10-26,29
2023-10-27,28
2023-10-28,28
2023-10-29,20
2023-10-30,32
2023-10-31,31
2023-11-01,30
2023-11-02,31
2023-11-03,31
2023-11-04,30
2023-11-05,29
2023-11-06,41
2023-11-07,65
2023-11-08,52
2023-11-09,42
2023-11-10,39
2023-11-11,54
2023-11-12,33
2023-11-13,37
2023-11-14,45
2023-11-15,59
2023-11-16,34
2023-11-17,37
2023-11-18,42
2023-11-19,37
2023-11-20,44
2023-11-21,43
2023-11-22,56
2023-11-23,50
2023-11-24,42
2023-11-25,42
2023-11-26,32
2023-11-27,38
2023-11-28,41
2023-11-29,48
2023-11-30,49
2023-12-01,38
2023-12-02,51
2023-12-03,41
2023-12-04,43
2023-12-05,46
2023-12-06,56
2023-12-07,44
2023-12-08,40
2023-12-09,43
2023-12-10,46
2023-12-11,41
2023-12-12,42
2023-12-13,37
2023-12-14,47
2023-12-15,34
2023-12-16,42
2023-12-17,40
2023-12-18,41
2023-12-19,41
2023-12-20,46
2023-12-21,46
2023-12-22,45
2023-12-23,53
2023-12-24,30
2023-12-25,35
2023-12-26,38
2023-12-27,40
2023-12-28,35
2023-12-29,51
2023-12-30,59
2023-12-31,38
2024-01-01,52
2024-01-02,71
2024-01-03,83
2024-01-04,79
2024-01-05,81
2024-01-06,74
2024-01-07,71
2024-01-08,75
2024-01-09,83
2024-01-10,100
2024-01-11,87
2024-01-12,72
2024-01-13,72
2024-01-14,73
2024-01-15,71
2024-01-16,75
2024-01-17,99
2024-01-18,91
2024-01-19,78
2024-01-20,96
