Time,nhl standings
2023-04-26,36
2023-04-27,38
2023-04-28,39
2023-04-29,59
2023-04-30,67
2023-05-01,89
2023-05-02,39
2023-05-03,31
2023-05-04,26
2023-05-05,27
2023-05-06,29
2023-05-07,31
2023-05-08,32
2023-05-09,31
2023-05-10,25
2023-05-11,23
2023-05-12,29
2023-05-13,43
2023-05-14,35
2023-05-15,31
2023-05-16,29
2023-05-17,16
2023-05-18,15
2023-05-19,25
2023-05-20,24
2023-05-21,30
2023-05-22,16
2023-05-23,20
2023-05-24,22
2023-05-25,30
2023-05-26,20
2023-05-27,15
2023-05-28,23
2023-05-29,15
2023-05-30,21
2023-05-31,7
2023-06-01,9
2023-06-02,10
2023-06-03,11
2023-06-04,21
2023-06-05,10
2023-06-06,14
2023-06-07,9
2023-06-08,8
2023-06-09,15
2023-06-10,11
2023-06-11,19
2023-06-12,12
2023-06-13,11
2023-06-14,18
2023-06-15,5
2023-06-16,3
2023-06-17,4
2023-06-18,3
2023-06-19,3
2023-06-20,2
2023-06-21,2
2023-06-22,3
2023-06-23,2
2023-06-24,2
2023-06-25,3
2023-06-26,2
2023-06-27,2
2023-06-28,3
2023-06-29,6
2023-06-30,2
2023-07-01,2
2023-07-02,3
2023-07-03,4
2023-07-04,1
2023-07-05,2
2023-07-06,3
2023-07-07,2
2023-07-08,2
2023-07-09,2
2023-07-10,2
2023-07-11,2
2023-07-12,2
2023-07-13,0
2023-07-14,2
2023-07-15,1
2023-07-16,2
2023-07-17,1
2023-07-18,1
2023-07-19,3
2023-07-20,2
2023-07-21,0
2023-07-22,0
2023-07-23,2
2023-07-24,1
2023-07-25,1
2023-07-26,1
2023-07-27,0
2023-07-28,2
2023-07-29,2
2023-07-30,2
2023-07-31,2
2023-08-01,1
2023-08-02,0
2023-08-03,2
2023-08-04,2
2023-08-05,2
2023-08-06,2
2023-08-07,2
2023-08-08,1
2023-08-09,1
2023-08-10,1
2023-08-11,2
2023-08-12,2
2023-08-13,2
2023-08-14,0
2023-08-15,1
2023-08-16,2
2023-08-17,2
2023-08-18,0
2023-08-19,0
2023-08-20,2
2023-08-21,1
2023-08-22,1
2023-08-23,2
2023-08-24,1
2023-08-25,2
2023-08-26,2
2023-08-27,0
2023-08-28,0
2023-08-29,0
2023-08-30,2
2023-08-31,2
2023-09-01,2
2023-09-02,1
2023-09-03,2
2023-09-04,3
2023-09-05,2
2023-09-06,2
2023-09-07,1
2023-09-08,2
2023-09-09,1
2023-09-10,2
2023-09-11,2
2023-09-12,2
2023-09-13,2
2023-09-14,2
2023-09-15,1
2023-09-16,3
2023-09-17,0
2023-09-18,2
2023-09-19,2
2023-09-20,2
2023-09-21,2
2023-09-22,2
2023-09-23,4
2023-09-24,4
2023-09-25,5
2023-09-26,6
2023-09-27,6
2023-09-28,4
2023-09-29,5
2023-09-30,4
2023-10-01,5
2023-10-02,7
2023-10-03,6
2023-10-04,6
2023-10-05,8
2023-10-06,8
2023-10-07,6
2023-10-08,8
2023-10-09,7
2023-10-10,14
2023-10-11,17
2023-10-12,21
2023-10-13,23
2023-10-14,22
2023-10-15,39
2023-10-16,27
2023-10-17,37
2023-10-18,43
2023-10-19,37
2023-10-20,43
2023-10-21,38
2023-10-22,73
2023-10-23,47
2023-10-24,44
2023-10-25,78
2023-10-26,41
2023-10-27,60
2023-10-28,52
2023-10-29,56
2023-10-30,44
2023-10-31,61
2023-11-01,43
2023-11-02,51
2023-11-03,74
2023-11-04,48
2023-11-05,86
2023-11-06,49
2023-11-07,55
2023-11-08,69
2023-11-09,48
2023-11-10,75
2023-11-11,68
2023-11-12,80
2023-11-13,58
2023-11-14,42
2023-11-15,71
2023-11-16,56
2023-11-17,51
2023-11-18,49
2023-11-19,79
2023-11-20,63
2023-11-21,54
2023-11-22,37
2023-11-23,89
2023-11-24,56
2023-11-25,87
2023-11-26,81
2023-11-27,57
2023-11-28,63
2023-11-29,60
2023-11-30,48
2023-12-01,70
2023-12-02,50
2023-12-03,79
2023-12-04,58
2023-12-05,55
2023-12-06,67
2023-12-07,49
2023-12-08,62
2023-12-09,58
2023-12-10,81
2023-12-11,58
2023-12-12,56
2023-12-13,73
2023-12-14,61
2023-12-15,55
2023-12-16,69
2023-12-17,87
2023-12-18,46
2023-12-19,45
2023-12-20,86
2023-12-21,51
2023-12-22,75
2023-12-23,66
2023-12-24,98
2023-12-25,43
2023-12-26,35
2023-12-27,37
2023-12-28,97
2023-12-29,57
2023-12-30,78
2023-12-31,84
2024-01-01,82
2024-01-02,43
2024-01-03,75
2024-01-04,50
2024-01-05,92
2024-01-06,67
2024-01-07,85
2024-01-08,48
2024-01-09,60
2024-01-10,62
2024-01-11,50
2024-01-12,87
2024-01-13,66
2024-01-14,100
2024-01-15,63
2024-01-16,62
2024-01-17,63
2024-01-18,60
2024-01-19,76
2024-01-20,70
