Time,nhl standings
2025-12-11,22
2025-12-12,31
2025-12-13,25
2025-12-14,34
2025-12-15,22
2025-12-16,19
2025-12-17,32
2025-12-18,21
2025-12-19,24
2025-12-20,29
2025-12-21,33
2025-12-22,27
2025-12-23,21
2025-12-24,40
2025-12-25,13
2025-12-26,13
2025-12-27,14
2025-12-28,40
2025-12-29,23
2025-12-30,33
2025-12-31,27
2026-01-01,33
2026-01-02,27
2026-01-03,35
2026-01-04,34
2026-01-05,20
2026-01-06,23
2026-01-07,34
2026-01-08,25
2026-01-09,36
2026-01-10,29
2026-01-11,38
2026-01-12,23
2026-01-13,28
2026-01-14,25
2026-01-15,25
2026-01-16,35
2026-01-17,31
2026-01-18,29
2026-01-19,21
2026-01-20,26
2026-01-21,23
2026-01-22,25
2026-01-23,31
2026-01-24,33
2026-01-25,32
2026-01-26,23
2026-01-27,22
2026-01-28,34
2026-01-29,25
2026-01-30,43
2026-01-31,31
2026-02-01,36
2026-02-02,27
2026-02-03,33
2026-02-04,32
2026-02-05,30
2026-02-06,24
2026-02-07,11
2026-02-08,8
2026-02-09,7
2026-02-10,7
2026-02-11,7
2026-02-12,7
2026-02-13,5
2026-02-14,7
2026-02-15,8
2026-02-16,6
2026-02-17,4
2026-02-18,5
2026-02-19,6
2026-02-20,6
2026-02-21,6
2026-02-22,17
2026-02-23,10
2026-02-24,8
2026-02-25,10
2026-02-26,24
2026-02-27,35
2026-02-28,34
2026-03-01,41
2026-03-02,30
2026-03-03,29
2026-03-04,37
2026-03-05,30
2026-03-06,41
2026-03-07,44
2026-03-08,47
2026-03-09,44
2026-03-10,28
2026-03-11,46
2026-03-12,26
2026-03-13,37
2026-03-14,33
2026-03-15,50
2026-03-16,29
2026-03-17,36
2026-03-18,36
2026-03-19,35
2026-03-20,44
2026-03-21,44
2026-03-22,54
2026-03-23,39
2026-03-24,25
2026-03-25,46
2026-03-26,35
2026-03-27,48
2026-03-28,43
2026-03-29,74
2026-03-30,45
2026-03-31,43
2026-04-01,50
2026-04-02,41
2026-04-03,59
2026-04-04,65
2026-04-05,100
2026-04-06,58
2026-04-07,52
2026-04-08,70
2026-04-09,50
2026-04-10,73
2026-04-11,65
2026-04-12,91
2026-04-13,63
2026-04-14,77
2026-04-15,50
2026-04-16,35
2026-04-17,36
2026-04-18,24
2026-04-19,26
2026-04-20,18
2026-04-21,14
2026-04-22,13
2026-04-23,14
2026-04-24,13
2026-04-25,15
2026-04-26,18
2026-04-27,13
2026-04-28,11
2026-04-29,11
2026-04-30,14
2026-05-01,15
2026-05-02,15
2026-05-03,14
2026-05-04,11
2026-05-05,10
2026-05-06,11
2026-05-07,9
2026-05-08,9
2026-05-09,11
2026-05-10,13
2026-05-11,9
2026-05-12,8
2026-05-13,9
2026-05-14,9
2026-05-15,9
2026-05-16,7
2026-05-17,9
2026-05-18,5
2026-05-19,9
2026-05-20,5
2026-05-21,7
2026-05-22,7
2026-05-23,8
2026-05-24,8
2026-05-25,9
2026-05-26,7
2026-05-27,10
2026-05-28,8
2026-05-29,5
2026-05-30,9
2026-05-31,6
