Time,nhl standings
2023-12-22,27
2023-12-23,24
2023-12-24,35
2023-12-25,15
2023-12-26,13
2023-12-27,13
2023-12-28,35
2023-12-29,21
2023-12-30,28
2023-12-31,30
2024-01-01,30
2024-01-02,16
2024-01-03,27
2024-01-04,18
2024-01-05,34
2024-01-06,24
2024-01-07,31
2024-01-08,17
2024-01-09,22
2024-01-10,22
2024-01-11,18
2024-01-12,32
2024-01-13,24
2024-01-14,36
2024-01-15,23
2024-01-16,22
2024-01-17,23
2024-01-18,22
2024-01-19,28
2024-01-20,25
2024-01-21,27
2024-01-22,22
2024-01-23,22
2024-01-24,25
2024-01-25,23
2024-01-26,23
2024-01-27,27
2024-01-28,32
2024-01-29,15
2024-01-30,12
2024-01-31,11
2024-02-01,13
2024-02-02,8
2024-02-03,11
2024-02-04,9
2024-02-05,7
2024-02-06,14
2024-02-07,22
2024-02-08,17
2024-02-09,19
2024-02-10,24
2024-02-11,26
2024-02-12,12
2024-02-13,20
2024-02-14,22
2024-02-15,17
2024-02-16,27
2024-02-17,23
2024-02-18,42
2024-02-19,32
2024-02-20,23
2024-02-21,26
2024-02-22,23
2024-02-23,36
2024-02-24,37
2024-02-25,43
2024-02-26,34
2024-02-27,22
2024-02-28,33
2024-02-29,23
2024-03-01,30
2024-03-02,27
2024-03-03,40
2024-03-04,22
2024-03-05,23
2024-03-06,27
2024-03-07,20
2024-03-08,33
2024-03-09,31
2024-03-10,45
2024-03-11,25
2024-03-12,24
2024-03-13,34
2024-03-14,27
2024-03-15,37
2024-03-16,31
2024-03-17,47
2024-03-18,28
2024-03-19,29
2024-03-20,42
2024-03-21,24
2024-03-22,35
2024-03-23,40
2024-03-24,51
2024-03-25,33
2024-03-26,25
2024-03-27,53
2024-03-28,28
2024-03-29,46
2024-03-30,35
2024-03-31,54
2024-04-01,26
2024-04-02,46
2024-04-03,46
2024-04-04,46
2024-04-05,53
2024-04-06,76
2024-04-07,70
2024-04-08,48
2024-04-09,49
2024-04-10,61
2024-04-11,40
2024-04-12,75
2024-04-13,73
2024-04-14,100
2024-04-15,55
2024-04-16,100
2024-04-17,72
2024-04-18,33
2024-04-19,27
2024-04-20,20
2024-04-21,26
2024-04-22,16
2024-04-23,13
2024-04-24,14
2024-04-25,13
2024-04-26,11
2024-04-27,15
2024-04-28,18
2024-04-29,14
2024-04-30,12
2024-05-01,12
2024-05-02,11
2024-05-03,11
2024-05-04,11
2024-05-05,21
2024-05-06,12
2024-05-07,10
2024-05-08,11
2024-05-09,8
2024-05-10,8
2024-05-11,10
2024-05-12,11
2024-05-13,9
2024-05-14,8
2024-05-15,8
2024-05-16,7
2024-05-17,11
2024-05-18,15
2024-05-19,10
2024-05-20,6
2024-05-21,8
2024-05-22,5
2024-05-23,6
2024-05-24,6
2024-05-25,8
2024-05-26,9
2024-05-27,6
2024-05-28,7
2024-05-29,6
2024-05-30,6
2024-05-31,7
2024-06-01,7
2024-06-02,12
2024-06-03,8
2024-06-04,4
2024-06-05,3
2024-06-06,3
2024-06-07,3
2024-06-08,4
2024-06-09,6
2024-06-10,4
2024-06-11,4
2024-06-12,3
2024-06-13,3
2024-06-14,6
2024-06-15,4
2024-06-16,5
2024-06-17,3
2024-06-18,4
2024-06-19,6
2024-06-20,3
2024-06-21,4
2024-06-22,8
2024-06-23,4
2024-06-24,4
2024-06-25,8
2024-06-26,2
2024-06-27,1
2024-06-28,2
2024-06-29,2
2024-06-30,1
2024-07-01,2
2024-07-02,1
2024-07-03,1
2024-07-04,1
2024-07-05,1
2024-07-06,1
2024-07-07,1
2024-07-08,1
2024-07-09,1
2024-07-10,1
2024-07-11,0
2024-07-12,0
2024-07-13,1
2024-07-14,1
2024-07-15,1
2024-07-16,0
2024-07-17,1
2024-07-18,1
2024-07-19,0
2024-07-20,0
2024-07-21,0
2024-07-22,0
2024-07-23,1
2024-07-24,1
2024-07-25,1
2024-07-26,0
2024-07-27,1
2024-07-28,1
2024-07-29,1
2024-07-30,0
2024-07-31,1
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,1
2024-08-05,1
2024-08-06,0
2024-08-07,1
2024-08-08,0
2024-08-09,0
2024-08-10,0
2024-08-11,0
2024-08-12,0
2024-08-13,1
2024-08-14,0
2024-08-15,1
2024-08-16,0
2024-08-17,0
2024-08-18,0
2024-08-19,0
2024-08-20,0
2024-08-21,0
2024-08-22,0
2024-08-23,1
2024-08-24,0
2024-08-25,1
2024-08-26,1
2024-08-27,0
2024-08-28,1
2024-08-29,1
2024-08-30,1
2024-08-31,1
2024-09-01,1
2024-09-02,1
2024-09-03,1
2024-09-04,1
2024-09-05,1
2024-09-06,0
2024-09-07,1
2024-09-08,1
2024-09-09,0
2024-09-10,1
2024-09-11,0
2024-09-12,1
2024-09-13,1
2024-09-14,1
2024-09-15,1
2024-09-16,1
