Time,lamar_jackson
2022-01-01,25.0
2022-01-02,88.0
2022-01-03,21.0
2022-01-04,24.0
2022-01-05,22.0
2022-01-06,17.0
2022-01-07,24.0
2022-01-08,23.0
2022-01-09,94.0
2022-01-10,22.0
2022-01-11,11.0
2022-01-12,10.0
2022-01-13,8.0
2022-01-14,7.0
2022-01-15,13.0
2022-01-16,17.0
2022-01-17,12.0
2022-01-18,12.0
2022-01-19,8.0
2022-01-20,9.0
2022-01-21,11.0
2022-01-22,59.0
2022-01-23,57.0
2022-01-24,69.0
2022-01-25,30.0
2022-01-26,18.0
2022-01-27,13.0
2022-01-28,14.0
2022-01-29,16.0
2022-01-30,19.0
2022-01-31,17.0
2022-02-01,14.0
2022-02-02,16.0
2022-02-03,15.0
2022-02-04,15.0
2022-02-05,12.0
2022-02-06,18.0
2022-02-07,12.0
2022-02-08,9.0
2022-02-09,8.0
2022-02-10,9.0
2022-02-11,10.0
2022-02-12,10.0
2022-02-13,11.0
2022-02-14,24.0
2022-02-15,11.0
2022-02-16,11.0
2022-02-17,8.0
2022-02-18,9.0
2022-02-19,13.0
2022-02-20,8.0
2022-02-21,8.0
2022-02-22,7.0
2022-02-23,7.0
2022-02-24,7.0
2022-02-25,7.0
2022-02-26,6.0
2022-02-27,7.0
2022-02-28,7.0
2022-03-01,6.0
2022-03-02,8.0
2022-03-03,10.0
2022-03-04,10.0
2022-03-05,28.0
2022-03-06,14.0
2022-03-07,12.0
2022-03-08,12.0
2022-03-09,10.0
2022-03-10,12.0
2022-03-11,8.0
2022-03-12,7.0
2022-03-13,7.0
2022-03-14,9.0
2022-03-15,10.0
2022-03-16,10.0
2022-03-17,9.0
2022-03-18,12.0
2022-03-19,12.0
2022-03-20,10.0
2022-03-21,11.0
2022-03-22,10.0
2022-03-23,12.0
2022-03-24,10.0
2022-03-25,8.0
2022-03-26,7.0
2022-03-27,7.0
2022-03-28,6.0
2022-03-29,9.0
2022-03-30,14.0
2022-03-31,12.0
2022-04-01,13.0
2022-04-02,16.0
2022-04-03,10.0
2022-04-04,12.0
2022-04-05,8.0
2022-04-06,9.0
2022-04-07,7.0
2022-04-08,6.0
2022-04-09,11.0
2022-04-10,11.0
2022-04-11,8.0
2022-04-12,7.0
2022-04-13,7.0
2022-04-14,7.0
2022-04-15,6.0
2022-04-16,7.0
2022-04-17,7.0
2022-04-18,6.0
2022-04-19,6.0
2022-04-20,6.0
2022-04-21,5.0
2022-04-22,6.0
2022-04-23,5.0
2022-04-24,5.0
2022-04-25,6.0
2022-04-26,6.0
2022-04-27,6.0
2022-04-28,7.0
2022-04-29,64.0
2022-04-30,20.0
2022-05-01,11.0
2022-05-02,10.0
2022-05-03,8.0
2022-05-04,8.0
2022-05-05,6.0
2022-05-06,6.0
2022-05-07,7.0
2022-05-08,5.0
2022-05-09,6.0
2022-05-10,5.0
2022-05-11,5.0
2022-05-12,6.0
2022-05-13,6.0
2022-05-14,5.0
2022-05-15,6.0
2022-05-16,5.0
2022-05-17,5.0
2022-05-18,6.0
2022-05-19,5.0
2022-05-20,6.0
2022-05-21,6.0
2022-05-22,5.0
2022-05-23,5.0
2022-05-24,7.0
2022-05-25,7.0
2022-05-26,12.0
2022-05-27,13.0
2022-05-28,9.0
2022-05-29,8.0
2022-05-30,7.0
2022-05-31,6.0
2022-06-01,6.0
2022-06-02,6.0
2022-06-03,7.0
2022-06-04,6.0
2022-06-05,6.0
2022-06-06,7.0
2022-06-07,8.0
2022-06-08,8.0
2022-06-09,6.0
2022-06-10,7.0
2022-06-11,7.0
2022-06-12,6.0
2022-06-13,11.0
2022-06-14,10.0
2022-06-15,7.0
2022-06-16,13.0
2022-06-17,13.0
2022-06-18,11.0
2022-06-19,8.0
2022-06-20,8.0
2022-06-21,7.0
2022-06-22,8.0
2022-06-23,6.0
2022-06-24,5.0
2022-06-25,5.0
2022-06-26,5.0
2022-06-27,5.0
2022-06-28,5.0
2022-06-29,6.0
2022-06-30,4.0
2022-07-01,7.0
2022-07-02,5.0
2022-07-03,5.0
2022-07-04,4.0
2022-07-05,4.0
2022-07-06,6.0
2022-07-07,8.0
2022-07-08,9.0
2022-07-09,16.0
2022-07-10,28.0
2022-07-11,24.0
2022-07-12,18.0
2022-07-13,15.0
2022-07-14,26.0
2022-07-15,20.0
2022-07-16,18.0
2022-07-17,11.0
2022-07-18,9.0
2022-07-19,8.0
2022-07-20,7.0
2022-07-21,15.0
2022-07-22,16.0
2022-07-23,11.0
2022-07-24,8.0
2022-07-25,11.0
2022-07-26,17.0
2022-07-27,10.0
2022-07-28,13.0
2022-07-29,14.0
2022-07-30,12.0
2022-07-31,11.0
2022-08-01,10.0
2022-08-02,10.0
2022-08-03,9.0
2022-08-04,8.0
2022-08-05,9.0
2022-08-06,9.0
2022-08-07,7.0
2022-08-08,9.0
2022-08-09,9.0
2022-08-10,8.0
2022-08-11,9.0
2022-08-12,14.0
2022-08-13,12.0
2022-08-14,35.0
2022-08-15,26.0
2022-08-16,12.0
2022-08-17,11.0
2022-08-18,10.0
