Time,btc price
2023-04-26,30
2023-04-27,23
2023-04-28,18
2023-04-29,15
2023-04-30,17
2023-05-01,23
2023-05-02,21
2023-05-03,22
2023-05-04,18
2023-05-05,19
2023-05-06,17
2023-05-07,17
2023-05-08,23
2023-05-09,19
2023-05-10,19
2023-05-11,18
2023-05-12,17
2023-05-13,15
2023-05-14,14
2023-05-15,17
2023-05-16,16
2023-05-17,16
2023-05-18,16
2023-05-19,15
2023-05-20,12
2023-05-21,13
2023-05-22,17
2023-05-23,15
2023-05-24,16
2023-05-25,14
2023-05-26,13
2023-05-27,10
2023-05-28,16
2023-05-29,18
2023-05-30,19
2023-05-31,15
2023-06-01,15
2023-06-02,14
2023-06-03,12
2023-06-04,12
2023-06-05,21
2023-06-06,26
2023-06-07,21
2023-06-08,17
2023-06-09,14
2023-06-10,21
2023-06-11,18
2023-06-12,19
2023-06-13,17
2023-06-14,16
2023-06-15,18
2023-06-16,17
2023-06-17,15
2023-06-18,13
2023-06-19,18
2023-06-20,22
2023-06-21,38
2023-06-22,28
2023-06-23,26
2023-06-24,21
2023-06-25,20
2023-06-26,24
2023-06-27,23
2023-06-28,19
2023-06-29,18
2023-06-30,23
2023-07-01,16
2023-07-02,16
2023-07-03,21
2023-07-04,20
2023-07-05,22
2023-07-06,23
2023-07-07,19
2023-07-08,14
2023-07-09,15
2023-07-10,19
2023-07-11,18
2023-07-12,19
2023-07-13,27
2023-07-14,28
2023-07-15,18
2023-07-16,16
2023-07-17,20
2023-07-18,21
2023-07-19,20
2023-07-20,17
2023-07-21,15
2023-07-22,12
2023-07-23,14
2023-07-24,19
2023-07-25,19
2023-07-26,15
2023-07-27,16
2023-07-28,15
2023-07-29,14
2023-07-30,12
2023-07-31,15
2023-08-01,17
2023-08-02,17
2023-08-03,16
2023-08-04,14
2023-08-05,12
2023-08-06,12
2023-08-07,16
2023-08-08,17
2023-08-09,16
2023-08-10,14
2023-08-11,13
2023-08-12,9
2023-08-13,11
2023-08-14,13
2023-08-15,16
2023-08-16,14
2023-08-17,22
2023-08-18,33
2023-08-19,20
2023-08-20,17
2023-08-21,20
2023-08-22,17
2023-08-23,19
2023-08-24,17
2023-08-25,15
2023-08-26,12
2023-08-27,12
2023-08-28,14
2023-08-29,24
2023-08-30,21
2023-08-31,16
2023-09-01,17
2023-09-02,12
2023-09-03,12
2023-09-04,13
2023-09-05,14
2023-09-06,14
2023-09-07,14
2023-09-08,13
2023-09-09,9
2023-09-10,11
2023-09-11,15
2023-09-12,17
2023-09-13,15
2023-09-14,14
2023-09-15,13
2023-09-16,10
2023-09-17,11
2023-09-18,16
2023-09-19,15
2023-09-20,14
2023-09-21,14
2023-09-22,13
2023-09-23,10
2023-09-24,11
2023-09-25,14
2023-09-26,11
2023-09-27,13
2023-09-28,14
2023-09-29,13
2023-09-30,12
2023-10-01,12
2023-10-02,20
2023-10-03,14
2023-10-04,14
2023-10-05,13
2023-10-06,11
2023-10-07,13
2023-10-08,13
2023-10-09,16
2023-10-10,13
2023-10-11,14
2023-10-12,13
2023-10-13,14
2023-10-14,12
2023-10-15,11
2023-10-16,23
2023-10-17,20
2023-10-18,14
2023-10-19,15
2023-10-20,21
2023-10-21,20
2023-10-22,18
2023-10-23,37
2023-10-24,68
2023-10-25,45
2023-10-26,35
2023-10-27,26
2023-10-28,22
2023-10-29,22
2023-10-30,27
2023-10-31,23
2023-11-01,23
2023-11-02,28
2023-11-03,24
2023-11-04,19
2023-11-05,20
2023-11-06,24
2023-11-07,23
2023-11-08,22
2023-11-09,42
2023-11-10,36
2023-11-11,24
2023-11-12,21
2023-11-13,23
2023-11-14,25
2023-11-15,28
2023-11-16,27
2023-11-17,22
2023-11-18,18
2023-11-19,17
2023-11-20,25
2023-11-21,26
2023-11-22,26
2023-11-23,21
2023-11-24,24
2023-11-25,22
2023-11-26,21
2023-11-27,23
2023-11-28,24
2023-11-29,22
2023-11-30,20
2023-12-01,25
2023-12-02,25
2023-12-03,31
2023-12-04,62
2023-12-05,61
2023-12-06,54
2023-12-07,42
2023-12-08,36
2023-12-09,32
2023-12-10,28
2023-12-11,41
2023-12-12,31
2023-12-13,33
2023-12-14,35
2023-12-15,28
2023-12-16,21
2023-12-17,22
2023-12-18,27
2023-12-19,29
2023-12-20,36
2023-12-21,31
2023-12-22,30
2023-12-23,25
2023-12-24,25
2023-12-25,26
2023-12-26,31
2023-12-27,30
2023-12-28,29
2023-12-29,28
2023-12-30,21
2023-12-31,23
2024-01-01,25
2024-01-02,51
2024-01-03,46
2024-01-04,39
2024-01-05,34
2024-01-06,25
2024-01-07,26
2024-01-08,49
2024-01-09,59
2024-01-10,81
2024-01-11,100
2024-01-12,59
2024-01-13,43
2024-01-14,32
2024-01-15,36
2024-01-16,36
2024-01-17,34
2024-01-18,31
2024-01-19,32
2024-01-20,23
