Time,wells fargo
2025-12-11,81
2025-12-12,84
2025-12-13,71
2025-12-14,44
2025-12-15,81
2025-12-16,80
2025-12-17,81
2025-12-18,83
2025-12-19,85
2025-12-20,73
2025-12-21,45
2025-12-22,89
2025-12-23,88
2025-12-24,92
2025-12-25,38
2025-12-26,81
2025-12-27,67
2025-12-28,44
2025-12-29,90
2025-12-30,95
2025-12-31,100
2026-01-01,62
2026-01-02,92
2026-01-03,78
2026-01-04,49
2026-01-05,88
2026-01-06,88
2026-01-07,81
2026-01-08,79
2026-01-09,83
2026-01-10,69
2026-01-11,45
2026-01-12,79
2026-01-13,80
2026-01-14,80
2026-01-15,83
2026-01-16,88
2026-01-17,70
2026-01-18,43
2026-01-19,67
2026-01-20,79
2026-01-21,86
2026-01-22,82
2026-01-23,78
2026-01-24,64
2026-01-25,41
2026-01-26,76
2026-01-27,79
2026-01-28,80
2026-01-29,84
2026-01-30,90
2026-01-31,77
2026-02-01,56
2026-02-02,88
2026-02-03,86
2026-02-04,80
2026-02-05,78
2026-02-06,80
2026-02-07,73
2026-02-08,42
2026-02-09,68
2026-02-10,77
2026-02-11,77
2026-02-12,81
2026-02-13,85
2026-02-14,67
2026-02-15,47
2026-02-16,68
2026-02-17,78
2026-02-18,86
2026-02-19,84
2026-02-20,86
2026-02-21,78
2026-02-22,46
2026-02-23,76
2026-02-24,84
2026-02-25,79
2026-02-26,85
2026-02-27,90
2026-02-28,76
2026-03-01,64
2026-03-02,92
2026-03-03,90
2026-03-04,84
2026-03-05,85
2026-03-06,86
2026-03-07,80
2026-03-08,49
2026-03-09,85
2026-03-10,85
2026-03-11,81
2026-03-12,84
2026-03-13,85
2026-03-14,77
2026-03-15,50
2026-03-16,80
2026-03-17,83
2026-03-18,78
2026-03-19,79
2026-03-20,81
2026-03-21,70
2026-03-22,45
2026-03-23,80
2026-03-24,79
2026-03-25,79
2026-03-26,78
2026-03-27,79
2026-03-28,66
2026-03-29,49
2026-03-30,90
2026-03-31,86
2026-04-01,92
2026-04-02,87
2026-04-03,90
2026-04-04,72
2026-04-05,44
2026-04-06,84
2026-04-07,82
2026-04-08,85
2026-04-09,81
2026-04-10,84
2026-04-11,68
2026-04-12,48
2026-04-13,80
2026-04-14,88
2026-04-15,88
2026-04-16,80
2026-04-17,82
2026-04-18,67
2026-04-19,42
2026-04-20,75
2026-04-21,80
2026-04-22,75
2026-04-23,77
2026-04-24,78
2026-04-25,62
2026-04-26,43
2026-04-27,73
2026-04-28,78
2026-04-29,77
2026-04-30,85
2026-05-01,97
2026-05-02,80
2026-05-03,50
2026-05-04,79
2026-05-05,83
2026-05-06,80
2026-05-07,79
2026-05-08,83
2026-05-09,69
2026-05-10,41
2026-05-11,79
2026-05-12,86
2026-05-13,74
2026-05-14,79
2026-05-15,80
2026-05-16,69
2026-05-17,41
2026-05-18,73
2026-05-19,81
2026-05-20,78
2026-05-21,82
2026-05-22,85
2026-05-23,62
2026-05-24,50
2026-05-25,47
2026-05-26,80
2026-05-27,83
2026-05-28,88
2026-05-29,89
2026-05-30,71
2026-05-31,47
