Time,wells fargo
2023-12-22,91
2023-12-23,79
2023-12-24,46
2023-12-25,36
2023-12-26,80
2023-12-27,86
2023-12-28,94
2023-12-29,100
2023-12-30,78
2023-12-31,55
2024-01-01,56
2024-01-02,96
2024-01-03,97
2024-01-04,93
2024-01-05,90
2024-01-06,75
2024-01-07,48
2024-01-08,73
2024-01-09,75
2024-01-10,79
2024-01-11,78
2024-01-12,84
2024-01-13,69
2024-01-14,47
2024-01-15,66
2024-01-16,77
2024-01-17,84
2024-01-18,80
2024-01-19,83
2024-01-20,72
2024-01-21,49
2024-01-22,76
2024-01-23,73
2024-01-24,80
2024-01-25,78
2024-01-26,76
2024-01-27,68
2024-01-28,43
2024-01-29,75
2024-01-30,82
2024-01-31,79
2024-02-01,85
2024-02-02,89
2024-02-03,75
2024-02-04,51
2024-02-05,75
2024-02-06,76
2024-02-07,75
2024-02-08,74
2024-02-09,81
2024-02-10,71
2024-02-11,44
2024-02-12,67
2024-02-13,73
2024-02-14,75
2024-02-15,81
2024-02-16,84
2024-02-17,77
2024-02-18,52
2024-02-19,69
2024-02-20,77
2024-02-21,81
2024-02-22,88
2024-02-23,79
2024-02-24,71
2024-02-25,54
2024-02-26,75
2024-02-27,78
2024-02-28,77
2024-02-29,83
2024-03-01,93
2024-03-02,78
2024-03-03,52
2024-03-04,82
2024-03-05,80
2024-03-06,75
2024-03-07,77
2024-03-08,77
2024-03-09,70
2024-03-10,46
2024-03-11,72
2024-03-12,79
2024-03-13,75
2024-03-14,77
2024-03-15,78
2024-03-16,68
2024-03-17,46
2024-03-18,75
2024-03-19,75
2024-03-20,78
2024-03-21,73
2024-03-22,77
2024-03-23,69
2024-03-24,46
2024-03-25,75
2024-03-26,72
2024-03-27,75
2024-03-28,79
2024-03-29,88
2024-03-30,71
2024-03-31,42
2024-04-01,89
2024-04-02,83
2024-04-03,79
2024-04-04,77
2024-04-05,80
2024-04-06,63
2024-04-07,43
2024-04-08,69
2024-04-09,73
2024-04-10,78
2024-04-11,75
2024-04-12,83
2024-04-13,68
2024-04-14,50
2024-04-15,84
2024-04-16,74
2024-04-17,72
2024-04-18,73
2024-04-19,75
2024-04-20,63
2024-04-21,39
2024-04-22,65
2024-04-23,69
2024-04-24,67
2024-04-25,73
2024-04-26,73
2024-04-27,61
2024-04-28,46
2024-04-29,73
2024-04-30,77
2024-05-01,81
2024-05-02,81
2024-05-03,82
2024-05-04,66
2024-05-05,45
2024-05-06,76
2024-05-07,68
2024-05-08,78
2024-05-09,90
2024-05-10,95
2024-05-11,88
2024-05-12,92
2024-05-13,80
2024-05-14,74
2024-05-15,71
2024-05-16,72
2024-05-17,74
2024-05-18,62
2024-05-19,41
2024-05-20,71
2024-05-21,71
2024-05-22,71
2024-05-23,69
2024-05-24,76
2024-05-25,61
2024-05-26,45
2024-05-27,43
2024-05-28,72
2024-05-29,79
2024-05-30,79
2024-05-31,86
2024-06-01,71
2024-06-02,50
2024-06-03,79
2024-06-04,79
2024-06-05,77
2024-06-06,78
2024-06-07,76
2024-06-08,69
2024-06-09,44
2024-06-10,76
2024-06-11,72
2024-06-12,77
2024-06-13,82
2024-06-14,85
2024-06-15,67
2024-06-16,46
2024-06-17,86
2024-06-18,81
2024-06-19,78
2024-06-20,79
2024-06-21,82
2024-06-22,63
2024-06-23,41
2024-06-24,77
2024-06-25,75
2024-06-26,72
2024-06-27,80
2024-06-28,83
2024-06-29,69
2024-06-30,46
2024-07-01,90
2024-07-02,83
2024-07-03,86
2024-07-04,54
2024-07-05,79
2024-07-06,63
2024-07-07,42
2024-07-08,76
2024-07-09,75
2024-07-10,76
2024-07-11,77
2024-07-12,84
2024-07-13,62
2024-07-14,39
2024-07-15,75
2024-07-16,76
2024-07-17,76
2024-07-18,76
2024-07-19,81
2024-07-20,64
2024-07-21,40
2024-07-22,70
2024-07-23,70
2024-07-24,71
2024-07-25,73
2024-07-26,80
2024-07-27,61
2024-07-28,42
2024-07-29,74
2024-07-30,76
2024-07-31,81
2024-08-01,89
2024-08-02,83
2024-08-03,68
2024-08-04,40
2024-08-05,75
2024-08-06,74
2024-08-07,74
2024-08-08,69
2024-08-09,73
2024-08-10,60
2024-08-11,38
2024-08-12,72
2024-08-13,73
2024-08-14,72
2024-08-15,79
2024-08-16,78
2024-08-17,60
2024-08-18,40
2024-08-19,72
2024-08-20,72
2024-08-21,71
2024-08-22,71
2024-08-23,70
2024-08-24,59
2024-08-25,39
2024-08-26,68
2024-08-27,68
2024-08-28,69
2024-08-29,84
2024-08-30,95
2024-08-31,76
2024-09-01,57
2024-09-02,60
2024-09-03,84
2024-09-04,81
2024-09-05,75
2024-09-06,74
2024-09-07,65
2024-09-08,42
2024-09-09,69
2024-09-10,68
2024-09-11,65
2024-09-12,73
2024-09-13,75
2024-09-14,64
2024-09-15,40
2024-09-16,69
