Time,la liga
2024-08-18,55
2024-08-19,26
2024-08-20,13
2024-08-21,8
2024-08-22,8
2024-08-23,16
2024-08-24,50
2024-08-25,66
2024-08-26,20
2024-08-27,30
2024-08-28,29
2024-08-29,34
2024-08-30,20
2024-08-31,62
2024-09-01,73
2024-09-02,23
2024-09-03,9
2024-09-04,7
2024-09-05,6
2024-09-06,5
2024-09-07,9
2024-09-08,7
2024-09-09,5
2024-09-10,5
2024-09-11,5
2024-09-12,6
2024-09-13,12
2024-09-14,51
2024-09-15,52
2024-09-16,17
2024-09-17,10
2024-09-18,8
2024-09-19,9
2024-09-20,12
2024-09-21,51
2024-09-22,60
2024-09-23,21
2024-09-24,30
2024-09-25,30
2024-09-26,20
2024-09-27,16
2024-09-28,61
2024-09-29,66
2024-09-30,20
2024-10-01,9
2024-10-02,7
2024-10-03,7
2024-10-04,12
2024-10-05,49
2024-10-06,52
2024-10-07,14
2024-10-08,7
2024-10-09,5
2024-10-10,5
2024-10-11,5
2024-10-12,8
2024-10-13,7
2024-10-14,4
2024-10-15,4
2024-10-16,5
2024-10-17,5
2024-10-18,10
2024-10-19,39
2024-10-20,45
2024-10-21,15
2024-10-22,9
2024-10-23,9
2024-10-24,10
2024-10-25,11
2024-10-26,68
2024-10-27,33
2024-10-28,16
2024-10-29,9
2024-10-30,7
2024-10-31,6
2024-11-01,11
2024-11-02,32
2024-11-03,45
2024-11-04,13
2024-11-05,8
2024-11-06,6
2024-11-07,9
2024-11-08,12
2024-11-09,35
2024-11-10,55
2024-11-11,18
2024-11-12,7
2024-11-13,5
2024-11-14,5
2024-11-15,4
2024-11-16,6
2024-11-17,6
2024-11-18,4
2024-11-19,4
2024-11-20,4
2024-11-21,5
2024-11-22,10
2024-11-23,46
2024-11-24,42
2024-11-25,13
2024-11-26,8
2024-11-27,8
2024-11-28,11
2024-11-29,13
2024-11-30,43
2024-12-01,46
2024-12-02,18
2024-12-03,33
2024-12-04,34
2024-12-05,19
2024-12-06,15
2024-12-07,62
2024-12-08,36
2024-12-09,17
2024-12-10,8
2024-12-11,7
2024-12-12,7
2024-12-13,13
2024-12-14,53
2024-12-15,67
2024-12-16,24
2024-12-17,9
2024-12-18,10
2024-12-19,7
2024-12-20,11
2024-12-21,58
2024-12-22,58
2024-12-23,15
2024-12-24,8
2024-12-25,7
2024-12-26,10
2024-12-27,9
2024-12-28,12
2024-12-29,10
2024-12-30,6
2024-12-31,5
2025-01-01,6
2025-01-02,7
2025-01-03,31
2025-01-04,28
2025-01-05,14
2025-01-06,9
2025-01-07,7
2025-01-08,9
2025-01-09,8
2025-01-10,9
2025-01-11,18
2025-01-12,28
2025-01-13,13
2025-01-14,8
2025-01-15,10
2025-01-16,12
2025-01-17,11
2025-01-18,53
2025-01-19,42
2025-01-20,16
2025-01-21,9
2025-01-22,8
2025-01-23,7
2025-01-24,11
2025-01-25,57
2025-01-26,61
2025-01-27,20
2025-01-28,8
2025-01-29,23
2025-01-30,10
2025-01-31,11
2025-02-01,55
2025-02-02,58
2025-02-03,15
2025-02-04,10
2025-02-05,10
2025-02-06,10
2025-02-07,13
2025-02-08,68
2025-02-09,60
2025-02-10,19
2025-02-11,15
2025-02-12,11
2025-02-13,8
2025-02-14,12
2025-02-15,79
2025-02-16,43
2025-02-17,49
2025-02-18,24
2025-02-19,19
2025-02-20,13
2025-02-21,16
2025-02-22,63
2025-02-23,63
2025-02-24,19
2025-02-25,16
2025-02-26,14
2025-02-27,12
2025-02-28,14
2025-03-01,80
2025-03-02,63
2025-03-03,17
2025-03-04,16
2025-03-05,15
2025-03-06,10
2025-03-07,11
2025-03-08,45
2025-03-09,67
2025-03-10,19
2025-03-11,20
2025-03-12,22
2025-03-13,12
2025-03-14,14
2025-03-15,62
2025-03-16,90
2025-03-17,26
2025-03-18,11
2025-03-19,9
2025-03-20,8
2025-03-21,6
2025-03-22,8
2025-03-23,8
2025-03-24,6
2025-03-25,5
2025-03-26,6
2025-03-27,24
2025-03-28,16
2025-03-29,62
2025-03-30,59
2025-03-31,17
2025-04-01,12
2025-04-02,10
2025-04-03,9
2025-04-04,12
2025-04-05,87
2025-04-06,38
2025-04-07,15
2025-04-08,15
2025-04-09,14
2025-04-10,8
2025-04-11,14
2025-04-12,55
2025-04-13,60
2025-04-14,19
2025-04-15,18
2025-04-16,20
2025-04-17,13
2025-04-18,14
2025-04-19,66
2025-04-20,76
2025-04-21,24
2025-04-22,35
2025-04-23,37
2025-04-24,21
2025-04-25,11
2025-04-26,22
2025-04-27,22
2025-04-28,15
2025-04-29,13
2025-04-30,12
2025-05-01,10
2025-05-02,14
2025-05-03,61
2025-05-04,60
2025-05-05,18
2025-05-06,18
2025-05-07,16
2025-05-08,12
2025-05-09,15
2025-05-10,36
2025-05-11,100
2025-05-12,24
2025-05-13,19
2025-05-14,42
