Time,la liga
2023-04-26,51
2023-04-27,27
2023-04-28,20
2023-04-29,87
2023-04-30,52
2023-05-01,28
2023-05-02,58
2023-05-03,36
2023-05-04,29
2023-05-05,19
2023-05-06,37
2023-05-07,39
2023-05-08,21
2023-05-09,12
2023-05-10,11
2023-05-11,16
2023-05-12,21
2023-05-13,53
2023-05-14,95
2023-05-15,37
2023-05-16,16
2023-05-17,13
2023-05-18,16
2023-05-19,21
2023-05-20,46
2023-05-21,70
2023-05-22,33
2023-05-23,34
2023-05-24,39
2023-05-25,27
2023-05-26,21
2023-05-27,42
2023-05-28,59
2023-05-29,36
2023-05-30,12
2023-05-31,12
2023-06-01,9
2023-06-02,9
2023-06-03,19
2023-06-04,84
2023-06-05,16
2023-06-06,8
2023-06-07,7
2023-06-08,6
2023-06-09,5
2023-06-10,7
2023-06-11,6
2023-06-12,5
2023-06-13,4
2023-06-14,4
2023-06-15,4
2023-06-16,4
2023-06-17,5
2023-06-18,5
2023-06-19,4
2023-06-20,3
2023-06-21,4
2023-06-22,5
2023-06-23,3
2023-06-24,4
2023-06-25,5
2023-06-26,4
2023-06-27,3
2023-06-28,3
2023-06-29,3
2023-06-30,4
2023-07-01,7
2023-07-02,9
2023-07-03,5
2023-07-04,6
2023-07-05,4
2023-07-06,3
2023-07-07,4
2023-07-08,7
2023-07-09,9
2023-07-10,6
2023-07-11,4
2023-07-12,4
2023-07-13,4
2023-07-14,6
2023-07-15,7
2023-07-16,10
2023-07-17,6
2023-07-18,4
2023-07-19,3
2023-07-20,4
2023-07-21,4
2023-07-22,6
2023-07-23,6
2023-07-24,5
2023-07-25,4
2023-07-26,5
2023-07-27,5
2023-07-28,5
2023-07-29,5
2023-07-30,7
2023-07-31,5
2023-08-01,5
2023-08-02,4
2023-08-03,6
2023-08-04,5
2023-08-05,8
2023-08-06,9
2023-08-07,6
2023-08-08,6
2023-08-09,6
2023-08-10,7
2023-08-11,22
2023-08-12,52
2023-08-13,58
2023-08-14,23
2023-08-15,11
2023-08-16,9
2023-08-17,8
2023-08-18,16
2023-08-19,52
2023-08-20,52
2023-08-21,23
2023-08-22,12
2023-08-23,10
2023-08-24,11
2023-08-25,30
2023-08-26,44
2023-08-27,54
2023-08-28,25
2023-08-29,13
2023-08-30,10
2023-08-31,11
2023-09-01,18
2023-09-02,60
2023-09-03,70
2023-09-04,25
2023-09-05,10
2023-09-06,7
2023-09-07,6
2023-09-08,6
2023-09-09,10
2023-09-10,9
2023-09-11,6
2023-09-12,5
2023-09-13,5
2023-09-14,7
2023-09-15,12
2023-09-16,59
2023-09-17,71
2023-09-18,21
2023-09-19,11
2023-09-20,9
2023-09-21,10
2023-09-22,16
2023-09-23,70
2023-09-24,100
2023-09-25,25
2023-09-26,41
2023-09-27,53
2023-09-28,31
2023-09-29,43
2023-09-30,79
2023-10-01,50
2023-10-02,21
2023-10-03,13
2023-10-04,13
2023-10-05,13
2023-10-06,18
2023-10-07,69
2023-10-08,87
2023-10-09,23
2023-10-10,11
2023-10-11,8
2023-10-12,7
2023-10-13,6
2023-10-14,10
2023-10-15,9
2023-10-16,7
2023-10-17,6
2023-10-18,6
2023-10-19,7
2023-10-20,15
2023-10-21,71
2023-10-22,84
2023-10-23,24
2023-10-24,12
2023-10-25,10
2023-10-26,10
2023-10-27,22
2023-10-28,93
2023-10-29,45
2023-10-30,20
2023-10-31,10
2023-11-01,14
2023-11-02,14
2023-11-03,21
2023-11-04,77
2023-11-05,85
2023-11-06,29
2023-11-07,12
2023-11-08,9
2023-11-09,11
2023-11-10,18
2023-11-11,75
2023-11-12,78
2023-11-13,24
2023-11-14,10
2023-11-15,8
2023-11-16,7
2023-11-17,7
2023-11-18,10
2023-11-19,9
2023-11-20,6
2023-11-21,6
2023-11-22,7
2023-11-23,9
2023-11-24,19
2023-11-25,57
2023-11-26,64
2023-11-27,31
2023-11-28,16
2023-11-29,12
2023-11-30,13
2023-12-01,19
2023-12-02,68
2023-12-03,79
2023-12-04,30
2023-12-05,13
2023-12-06,15
2023-12-07,17
2023-12-08,19
2023-12-09,71
2023-12-10,100
2023-12-11,35
2023-12-12,13
2023-12-13,11
2023-12-14,9
2023-12-15,18
2023-12-16,68
2023-12-17,70
2023-12-18,39
2023-12-19,31
2023-12-20,41
2023-12-21,51
2023-12-22,26
2023-12-23,34
2023-12-24,17
2023-12-25,9
2023-12-26,13
2023-12-27,10
2023-12-28,9
2023-12-29,10
2023-12-30,14
2023-12-31,11
2024-01-01,10
2024-01-02,25
2024-01-03,62
2024-01-04,57
2024-01-05,21
2024-01-06,26
2024-01-07,16
2024-01-08,9
2024-01-09,9
2024-01-10,12
2024-01-11,12
2024-01-12,14
2024-01-13,34
2024-01-14,38
2024-01-15,14
2024-01-16,10
2024-01-17,11
2024-01-18,14
2024-01-19,15
2024-01-20,41
