Time,stock market today
2023-12-22,15
2023-12-23,3
2023-12-24,1
2023-12-25,2
2023-12-26,12
2023-12-27,11
2023-12-28,10
2023-12-29,15
2023-12-30,3
2023-12-31,1
2024-01-01,5
2024-01-02,11
2024-01-03,12
2024-01-04,10
2024-01-05,9
2024-01-06,2
2024-01-07,1
2024-01-08,8
2024-01-09,9
2024-01-10,8
2024-01-11,8
2024-01-12,8
2024-01-13,2
2024-01-14,1
2024-01-15,14
2024-01-16,9
2024-01-17,10
2024-01-18,8
2024-01-19,9
2024-01-20,3
2024-01-21,1
2024-01-22,9
2024-01-23,9
2024-01-24,9
2024-01-25,9
2024-01-26,7
2024-01-27,2
2024-01-28,1
2024-01-29,6
2024-01-30,8
2024-01-31,9
2024-02-01,8
2024-02-02,8
2024-02-03,2
2024-02-04,1
2024-02-05,7
2024-02-06,7
2024-02-07,6
2024-02-08,7
2024-02-09,7
2024-02-10,2
2024-02-11,1
2024-02-12,6
2024-02-13,14
2024-02-14,12
2024-02-15,8
2024-02-16,8
2024-02-17,2
2024-02-18,2
2024-02-19,16
2024-02-20,9
2024-02-21,8
2024-02-22,9
2024-02-23,9
2024-02-24,2
2024-02-25,1
2024-02-26,7
2024-02-27,7
2024-02-28,7
2024-02-29,7
2024-03-01,7
2024-03-02,2
2024-03-03,1
2024-03-04,7
2024-03-05,10
2024-03-06,9
2024-03-07,8
2024-03-08,9
2024-03-09,2
2024-03-10,1
2024-03-11,7
2024-03-12,8
2024-03-13,9
2024-03-14,8
2024-03-15,8
2024-03-16,2
2024-03-17,1
2024-03-18,7
2024-03-19,7
2024-03-20,9
2024-03-21,9
2024-03-22,8
2024-03-23,2
2024-03-24,1
2024-03-25,7
2024-03-26,7
2024-03-27,8
2024-03-28,9
2024-03-29,23
2024-03-30,2
2024-03-31,1
2024-04-01,9
2024-04-02,10
2024-04-03,8
2024-04-04,13
2024-04-05,11
2024-04-06,2
2024-04-07,1
2024-04-08,7
2024-04-09,8
2024-04-10,12
2024-04-11,10
2024-04-12,12
2024-04-13,4
2024-04-14,2
2024-04-15,13
2024-04-16,12
2024-04-17,10
2024-04-18,9
2024-04-19,12
2024-04-20,3
2024-04-21,2
2024-04-22,9
2024-04-23,8
2024-04-24,8
2024-04-25,11
2024-04-26,8
2024-04-27,2
2024-04-28,1
2024-04-29,7
2024-04-30,10
2024-05-01,11
2024-05-02,7
2024-05-03,8
2024-05-04,2
2024-05-05,1
2024-05-06,7
2024-05-07,7
2024-05-08,7
2024-05-09,7
2024-05-10,7
2024-05-11,2
2024-05-12,1
2024-05-13,7
2024-05-14,7
2024-05-15,8
2024-05-16,9
2024-05-17,8
2024-05-18,2
2024-05-19,1
2024-05-20,7
2024-05-21,7
2024-05-22,7
2024-05-23,11
2024-05-24,10
2024-05-25,2
2024-05-26,1
2024-05-27,3
2024-05-28,7
2024-05-29,9
2024-05-30,9
2024-05-31,10
2024-06-01,3
2024-06-02,1
2024-06-03,9
2024-06-04,9
2024-06-05,8
2024-06-06,8
2024-06-07,8
2024-06-08,2
2024-06-09,1
2024-06-10,7
2024-06-11,7
2024-06-12,9
2024-06-13,8
2024-06-14,7
2024-06-15,2
2024-06-16,1
2024-06-17,8
2024-06-18,7
2024-06-19,27
2024-06-20,9
2024-06-21,7
2024-06-22,2
2024-06-23,1
2024-06-24,7
2024-06-25,7
2024-06-26,6
2024-06-27,6
2024-06-28,7
2024-06-29,2
2024-06-30,1
2024-07-01,7
2024-07-02,6
2024-07-03,18
2024-07-04,4
2024-07-05,11
2024-07-06,2
2024-07-07,1
2024-07-08,7
2024-07-09,7
2024-07-10,8
2024-07-11,12
2024-07-12,8
2024-07-13,2
2024-07-14,1
2024-07-15,8
2024-07-16,10
2024-07-17,16
2024-07-18,13
2024-07-19,14
2024-07-20,3
2024-07-21,2
2024-07-22,10
2024-07-23,8
2024-07-24,18
2024-07-25,16
2024-07-26,10
2024-07-27,2
2024-07-28,1
2024-07-29,7
2024-07-30,9
2024-07-31,9
2024-08-01,15
2024-08-02,28
2024-08-03,11
2024-08-04,3
2024-08-05,100
2024-08-06,64
2024-08-07,31
2024-08-08,21
2024-08-09,15
2024-08-10,4
2024-08-11,2
2024-08-12,12
2024-08-13,11
2024-08-14,11
2024-08-15,11
2024-08-16,10
2024-08-17,2
2024-08-18,2
2024-08-19,9
2024-08-20,11
2024-08-21,10
2024-08-22,11
2024-08-23,11
2024-08-24,2
2024-08-25,1
2024-08-26,10
2024-08-27,9
2024-08-28,11
2024-08-29,9
2024-08-30,9
2024-08-31,2
2024-09-01,1
2024-09-02,4
2024-09-03,17
2024-09-04,16
2024-09-05,10
2024-09-06,14
2024-09-07,3
2024-09-08,2
2024-09-09,9
2024-09-10,9
2024-09-11,12
2024-09-12,9
2024-09-13,8
2024-09-14,2
2024-09-15,1
2024-09-16,8
