Time,geico
2023-12-22,81
2023-12-23,53
2023-12-24,34
2023-12-25,25
2023-12-26,76
2023-12-27,78
2023-12-28,83
2023-12-29,88
2023-12-30,59
2023-12-31,40
2024-01-01,42
2024-01-02,86
2024-01-03,86
2024-01-04,85
2024-01-05,80
2024-01-06,59
2024-01-07,43
2024-01-08,79
2024-01-09,75
2024-01-10,74
2024-01-11,77
2024-01-12,78
2024-01-13,60
2024-01-14,54
2024-01-15,75
2024-01-16,79
2024-01-17,80
2024-01-18,75
2024-01-19,74
2024-01-20,61
2024-01-21,49
2024-01-22,77
2024-01-23,75
2024-01-24,73
2024-01-25,71
2024-01-26,77
2024-01-27,59
2024-01-28,46
2024-01-29,75
2024-01-30,86
2024-01-31,81
2024-02-01,78
2024-02-02,74
2024-02-03,60
2024-02-04,45
2024-02-05,73
2024-02-06,78
2024-02-07,81
2024-02-08,74
2024-02-09,74
2024-02-10,57
2024-02-11,47
2024-02-12,66
2024-02-13,76
2024-02-14,69
2024-02-15,71
2024-02-16,90
2024-02-17,61
2024-02-18,47
2024-02-19,78
2024-02-20,75
2024-02-21,79
2024-02-22,85
2024-02-23,77
2024-02-24,64
2024-02-25,48
2024-02-26,77
2024-02-27,79
2024-02-28,78
2024-02-29,80
2024-03-01,86
2024-03-02,64
2024-03-03,51
2024-03-04,79
2024-03-05,78
2024-03-06,73
2024-03-07,72
2024-03-08,79
2024-03-09,58
2024-03-10,45
2024-03-11,88
2024-03-12,76
2024-03-13,78
2024-03-14,78
2024-03-15,79
2024-03-16,60
2024-03-17,43
2024-03-18,75
2024-03-19,80
2024-03-20,76
2024-03-21,74
2024-03-22,81
2024-03-23,60
2024-03-24,46
2024-03-25,75
2024-03-26,73
2024-03-27,76
2024-03-28,75
2024-03-29,81
2024-03-30,58
2024-03-31,44
2024-04-01,86
2024-04-02,79
2024-04-03,74
2024-04-04,73
2024-04-05,76
2024-04-06,54
2024-04-07,41
2024-04-08,83
2024-04-09,76
2024-04-10,76
2024-04-11,71
2024-04-12,73
2024-04-13,58
2024-04-14,43
2024-04-15,77
2024-04-16,80
2024-04-17,74
2024-04-18,74
2024-04-19,77
2024-04-20,56
2024-04-21,54
2024-04-22,80
2024-04-23,73
2024-04-24,73
2024-04-25,77
2024-04-26,73
2024-04-27,56
2024-04-28,43
2024-04-29,77
2024-04-30,77
2024-05-01,80
2024-05-02,74
2024-05-03,81
2024-05-04,58
2024-05-05,43
2024-05-06,77
2024-05-07,77
2024-05-08,75
2024-05-09,78
2024-05-10,76
2024-05-11,55
2024-05-12,39
2024-05-13,77
2024-05-14,78
2024-05-15,76
2024-05-16,75
2024-05-17,81
2024-05-18,58
2024-05-19,42
2024-05-20,80
2024-05-21,81
2024-05-22,74
2024-05-23,75
2024-05-24,83
2024-05-25,57
2024-05-26,38
2024-05-27,46
2024-05-28,84
2024-05-29,84
2024-05-30,100
2024-05-31,92
2024-06-01,63
2024-06-02,48
2024-06-03,86
2024-06-04,79
2024-06-05,79
2024-06-06,78
2024-06-07,77
2024-06-08,54
2024-06-09,47
2024-06-10,81
2024-06-11,80
2024-06-12,85
2024-06-13,78
2024-06-14,79
2024-06-15,58
2024-06-16,42
2024-06-17,85
2024-06-18,80
2024-06-19,77
2024-06-20,76
2024-06-21,83
2024-06-22,60
2024-06-23,47
2024-06-24,82
2024-06-25,81
2024-06-26,74
2024-06-27,78
2024-06-28,78
2024-06-29,60
2024-06-30,45
2024-07-01,90
2024-07-02,92
2024-07-03,81
2024-07-04,50
2024-07-05,78
2024-07-06,60
2024-07-07,48
2024-07-08,83
2024-07-09,85
2024-07-10,82
2024-07-11,81
2024-07-12,82
2024-07-13,58
2024-07-14,43
2024-07-15,89
2024-07-16,82
2024-07-17,77
2024-07-18,80
2024-07-19,83
2024-07-20,61
2024-07-21,44
2024-07-22,79
2024-07-23,79
2024-07-24,81
2024-07-25,79
2024-07-26,79
2024-07-27,54
2024-07-28,43
2024-07-29,82
2024-07-30,79
2024-07-31,79
2024-08-01,84
2024-08-02,87
2024-08-03,62
2024-08-04,48
2024-08-05,80
2024-08-06,75
2024-08-07,81
2024-08-08,78
2024-08-09,75
2024-08-10,56
2024-08-11,46
2024-08-12,84
2024-08-13,80
2024-08-14,82
2024-08-15,85
2024-08-16,86
2024-08-17,59
2024-08-18,44
2024-08-19,83
2024-08-20,83
2024-08-21,74
2024-08-22,76
2024-08-23,83
2024-08-24,62
2024-08-25,47
2024-08-26,80
2024-08-27,76
2024-08-28,76
2024-08-29,78
2024-08-30,83
2024-08-31,59
2024-09-01,46
2024-09-02,53
2024-09-03,86
2024-09-04,76
2024-09-05,76
2024-09-06,74
2024-09-07,59
2024-09-08,43
2024-09-09,80
2024-09-10,73
2024-09-11,71
2024-09-12,73
2024-09-13,72
2024-09-14,59
2024-09-15,42
2024-09-16,79
