Time,amazon.com
2023-12-22,85
2023-12-23,84
2023-12-24,70
2023-12-25,74
2023-12-26,87
2023-12-27,87
2023-12-28,81
2023-12-29,89
2023-12-30,83
2023-12-31,75
2024-01-01,68
2024-01-02,75
2024-01-03,76
2024-01-04,75
2024-01-05,75
2024-01-06,77
2024-01-07,78
2024-01-08,72
2024-01-09,70
2024-01-10,71
2024-01-11,65
2024-01-12,69
2024-01-13,71
2024-01-14,73
2024-01-15,70
2024-01-16,63
2024-01-17,71
2024-01-18,69
2024-01-19,65
2024-01-20,73
2024-01-21,71
2024-01-22,62
2024-01-23,65
2024-01-24,70
2024-01-25,66
2024-01-26,61
2024-01-27,69
2024-01-28,69
2024-01-29,62
2024-01-30,67
2024-01-31,65
2024-02-01,64
2024-02-02,61
2024-02-03,69
2024-02-04,73
2024-02-05,63
2024-02-06,60
2024-02-07,65
2024-02-08,63
2024-02-09,60
2024-02-10,67
2024-02-11,65
2024-02-12,56
2024-02-13,62
2024-02-14,57
2024-02-15,60
2024-02-16,68
2024-02-17,69
2024-02-18,72
2024-02-19,69
2024-02-20,61
2024-02-21,64
2024-02-22,60
2024-02-23,63
2024-02-24,70
2024-02-25,72
2024-02-26,62
2024-02-27,63
2024-02-28,61
2024-02-29,64
2024-03-01,64
2024-03-02,71
2024-03-03,72
2024-03-04,63
2024-03-05,66
2024-03-06,63
2024-03-07,62
2024-03-08,58
2024-03-09,69
2024-03-10,70
2024-03-11,62
2024-03-12,65
2024-03-13,60
2024-03-14,61
2024-03-15,60
2024-03-16,68
2024-03-17,68
2024-03-18,67
2024-03-19,61
2024-03-20,64
2024-03-21,62
2024-03-22,64
2024-03-23,69
2024-03-24,71
2024-03-25,66
2024-03-26,63
2024-03-27,65
2024-03-28,61
2024-03-29,63
2024-03-30,64
2024-03-31,55
2024-04-01,63
2024-04-02,63
2024-04-03,60
2024-04-04,62
2024-04-05,62
2024-04-06,59
2024-04-07,66
2024-04-08,56
2024-04-09,61
2024-04-10,62
2024-04-11,61
2024-04-12,62
2024-04-13,66
2024-04-14,68
2024-04-15,59
2024-04-16,63
2024-04-17,60
2024-04-18,60
2024-04-19,59
2024-04-20,68
2024-04-21,67
2024-04-22,60
2024-04-23,64
2024-04-24,61
2024-04-25,63
2024-04-26,65
2024-04-27,66
2024-04-28,63
2024-04-29,91
2024-04-30,80
2024-05-01,65
2024-05-02,62
2024-05-03,62
2024-05-04,66
2024-05-05,67
2024-05-06,62
2024-05-07,63
2024-05-08,60
2024-05-09,61
2024-05-10,60
2024-05-11,60
2024-05-12,61
2024-05-13,61
2024-05-14,58
2024-05-15,64
2024-05-16,57
2024-05-17,60
2024-05-18,65
2024-05-19,61
2024-05-20,61
2024-05-21,61
2024-05-22,58
2024-05-23,56
2024-05-24,55
2024-05-25,61
2024-05-26,61
2024-05-27,60
2024-05-28,58
2024-05-29,60
2024-05-30,58
2024-05-31,58
2024-06-01,62
2024-06-02,67
2024-06-03,60
2024-06-04,59
2024-06-05,64
2024-06-06,62
2024-06-07,64
2024-06-08,67
2024-06-09,65
2024-06-10,69
2024-06-11,65
2024-06-12,65
2024-06-13,63
2024-06-14,63
2024-06-15,62
2024-06-16,61
2024-06-17,66
2024-06-18,64
2024-06-19,64
2024-06-20,61
2024-06-21,67
2024-06-22,63
2024-06-23,61
2024-06-24,65
2024-06-25,64
2024-06-26,64
2024-06-27,60
2024-06-28,61
2024-06-29,59
2024-06-30,64
2024-07-01,62
2024-07-02,62
2024-07-03,62
2024-07-04,58
2024-07-05,64
2024-07-06,64
2024-07-07,61
2024-07-08,64
2024-07-09,62
2024-07-10,62
2024-07-11,67
2024-07-12,66
2024-07-13,66
2024-07-14,58
2024-07-15,62
2024-07-16,100
2024-07-17,94
2024-07-18,79
2024-07-19,63
2024-07-20,62
2024-07-21,65
2024-07-22,63
2024-07-23,65
2024-07-24,65
2024-07-25,67
2024-07-26,60
2024-07-27,61
2024-07-28,59
2024-07-29,65
2024-07-30,65
2024-07-31,63
2024-08-01,61
2024-08-02,60
2024-08-03,65
2024-08-04,66
2024-08-05,62
2024-08-06,59
2024-08-07,64
2024-08-08,61
2024-08-09,62
2024-08-10,59
2024-08-11,65
2024-08-12,61
2024-08-13,62
2024-08-14,62
2024-08-15,61
2024-08-16,59
2024-08-17,66
2024-08-18,66
2024-08-19,62
2024-08-20,59
2024-08-21,63
2024-08-22,59
2024-08-23,60
2024-08-24,59
2024-08-25,69
2024-08-26,63
2024-08-27,62
2024-08-28,59
2024-08-29,59
2024-08-30,59
2024-08-31,62
2024-09-01,63
2024-09-02,65
2024-09-03,58
2024-09-04,56
2024-09-05,55
2024-09-06,52
2024-09-07,57
2024-09-08,58
2024-09-09,58
2024-09-10,58
2024-09-11,57
2024-09-12,58
2024-09-13,60
2024-09-14,60
2024-09-15,56
2024-09-16,59
