Time,diary of a wimpy kid
2023-04-26,33
2023-04-27,33
2023-04-28,37
2023-04-29,31
2023-04-30,32
2023-05-01,40
2023-05-02,38
2023-05-03,37
2023-05-04,38
2023-05-05,36
2023-05-06,32
2023-05-07,30
2023-05-08,36
2023-05-09,36
2023-05-10,32
2023-05-11,34
2023-05-12,35
2023-05-13,29
2023-05-14,32
2023-05-15,36
2023-05-16,37
2023-05-17,36
2023-05-18,39
2023-05-19,41
2023-05-20,36
2023-05-21,36
2023-05-22,37
2023-05-23,34
2023-05-24,34
2023-05-25,36
2023-05-26,40
2023-05-27,35
2023-05-28,39
2023-05-29,37
2023-05-30,40
2023-05-31,36
2023-06-01,38
2023-06-02,33
2023-06-03,36
2023-06-04,33
2023-06-05,30
2023-06-06,35
2023-06-07,34
2023-06-08,32
2023-06-09,27
2023-06-10,28
2023-06-11,30
2023-06-12,32
2023-06-13,39
2023-06-14,28
2023-06-15,27
2023-06-16,28
2023-06-17,33
2023-06-18,39
2023-06-19,32
2023-06-20,28
2023-06-21,28
2023-06-22,26
2023-06-23,24
2023-06-24,26
2023-06-25,30
2023-06-26,27
2023-06-27,27
2023-06-28,28
2023-06-29,26
2023-06-30,23
2023-07-01,28
2023-07-02,28
2023-07-03,25
2023-07-04,36
2023-07-05,29
2023-07-06,28
2023-07-07,28
2023-07-08,32
2023-07-09,33
2023-07-10,23
2023-07-11,24
2023-07-12,33
2023-07-13,28
2023-07-14,25
2023-07-15,31
2023-07-16,26
2023-07-17,25
2023-07-18,22
2023-07-19,24
2023-07-20,24
2023-07-21,26
2023-07-22,32
2023-07-23,38
2023-07-24,34
2023-07-25,32
2023-07-26,27
2023-07-27,29
2023-07-28,27
2023-07-29,29
2023-07-30,35
2023-07-31,26
2023-08-01,30
2023-08-02,31
2023-08-03,31
2023-08-04,29
2023-08-05,28
2023-08-06,31
2023-08-07,26
2023-08-08,26
2023-08-09,28
2023-08-10,23
2023-08-11,32
2023-08-12,30
2023-08-13,33
2023-08-14,36
2023-08-15,43
2023-08-16,33
2023-08-17,37
2023-08-18,36
2023-08-19,32
2023-08-20,27
2023-08-21,32
2023-08-22,36
2023-08-23,34
2023-08-24,37
2023-08-25,35
2023-08-26,34
2023-08-27,33
2023-08-28,35
2023-08-29,37
2023-08-30,34
2023-08-31,35
2023-09-01,34
2023-09-02,24
2023-09-03,33
2023-09-04,32
2023-09-05,34
2023-09-06,37
2023-09-07,40
2023-09-08,40
2023-09-09,35
2023-09-10,36
2023-09-11,50
2023-09-12,43
2023-09-13,40
2023-09-14,42
2023-09-15,44
2023-09-16,41
2023-09-17,42
2023-09-18,43
2023-09-19,42
2023-09-20,42
2023-09-21,42
2023-09-22,47
2023-09-23,35
2023-09-24,40
2023-09-25,44
2023-09-26,44
2023-09-27,45
2023-09-28,47
2023-09-29,48
2023-09-30,38
2023-10-01,40
2023-10-02,42
2023-10-03,48
2023-10-04,49
2023-10-05,48
2023-10-06,51
2023-10-07,38
2023-10-08,37
2023-10-09,44
2023-10-10,46
2023-10-11,51
2023-10-12,51
2023-10-13,49
2023-10-14,51
2023-10-15,47
2023-10-16,54
2023-10-17,51
2023-10-18,60
2023-10-19,58
2023-10-20,58
2023-10-21,55
2023-10-22,62
2023-10-23,61
2023-10-24,67
2023-10-25,72
2023-10-26,81
2023-10-27,69
2023-10-28,64
2023-10-29,67
2023-10-30,65
2023-10-31,56
2023-11-01,59
2023-11-02,60
2023-11-03,58
2023-11-04,55
2023-11-05,54
2023-11-06,60
2023-11-07,54
2023-11-08,58
2023-11-09,53
2023-11-10,54
2023-11-11,55
2023-11-12,48
2023-11-13,54
2023-11-14,55
2023-11-15,56
2023-11-16,56
2023-11-17,52
2023-11-18,45
2023-11-19,46
2023-11-20,47
2023-11-21,50
2023-11-22,44
2023-11-23,81
2023-11-24,55
2023-11-25,47
2023-11-26,53
2023-11-27,51
2023-11-28,54
2023-11-29,54
2023-11-30,49
2023-12-01,54
2023-12-02,52
2023-12-03,48
2023-12-04,54
2023-12-05,58
2023-12-06,59
2023-12-07,61
2023-12-08,79
2023-12-09,100
2023-12-10,99
2023-12-11,85
2023-12-12,70
2023-12-13,62
2023-12-14,71
2023-12-15,70
2023-12-16,72
2023-12-17,75
2023-12-18,65
2023-12-19,70
2023-12-20,68
2023-12-21,56
2023-12-22,55
2023-12-23,55
2023-12-24,49
2023-12-25,45
2023-12-26,38
2023-12-27,40
2023-12-28,37
2023-12-29,37
2023-12-30,37
2023-12-31,32
2024-01-01,35
2024-01-02,36
2024-01-03,37
2024-01-04,40
2024-01-05,35
2024-01-06,33
2024-01-07,36
2024-01-08,35
2024-01-09,36
2024-01-10,37
2024-01-11,36
2024-01-12,36
2024-01-13,35
2024-01-14,34
2024-01-15,27
2024-01-16,35
2024-01-17,36
2024-01-18,40
2024-01-19,36
2024-01-20,35
