Time,facebook marketplace
2023-04-26,66
2023-04-27,66
2023-04-28,65
2023-04-29,76
2023-04-30,81
2023-05-01,67
2023-05-02,72
2023-05-03,65
2023-05-04,60
2023-05-05,64
2023-05-06,68
2023-05-07,81
2023-05-08,70
2023-05-09,69
2023-05-10,68
2023-05-11,68
2023-05-12,67
2023-05-13,73
2023-05-14,81
2023-05-15,68
2023-05-16,69
2023-05-17,70
2023-05-18,68
2023-05-19,66
2023-05-20,79
2023-05-21,80
2023-05-22,73
2023-05-23,74
2023-05-24,70
2023-05-25,71
2023-05-26,71
2023-05-27,79
2023-05-28,83
2023-05-29,83
2023-05-30,75
2023-05-31,74
2023-06-01,75
2023-06-02,75
2023-06-03,80
2023-06-04,86
2023-06-05,77
2023-06-06,76
2023-06-07,72
2023-06-08,73
2023-06-09,72
2023-06-10,82
2023-06-11,86
2023-06-12,78
2023-06-13,79
2023-06-14,74
2023-06-15,78
2023-06-16,79
2023-06-17,81
2023-06-18,82
2023-06-19,86
2023-06-20,82
2023-06-21,79
2023-06-22,72
2023-06-23,77
2023-06-24,82
2023-06-25,87
2023-06-26,81
2023-06-27,77
2023-06-28,78
2023-06-29,78
2023-06-30,79
2023-07-01,80
2023-07-02,84
2023-07-03,81
2023-07-04,86
2023-07-05,79
2023-07-06,81
2023-07-07,78
2023-07-08,90
2023-07-09,90
2023-07-10,80
2023-07-11,79
2023-07-12,74
2023-07-13,79
2023-07-14,79
2023-07-15,89
2023-07-16,89
2023-07-17,80
2023-07-18,79
2023-07-19,80
2023-07-20,77
2023-07-21,79
2023-07-22,83
2023-07-23,86
2023-07-24,80
2023-07-25,80
2023-07-26,80
2023-07-27,81
2023-07-28,79
2023-07-29,87
2023-07-30,84
2023-07-31,79
2023-08-01,78
2023-08-02,75
2023-08-03,80
2023-08-04,81
2023-08-05,83
2023-08-06,91
2023-08-07,82
2023-08-08,81
2023-08-09,80
2023-08-10,78
2023-08-11,80
2023-08-12,87
2023-08-13,90
2023-08-14,82
2023-08-15,79
2023-08-16,84
2023-08-17,86
2023-08-18,76
2023-08-19,89
2023-08-20,91
2023-08-21,83
2023-08-22,81
2023-08-23,79
2023-08-24,77
2023-08-25,77
2023-08-26,83
2023-08-27,90
2023-08-28,78
2023-08-29,79
2023-08-30,77
2023-08-31,76
2023-09-01,76
2023-09-02,83
2023-09-03,87
2023-09-04,92
2023-09-05,77
2023-09-06,78
2023-09-07,75
2023-09-08,73
2023-09-09,84
2023-09-10,84
2023-09-11,75
2023-09-12,73
2023-09-13,73
2023-09-14,73
2023-09-15,74
2023-09-16,83
2023-09-17,83
2023-09-18,79
2023-09-19,76
2023-09-20,75
2023-09-21,74
2023-09-22,72
2023-09-23,90
2023-09-24,87
2023-09-25,80
2023-09-26,78
2023-09-27,78
2023-09-28,75
2023-09-29,74
2023-09-30,82
2023-10-01,84
2023-10-02,69
2023-10-03,74
2023-10-04,75
2023-10-05,74
2023-10-06,75
2023-10-07,85
2023-10-08,82
2023-10-09,80
2023-10-10,76
2023-10-11,74
2023-10-12,73
2023-10-13,70
2023-10-14,83
2023-10-15,93
2023-10-16,75
2023-10-17,73
2023-10-18,76
2023-10-19,78
2023-10-20,80
2023-10-21,83
2023-10-22,82
2023-10-23,80
2023-10-24,76
2023-10-25,74
2023-10-26,72
2023-10-27,73
2023-10-28,82
2023-10-29,81
2023-10-30,71
2023-10-31,72
2023-11-01,71
2023-11-02,73
2023-11-03,72
2023-11-04,80
2023-11-05,85
2023-11-06,74
2023-11-07,75
2023-11-08,74
2023-11-09,73
2023-11-10,75
2023-11-11,81
2023-11-12,84
2023-11-13,73
2023-11-14,72
2023-11-15,74
2023-11-16,72
2023-11-17,71
2023-11-18,81
2023-11-19,78
2023-11-20,77
2023-11-21,75
2023-11-22,76
2023-11-23,76
2023-11-24,74
2023-11-25,81
2023-11-26,83
2023-11-27,71
2023-11-28,73
2023-11-29,72
2023-11-30,71
2023-12-01,68
2023-12-02,81
2023-12-03,79
2023-12-04,72
2023-12-05,72
2023-12-06,75
2023-12-07,70
2023-12-08,69
2023-12-09,79
2023-12-10,87
2023-12-11,73
2023-12-12,72
2023-12-13,71
2023-12-14,72
2023-12-15,70
2023-12-16,83
2023-12-17,84
2023-12-18,74
2023-12-19,75
2023-12-20,76
2023-12-21,74
2023-12-22,73
2023-12-23,79
2023-12-24,70
2023-12-25,68
2023-12-26,79
2023-12-27,77
2023-12-28,77
2023-12-29,83
2023-12-30,86
2023-12-31,80
2024-01-01,81
2024-01-02,80
2024-01-03,76
2024-01-04,75
2024-01-05,75
2024-01-06,88
2024-01-07,85
2024-01-08,74
2024-01-09,76
2024-01-10,75
2024-01-11,75
2024-01-12,74
2024-01-13,83
2024-01-14,86
2024-01-15,78
2024-01-16,73
2024-01-17,77
2024-01-18,79
2024-01-19,92
2024-01-20,100
