Time,facebook marketplace
2025-12-11,68
2025-12-12,65
2025-12-13,73
2025-12-14,73
2025-12-15,65
2025-12-16,64
2025-12-17,65
2025-12-18,68
2025-12-19,64
2025-12-20,70
2025-12-21,72
2025-12-22,68
2025-12-23,70
2025-12-24,64
2025-12-25,67
2025-12-26,73
2025-12-27,71
2025-12-28,72
2025-12-29,79
2025-12-30,76
2025-12-31,71
2026-01-01,72
2026-01-02,81
2026-01-03,82
2026-01-04,80
2026-01-05,69
2026-01-06,74
2026-01-07,71
2026-01-08,68
2026-01-09,72
2026-01-10,81
2026-01-11,82
2026-01-12,71
2026-01-13,71
2026-01-14,70
2026-01-15,70
2026-01-16,74
2026-01-17,80
2026-01-18,83
2026-01-19,83
2026-01-20,76
2026-01-21,76
2026-01-22,71
2026-01-23,73
2026-01-24,77
2026-01-25,81
2026-01-26,72
2026-01-27,73
2026-01-28,70
2026-01-29,76
2026-01-30,75
2026-01-31,83
2026-02-01,84
2026-02-02,69
2026-02-03,70
2026-02-04,69
2026-02-05,70
2026-02-06,71
2026-02-07,78
2026-02-08,71
2026-02-09,64
2026-02-10,66
2026-02-11,72
2026-02-12,67
2026-02-13,70
2026-02-14,76
2026-02-15,81
2026-02-16,82
2026-02-17,71
2026-02-18,71
2026-02-19,69
2026-02-20,71
2026-02-21,84
2026-02-22,81
2026-02-23,78
2026-02-24,73
2026-02-25,75
2026-02-26,75
2026-02-27,81
2026-02-28,81
2026-03-01,82
2026-03-02,77
2026-03-03,77
2026-03-04,77
2026-03-05,77
2026-03-06,75
2026-03-07,89
2026-03-08,89
2026-03-09,83
2026-03-10,81
2026-03-11,80
2026-03-12,80
2026-03-13,83
2026-03-14,93
2026-03-15,95
2026-03-16,84
2026-03-17,86
2026-03-18,85
2026-03-19,77
2026-03-20,74
2026-03-21,89
2026-03-22,93
2026-03-23,89
2026-03-24,82
2026-03-25,84
2026-03-26,77
2026-03-27,81
2026-03-28,90
2026-03-29,90
2026-03-30,82
2026-03-31,82
2026-04-01,81
2026-04-02,82
2026-04-03,77
2026-04-04,88
2026-04-05,92
2026-04-06,83
2026-04-07,89
2026-04-08,77
2026-04-09,72
2026-04-10,76
2026-04-11,87
2026-04-12,96
2026-04-13,79
2026-04-14,79
2026-04-15,80
2026-04-16,79
2026-04-17,81
2026-04-18,90
2026-04-19,92
2026-04-20,85
2026-04-21,87
2026-04-22,85
2026-04-23,87
2026-04-24,77
2026-04-25,83
2026-04-26,92
2026-04-27,87
2026-04-28,82
2026-04-29,80
2026-04-30,80
2026-05-01,72
2026-05-02,88
2026-05-03,88
2026-05-04,84
2026-05-05,82
2026-05-06,86
2026-05-07,73
2026-05-08,77
2026-05-09,88
2026-05-10,87
2026-05-11,83
2026-05-12,84
2026-05-13,74
2026-05-14,70
2026-05-15,79
2026-05-16,95
2026-05-17,99
2026-05-18,84
2026-05-19,85
2026-05-20,87
2026-05-21,91
2026-05-22,88
2026-05-23,100
2026-05-24,100
2026-05-25,97
2026-05-26,91
2026-05-27,90
2026-05-28,82
2026-05-29,87
2026-05-30,92
2026-05-31,97
