Time,cnn
2022-01-01,36.0
2022-01-02,25.0
2022-01-03,32.0
2022-01-04,37.0
2022-01-05,34.0
2022-01-06,28.0
2022-01-07,31.0
2022-01-08,25.0
2022-01-09,23.0
2022-01-10,30.0
2022-01-11,28.0
2022-01-12,28.0
2022-01-13,35.0
2022-01-14,25.0
2022-01-15,27.0
2022-01-16,27.0
2022-01-17,24.0
2022-01-18,26.0
2022-01-19,26.0
2022-01-20,28.0
2022-01-21,28.0
2022-01-22,23.0
2022-01-23,22.0
2022-01-24,36.0
2022-01-25,27.0
2022-01-26,26.0
2022-01-27,27.0
2022-01-28,31.0
2022-01-29,25.0
2022-01-30,24.0
2022-01-31,29.0
2022-02-01,27.0
2022-02-02,37.0
2022-02-03,35.0
2022-02-04,29.0
2022-02-05,24.0
2022-02-06,24.0
2022-02-07,30.0
2022-02-08,29.0
2022-02-09,30.0
2022-02-10,25.0
2022-02-11,30.0
2022-02-12,26.0
2022-02-13,23.0
2022-02-14,30.0
2022-02-15,32.0
2022-02-16,30.0
2022-02-17,30.0
2022-02-18,30.0
2022-02-19,26.0
2022-02-20,28.0
2022-02-21,35.0
2022-02-22,41.0
2022-02-23,37.0
2022-02-24,100.0
2022-02-25,71.0
2022-02-26,63.0
2022-02-27,62.0
2022-02-28,67.0
2022-03-01,62.0
2022-03-02,58.0
2022-03-03,49.0
2022-03-04,52.0
2022-03-05,42.0
2022-03-06,40.0
2022-03-07,44.0
2022-03-08,47.0
2022-03-09,41.0
2022-03-10,40.0
2022-03-11,37.0
2022-03-12,34.0
2022-03-13,36.0
2022-03-14,40.0
2022-03-15,38.0
2022-03-16,38.0
2022-03-17,37.0
2022-03-18,34.0
2022-03-19,29.0
2022-03-20,31.0
2022-03-21,36.0
2022-03-22,35.0
2022-03-23,34.0
2022-03-24,35.0
2022-03-25,33.0
2022-03-26,30.0
2022-03-27,29.0
2022-03-28,35.0
2022-03-29,33.0
2022-03-30,32.0
2022-03-31,32.0
2022-04-01,30.0
2022-04-02,26.0
2022-04-03,26.0
