Time,dicks sporting good
2024-08-18,79
2024-08-19,50
2024-08-20,50
2024-08-21,50
2024-08-22,52
2024-08-23,55
2024-08-24,44
2024-08-25,44
2024-08-26,25
2024-08-27,38
2024-08-28,41
2024-08-29,45
2024-08-30,54
2024-08-31,65
2024-09-01,73
2024-09-02,71
2024-09-03,45
2024-09-04,40
2024-09-05,40
2024-09-06,45
2024-09-07,60
2024-09-08,65
2024-09-09,36
2024-09-10,31
2024-09-11,31
2024-09-12,34
2024-09-13,38
2024-09-14,56
2024-09-15,53
2024-09-16,33
2024-09-17,30
2024-09-18,31
2024-09-19,30
2024-09-20,34
2024-09-21,49
2024-09-22,49
2024-09-23,30
2024-09-24,30
2024-09-25,30
2024-09-26,31
2024-09-27,34
2024-09-28,46
2024-09-29,43
2024-09-30,28
2024-10-01,29
2024-10-02,29
2024-10-03,31
2024-10-04,37
2024-10-05,45
2024-10-06,43
2024-10-07,30
2024-10-08,29
2024-10-09,30
2024-10-10,31
2024-10-11,36
2024-10-12,45
2024-10-13,48
2024-10-14,33
2024-10-15,14
2024-10-16,9
2024-10-17,7
2024-10-18,9
2024-10-19,10
2024-10-20,10
2024-10-21,7
2024-10-22,6
2024-10-23,6
2024-10-24,6
2024-10-25,7
2024-10-26,9
2024-10-27,8
2024-10-28,5
2024-10-29,5
2024-10-30,5
2024-10-31,5
2024-11-01,7
2024-11-02,9
2024-11-03,8
2024-11-04,5
2024-11-05,5
2024-11-06,4
2024-11-07,5
2024-11-08,7
2024-11-09,9
2024-11-10,10
2024-11-11,7
2024-11-12,6
2024-11-13,6
2024-11-14,6
2024-11-15,7
2024-11-16,8
2024-11-17,8
2024-11-18,6
2024-11-19,6
2024-11-20,6
2024-11-21,6
2024-11-22,6
2024-11-23,9
2024-11-24,9
2024-11-25,7
2024-11-26,7
2024-11-27,8
2024-11-28,10
2024-11-29,19
2024-11-30,14
2024-12-01,12
2024-12-02,11
2024-12-03,10
2024-12-04,7
2024-12-05,7
2024-12-06,9
2024-12-07,11
2024-12-08,11
2024-12-09,9
2024-12-10,7
2024-12-11,8
2024-12-12,22
2024-12-13,52
2024-12-14,74
2024-12-15,71
2024-12-16,59
2024-12-17,56
2024-12-18,58
2024-12-19,70
2024-12-20,82
2024-12-21,94
2024-12-22,93
2024-12-23,97
2024-12-24,100
2024-12-25,51
2024-12-26,70
2024-12-27,61
2024-12-28,58
2024-12-29,54
2024-12-30,46
2024-12-31,47
2025-01-01,45
2025-01-02,36
2025-01-03,40
2025-01-04,54
2025-01-05,52
2025-01-06,35
2025-01-07,37
2025-01-08,37
2025-01-09,32
2025-01-10,34
2025-01-11,47
2025-01-12,48
2025-01-13,32
2025-01-14,30
2025-01-15,28
2025-01-16,31
2025-01-17,33
2025-01-18,46
2025-01-19,42
2025-01-20,37
2025-01-21,32
2025-01-22,28
2025-01-23,30
2025-01-24,32
2025-01-25,46
2025-01-26,44
2025-01-27,29
2025-01-28,27
2025-01-29,28
2025-01-30,28
2025-01-31,31
2025-02-01,43
2025-02-02,48
2025-02-03,29
2025-02-04,28
2025-02-05,29
2025-02-06,29
2025-02-07,34
2025-02-08,51
2025-02-09,39
2025-02-10,30
2025-02-11,31
2025-02-12,29
2025-02-13,32
2025-02-14,37
2025-02-15,44
2025-02-16,45
2025-02-17,33
2025-02-18,27
2025-02-19,25
2025-02-20,28
2025-02-21,30
2025-02-22,44
2025-02-23,44
2025-02-24,28
2025-02-25,30
2025-02-26,30
2025-02-27,32
2025-02-28,35
2025-03-01,58
2025-03-02,56
2025-03-03,35
2025-03-04,31
2025-03-05,32
2025-03-06,32
2025-03-07,36
2025-03-08,55
2025-03-09,58
2025-03-10,37
2025-03-11,33
2025-03-12,33
2025-03-13,37
2025-03-14,38
2025-03-15,52
2025-03-16,52
2025-03-17,32
2025-03-18,32
2025-03-19,30
2025-03-20,31
2025-03-21,34
2025-03-22,53
2025-03-23,56
2025-03-24,33
2025-03-25,29
2025-03-26,30
2025-03-27,27
2025-03-28,34
2025-03-29,50
2025-03-30,49
2025-03-31,28
2025-04-01,28
2025-04-02,26
2025-04-03,29
2025-04-04,32
2025-04-05,48
2025-04-06,46
2025-04-07,29
2025-04-08,27
2025-04-09,25
2025-04-10,30
2025-04-11,31
2025-04-12,44
2025-04-13,42
2025-04-14,27
2025-04-15,28
2025-04-16,29
2025-04-17,31
2025-04-18,37
2025-04-19,46
2025-04-20,45
2025-04-21,30
2025-04-22,29
2025-04-23,26
2025-04-24,28
2025-04-25,30
2025-04-26,43
2025-04-27,48
2025-04-28,29
2025-04-29,27
2025-04-30,27
2025-05-01,29
2025-05-02,33
2025-05-03,43
2025-05-04,46
2025-05-05,29
2025-05-06,27
2025-05-07,28
2025-05-08,30
2025-05-09,33
2025-05-10,46
2025-05-11,47
2025-05-12,29
2025-05-13,31
2025-05-14,29
