Time,dicks sporting good
2025-12-11,58
2025-12-12,60
2025-12-13,95
2025-12-14,75
2025-12-15,57
2025-12-16,62
2025-12-17,58
2025-12-18,67
2025-12-19,73
2025-12-20,93
2025-12-21,97
2025-12-22,80
2025-12-23,87
2025-12-24,100
2025-12-25,47
2025-12-26,74
2025-12-27,63
2025-12-28,56
2025-12-29,41
2025-12-30,46
2025-12-31,48
2026-01-01,49
2026-01-02,43
2026-01-03,55
2026-01-04,45
2026-01-05,32
2026-01-06,30
2026-01-07,25
2026-01-08,24
2026-01-09,25
2026-01-10,33
2026-01-11,33
2026-01-12,21
2026-01-13,23
2026-01-14,21
2026-01-15,23
2026-01-16,25
2026-01-17,29
2026-01-18,29
2026-01-19,30
2026-01-20,27
2026-01-21,28
2026-01-22,31
2026-01-23,34
2026-01-24,39
2026-01-25,27
2026-01-26,30
2026-01-27,28
2026-01-28,28
2026-01-29,29
2026-01-30,32
2026-01-31,38
2026-02-01,41
2026-02-02,27
2026-02-03,27
2026-02-04,28
2026-02-05,30
2026-02-06,29
2026-02-07,42
2026-02-08,38
2026-02-09,23
2026-02-10,26
2026-02-11,31
2026-02-12,30
2026-02-13,34
2026-02-14,41
2026-02-15,40
2026-02-16,33
2026-02-17,24
2026-02-18,23
2026-02-19,28
2026-02-20,30
2026-02-21,39
2026-02-22,40
2026-02-23,27
2026-02-24,27
2026-02-25,28
2026-02-26,29
2026-02-27,34
2026-02-28,65
2026-03-01,55
2026-03-02,33
2026-03-03,34
2026-03-04,33
2026-03-05,34
2026-03-06,39
2026-03-07,59
2026-03-08,54
2026-03-09,34
2026-03-10,34
2026-03-11,35
2026-03-12,38
2026-03-13,39
2026-03-14,56
2026-03-15,55
2026-03-16,34
2026-03-17,32
2026-03-18,34
2026-03-19,34
2026-03-20,44
2026-03-21,57
2026-03-22,60
2026-03-23,38
2026-03-24,40
2026-03-25,39
2026-03-26,40
2026-03-27,45
2026-03-28,58
2026-03-29,64
2026-03-30,43
2026-03-31,43
2026-04-01,40
2026-04-02,44
2026-04-03,47
2026-04-04,62
2026-04-05,57
2026-04-06,45
2026-04-07,42
2026-04-08,41
2026-04-09,40
2026-04-10,47
2026-04-11,65
2026-04-12,62
2026-04-13,41
2026-04-14,41
2026-04-15,48
2026-04-16,51
2026-04-17,59
2026-04-18,80
2026-04-19,77
2026-04-20,49
2026-04-21,50
2026-04-22,46
2026-04-23,51
2026-04-24,55
2026-04-25,75
2026-04-26,81
2026-04-27,53
2026-04-28,50
2026-04-29,44
2026-04-30,52
2026-05-01,56
2026-05-02,80
2026-05-03,82
2026-05-04,49
2026-05-05,44
2026-05-06,52
2026-05-07,52
2026-05-08,59
2026-05-09,80
2026-05-10,77
2026-05-11,53
2026-05-12,48
2026-05-13,50
2026-05-14,47
2026-05-15,55
2026-05-16,73
2026-05-17,76
2026-05-18,50
2026-05-19,50
2026-05-20,51
2026-05-21,57
2026-05-22,58
2026-05-23,76
2026-05-24,86
2026-05-25,86
2026-05-26,50
2026-05-27,47
2026-05-28,49
2026-05-29,52
2026-05-30,77
2026-05-31,85
