Time,apple stock
2025-04-15,63
2025-04-16,58
2025-04-17,49
2025-04-18,26
2025-04-19,11
2025-04-20,11
2025-04-21,46
2025-04-22,48
2025-04-23,52
2025-04-24,47
2025-04-25,41
2025-04-26,13
2025-04-27,10
2025-04-28,40
2025-04-29,39
2025-04-30,40
2025-05-01,66
2025-05-02,65
2025-05-03,17
2025-05-04,13
2025-05-05,42
2025-05-06,40
2025-05-07,45
2025-05-08,44
2025-05-09,37
2025-05-10,12
2025-05-11,11
2025-05-12,61
2025-05-13,51
2025-05-14,42
2025-05-15,42
2025-05-16,35
2025-05-17,13
2025-05-18,9
2025-05-19,36
2025-05-20,32
2025-05-21,33
2025-05-22,35
2025-05-23,61
2025-05-24,19
2025-05-25,12
2025-05-26,12
2025-05-27,45
2025-05-28,44
2025-05-29,46
2025-05-30,35
2025-05-31,11
2025-06-01,8
2025-06-02,32
2025-06-03,34
2025-06-04,35
2025-06-05,36
2025-06-06,41
2025-06-07,15
2025-06-08,12
2025-06-09,54
2025-06-10,50
2025-06-11,42
2025-06-12,38
2025-06-13,36
2025-06-14,16
2025-06-15,17
2025-06-16,38
2025-06-17,34
2025-06-18,36
2025-06-19,20
2025-06-20,34
2025-06-21,15
2025-06-22,13
2025-06-23,37
2025-06-24,41
2025-06-25,38
2025-06-26,42
2025-06-27,40
2025-06-28,17
2025-06-29,13
2025-06-30,43
2025-07-01,47
2025-07-02,41
2025-07-03,41
2025-07-04,17
2025-07-05,14
2025-07-06,13
2025-07-07,37
2025-07-08,39
2025-07-09,40
2025-07-10,40
2025-07-11,36
2025-07-12,16
2025-07-13,13
2025-07-14,36
2025-07-15,43
2025-07-16,36
2025-07-17,48
2025-07-18,35
2025-07-19,28
2025-07-20,23
2025-07-21,50
2025-07-22,43
2025-07-23,47
2025-07-24,41
2025-07-25,41
2025-07-26,20
2025-07-27,19
2025-07-28,45
2025-07-29,57
2025-07-30,80
2025-07-31,100
2025-08-01,84
2025-08-02,19
2025-08-03,16
2025-08-04,47
2025-08-05,46
2025-08-06,77
2025-08-07,88
2025-08-08,76
2025-08-09,33
2025-08-10,26
2025-08-11,56
2025-08-12,47
2025-08-13,47
2025-08-14,46
2025-08-15,46
2025-08-16,17
2025-08-17,14
2025-08-18,39
2025-08-19,36
2025-08-20,36
2025-08-21,35
2025-08-22,38
2025-08-23,17
2025-08-24,15
2025-08-25,36
2025-08-26,35
2025-08-27,39
2025-08-28,39
2025-08-29,32
2025-08-30,15
2025-08-31,12
2025-09-01,16
2025-09-02,40
2025-09-03,53
2025-09-04,49
2025-09-05,41
2025-09-06,17
2025-09-07,13
2025-09-08,46
2025-09-09,78
2025-09-10,68
2025-09-11,49
2025-09-12,46
2025-09-13,21
2025-09-14,14
2025-09-15,43
2025-09-16,49
2025-09-17,48
2025-09-18,49
2025-09-19,59
2025-09-20,27
2025-09-21,22
2025-09-22,71
2025-09-23,59
2025-09-24,51
2025-09-25,49
2025-09-26,49
2025-09-27,22
2025-09-28,19
2025-09-29,48
2025-09-30,45
2025-10-01,48
2025-10-02,51
2025-10-03,48
2025-10-04,13
2025-10-05,11
2025-10-06,40
2025-10-07,51
2025-10-08,47
2025-10-09,40
2025-10-10,40
2025-10-11,19
2025-10-12,15
2025-10-13,42
2025-10-14,36
2025-10-15,40
2025-10-16,36
2025-10-17,36
2025-10-18,13
2025-10-19,12
2025-10-20,60
2025-10-21,54
2025-10-22,42
2025-10-23,40
2025-10-24,43
2025-10-25,13
2025-10-26,12
2025-10-27,45
2025-10-28,47
2025-10-29,55
2025-10-30,77
2025-10-31,72
2025-11-01,22
2025-11-02,20
2025-11-03,52
2025-11-04,45
2025-11-05,46
2025-11-06,45
2025-11-07,44
2025-11-08,20
2025-11-09,16
2025-11-10,44
2025-11-11,45
2025-11-12,47
2025-11-13,46
2025-11-14,44
2025-11-15,18
2025-11-16,16
2025-11-17,40
2025-11-18,40
2025-11-19,50
2025-11-20,58
2025-11-21,53
2025-11-22,23
2025-11-23,23
2025-11-24,51
2025-11-25,46
2025-11-26,47
2025-11-27,24
2025-11-28,42
2025-11-29,23
2025-11-30,21
2025-12-01,47
2025-12-02,52
2025-12-03,50
2025-12-04,47
2025-12-05,44
2025-12-06,23
2025-12-07,21
2025-12-08,44
2025-12-09,45
2025-12-10,43
2025-12-11,43
2025-12-12,41
2025-12-13,19
2025-12-14,16
2025-12-15,38
2025-12-16,35
2025-12-17,35
2025-12-18,45
2025-12-19,39
2025-12-20,19
2025-12-21,17
2025-12-22,37
2025-12-23,39
2025-12-24,36
2025-12-25,19
2025-12-26,35
2025-12-27,18
2025-12-28,19
2025-12-29,34
2025-12-30,35
2025-12-31,32
2026-01-01,20
2026-01-02,39
2026-01-03,20
2026-01-04,19
2026-01-05,43
2026-01-06,46
2026-01-07,42
2026-01-08,42
2026-01-09,41
