Time,apple stock
2023-04-26,31
2023-04-27,36
2023-04-28,32
2023-04-29,12
2023-04-30,9
2023-05-01,32
2023-05-02,32
2023-05-03,34
2023-05-04,57
2023-05-05,61
2023-05-06,18
2023-05-07,12
2023-05-08,37
2023-05-09,33
2023-05-10,35
2023-05-11,32
2023-05-12,31
2023-05-13,10
2023-05-14,8
2023-05-15,32
2023-05-16,32
2023-05-17,32
2023-05-18,34
2023-05-19,33
2023-05-20,12
2023-05-21,8
2023-05-22,30
2023-05-23,32
2023-05-24,31
2023-05-25,34
2023-05-26,34
2023-05-27,13
2023-05-28,9
2023-05-29,10
2023-05-30,35
2023-05-31,35
2023-06-01,39
2023-06-02,44
2023-06-03,15
2023-06-04,12
2023-06-05,100
2023-06-06,72
2023-06-07,50
2023-06-08,42
2023-06-09,41
2023-06-10,15
2023-06-11,10
2023-06-12,42
2023-06-13,47
2023-06-14,43
2023-06-15,44
2023-06-16,37
2023-06-17,12
2023-06-18,10
2023-06-19,16
2023-06-20,35
2023-06-21,33
2023-06-22,35
2023-06-23,35
2023-06-24,12
2023-06-25,10
2023-06-26,31
2023-06-27,37
2023-06-28,37
2023-06-29,40
2023-06-30,54
2023-07-01,23
2023-07-02,14
2023-07-03,37
2023-07-04,15
2023-07-05,39
2023-07-06,38
2023-07-07,36
2023-07-08,13
2023-07-09,10
2023-07-10,35
2023-07-11,35
2023-07-12,37
2023-07-13,35
2023-07-14,35
2023-07-15,13
2023-07-16,9
2023-07-17,37
2023-07-18,39
2023-07-19,44
2023-07-20,38
2023-07-21,36
2023-07-22,13
2023-07-23,10
2023-07-24,37
2023-07-25,37
2023-07-26,35
2023-07-27,35
2023-07-28,36
2023-07-29,15
2023-07-30,11
2023-07-31,36
2023-08-01,37
2023-08-02,35
2023-08-03,57
2023-08-04,69
2023-08-05,17
2023-08-06,11
2023-08-07,51
2023-08-08,43
2023-08-09,38
2023-08-10,35
2023-08-11,32
2023-08-12,12
2023-08-13,10
2023-08-14,33
2023-08-15,30
2023-08-16,32
2023-08-17,34
2023-08-18,33
2023-08-19,12
2023-08-20,9
2023-08-21,32
2023-08-22,30
2023-08-23,34
2023-08-24,30
2023-08-25,30
2023-08-26,11
2023-08-27,9
2023-08-28,29
2023-08-29,35
2023-08-30,35
2023-08-31,34
2023-09-01,32
2023-09-02,10
2023-09-03,8
2023-09-04,11
2023-09-05,30
2023-09-06,34
2023-09-07,50
2023-09-08,49
2023-09-09,17
2023-09-10,12
2023-09-11,39
2023-09-12,57
2023-09-13,48
2023-09-14,40
2023-09-15,34
2023-09-16,13
2023-09-17,10
2023-09-18,33
2023-09-19,31
2023-09-20,31
2023-09-21,31
2023-09-22,32
2023-09-23,13
2023-09-24,9
2023-09-25,28
2023-09-26,29
2023-09-27,32
2023-09-28,30
2023-09-29,28
2023-09-30,9
2023-10-01,9
2023-10-02,30
2023-10-03,29
2023-10-04,30
2023-10-05,29
2023-10-06,29
2023-10-07,11
2023-10-08,9
2023-10-09,27
2023-10-10,29
2023-10-11,27
2023-10-12,29
2023-10-13,25
2023-10-14,9
2023-10-15,7
2023-10-16,29
2023-10-17,26
2023-10-18,24
2023-10-19,24
2023-10-20,24
2023-10-21,8
2023-10-22,7
2023-10-23,24
2023-10-24,27
2023-10-25,26
2023-10-26,31
2023-10-27,28
2023-10-28,8
2023-10-29,7
2023-10-30,29
2023-10-31,31
2023-11-01,31
2023-11-02,51
2023-11-03,45
2023-11-04,12
2023-11-05,9
2023-11-06,29
2023-11-07,31
2023-11-08,30
2023-11-09,30
2023-11-10,32
2023-11-11,11
2023-11-12,9
2023-11-13,29
2023-11-14,35
2023-11-15,35
2023-11-16,32
2023-11-17,32
2023-11-18,11
2023-11-19,9
2023-11-20,34
2023-11-21,32
2023-11-22,30
2023-11-23,11
2023-11-24,20
2023-11-25,10
2023-11-26,9
2023-11-27,29
2023-11-28,31
2023-11-29,31
2023-11-30,30
2023-12-01,28
2023-12-02,12
2023-12-03,8
2023-12-04,27
2023-12-05,32
2023-12-06,32
2023-12-07,30
2023-12-08,34
2023-12-09,12
2023-12-10,9
2023-12-11,30
2023-12-12,34
2023-12-13,36
2023-12-14,42
2023-12-15,34
2023-12-16,14
2023-12-17,9
2023-12-18,33
2023-12-19,37
2023-12-20,36
2023-12-21,36
2023-12-22,31
2023-12-23,12
2023-12-24,8
2023-12-25,10
2023-12-26,31
2023-12-27,31
2023-12-28,29
2023-12-29,27
2023-12-30,11
2023-12-31,9
2024-01-01,8
2024-01-02,39
2024-01-03,38
2024-01-04,36
2024-01-05,34
2024-01-06,12
2024-01-07,11
2024-01-08,33
2024-01-09,31
2024-01-10,31
2024-01-11,32
2024-01-12,31
2024-01-13,11
2024-01-14,9
2024-01-15,11
2024-01-16,30
2024-01-17,28
2024-01-18,35
2024-01-19,39
2024-01-20,15
