Time,sephora
2023-04-26,22
2023-04-27,19
2023-04-28,20
2023-04-29,27
2023-04-30,26
2023-05-01,20
2023-05-02,20
2023-05-03,20
2023-05-04,20
2023-05-05,18
2023-05-06,23
2023-05-07,26
2023-05-08,20
2023-05-09,21
2023-05-10,22
2023-05-11,19
2023-05-12,21
2023-05-13,28
2023-05-14,26
2023-05-15,19
2023-05-16,19
2023-05-17,19
2023-05-18,19
2023-05-19,20
2023-05-20,23
2023-05-21,26
2023-05-22,18
2023-05-23,17
2023-05-24,17
2023-05-25,20
2023-05-26,21
2023-05-27,25
2023-05-28,24
2023-05-29,23
2023-05-30,21
2023-05-31,17
2023-06-01,20
2023-06-02,19
2023-06-03,22
2023-06-04,22
2023-06-05,17
2023-06-06,18
2023-06-07,18
2023-06-08,19
2023-06-09,21
2023-06-10,26
2023-06-11,22
2023-06-12,21
2023-06-13,20
2023-06-14,19
2023-06-15,20
2023-06-16,19
2023-06-17,23
2023-06-18,22
2023-06-19,20
2023-06-20,20
2023-06-21,19
2023-06-22,19
2023-06-23,21
2023-06-24,24
2023-06-25,22
2023-06-26,20
2023-06-27,18
2023-06-28,20
2023-06-29,20
2023-06-30,21
2023-07-01,23
2023-07-02,23
2023-07-03,19
2023-07-04,22
2023-07-05,18
2023-07-06,19
2023-07-07,21
2023-07-08,24
2023-07-09,23
2023-07-10,19
2023-07-11,20
2023-07-12,20
2023-07-13,23
2023-07-14,20
2023-07-15,24
2023-07-16,22
2023-07-17,19
2023-07-18,20
2023-07-19,19
2023-07-20,19
2023-07-21,21
2023-07-22,23
2023-07-23,24
2023-07-24,19
2023-07-25,20
2023-07-26,19
2023-07-27,20
2023-07-28,21
2023-07-29,25
2023-07-30,24
2023-07-31,19
2023-08-01,20
2023-08-02,19
2023-08-03,20
2023-08-04,21
2023-08-05,26
2023-08-06,24
2023-08-07,23
2023-08-08,20
2023-08-09,21
2023-08-10,20
2023-08-11,22
2023-08-12,24
2023-08-13,24
2023-08-14,20
2023-08-15,20
2023-08-16,21
2023-08-17,20
2023-08-18,23
2023-08-19,27
2023-08-20,26
2023-08-21,19
2023-08-22,19
2023-08-23,23
2023-08-24,26
2023-08-25,21
2023-08-26,26
2023-08-27,23
2023-08-28,20
2023-08-29,18
2023-08-30,17
2023-08-31,18
2023-09-01,22
2023-09-02,25
2023-09-03,28
2023-09-04,26
2023-09-05,18
2023-09-06,17
2023-09-07,18
2023-09-08,19
2023-09-09,24
2023-09-10,24
2023-09-11,18
2023-09-12,17
2023-09-13,18
2023-09-14,18
2023-09-15,19
2023-09-16,25
2023-09-17,25
2023-09-18,18
2023-09-19,19
2023-09-20,20
2023-09-21,19
2023-09-22,20
2023-09-23,27
2023-09-24,28
2023-09-25,20
2023-09-26,17
2023-09-27,21
2023-09-28,23
2023-09-29,23
2023-09-30,28
2023-10-01,28
2023-10-02,22
2023-10-03,21
2023-10-04,21
2023-10-05,20
2023-10-06,22
2023-10-07,25
2023-10-08,27
2023-10-09,21
2023-10-10,23
2023-10-11,19
2023-10-12,18
2023-10-13,20
2023-10-14,25
2023-10-15,29
2023-10-16,21
2023-10-17,21
2023-10-18,20
2023-10-19,20
2023-10-20,25
2023-10-21,29
2023-10-22,30
2023-10-23,23
2023-10-24,24
2023-10-25,24
2023-10-26,29
2023-10-27,47
2023-10-28,60
2023-10-29,45
2023-10-30,35
2023-10-31,34
2023-11-01,36
2023-11-02,37
2023-11-03,38
2023-11-04,46
2023-11-05,48
2023-11-06,41
2023-11-07,36
2023-11-08,27
2023-11-09,26
2023-11-10,31
2023-11-11,39
2023-11-12,36
2023-11-13,26
2023-11-14,23
2023-11-15,25
2023-11-16,28
2023-11-17,27
2023-11-18,38
2023-11-19,40
2023-11-20,37
2023-11-21,37
2023-11-22,43
2023-11-23,50
2023-11-24,100
2023-11-25,67
2023-11-26,50
2023-11-27,48
2023-11-28,37
2023-11-29,27
2023-11-30,28
2023-12-01,35
2023-12-02,45
2023-12-03,42
2023-12-04,35
2023-12-05,33
2023-12-06,34
2023-12-07,35
2023-12-08,37
2023-12-09,44
2023-12-10,50
2023-12-11,39
2023-12-12,33
2023-12-13,36
2023-12-14,36
2023-12-15,38
2023-12-16,49
2023-12-17,52
2023-12-18,42
2023-12-19,41
2023-12-20,44
2023-12-21,47
2023-12-22,55
2023-12-23,64
2023-12-24,57
2023-12-25,43
2023-12-26,58
2023-12-27,48
2023-12-28,41
2023-12-29,53
2023-12-30,53
2023-12-31,47
2024-01-01,36
2024-01-02,34
2024-01-03,32
2024-01-04,29
2024-01-05,30
2024-01-06,36
2024-01-07,35
2024-01-08,23
2024-01-09,22
2024-01-10,22
2024-01-11,23
2024-01-12,25
2024-01-13,32
2024-01-14,32
2024-01-15,27
2024-01-16,22
2024-01-17,23
2024-01-18,21
2024-01-19,23
2024-01-20,30
