Time,sephora
2024-08-18,28
2024-08-19,20
2024-08-20,20
2024-08-21,20
2024-08-22,20
2024-08-23,21
2024-08-24,29
2024-08-25,26
2024-08-26,20
2024-08-27,19
2024-08-28,21
2024-08-29,20
2024-08-30,23
2024-08-31,27
2024-09-01,29
2024-09-02,32
2024-09-03,21
2024-09-04,19
2024-09-05,19
2024-09-06,19
2024-09-07,28
2024-09-08,25
2024-09-09,20
2024-09-10,19
2024-09-11,20
2024-09-12,20
2024-09-13,23
2024-09-14,28
2024-09-15,25
2024-09-16,22
2024-09-17,19
2024-09-18,21
2024-09-19,20
2024-09-20,21
2024-09-21,30
2024-09-22,27
2024-09-23,19
2024-09-24,20
2024-09-25,20
2024-09-26,20
2024-09-27,21
2024-09-28,27
2024-09-29,28
2024-09-30,21
2024-10-01,23
2024-10-02,21
2024-10-03,22
2024-10-04,22
2024-10-05,27
2024-10-06,26
2024-10-07,20
2024-10-08,20
2024-10-09,20
2024-10-10,21
2024-10-11,23
2024-10-12,29
2024-10-13,26
2024-10-14,24
2024-10-15,21
2024-10-16,21
2024-10-17,21
2024-10-18,24
2024-10-19,27
2024-10-20,28
2024-10-21,23
2024-10-22,22
2024-10-23,22
2024-10-24,22
2024-10-25,25
2024-10-26,31
2024-10-27,31
2024-10-28,26
2024-10-29,27
2024-10-30,26
2024-10-31,26
2024-11-01,53
2024-11-02,59
2024-11-03,53
2024-11-04,39
2024-11-05,44
2024-11-06,28
2024-11-07,40
2024-11-08,41
2024-11-09,52
2024-11-10,58
2024-11-11,53
2024-11-12,41
2024-11-13,27
2024-11-14,27
2024-11-15,26
2024-11-16,33
2024-11-17,37
2024-11-18,28
2024-11-19,26
2024-11-20,26
2024-11-21,27
2024-11-22,31
2024-11-23,36
2024-11-24,44
2024-11-25,39
2024-11-26,39
2024-11-27,44
2024-11-28,47
2024-11-29,100
2024-11-30,68
2024-12-01,53
2024-12-02,48
2024-12-03,40
2024-12-04,29
2024-12-05,28
2024-12-06,38
2024-12-07,48
2024-12-08,46
2024-12-09,34
2024-12-10,36
2024-12-11,37
2024-12-12,36
2024-12-13,39
2024-12-14,52
2024-12-15,54
2024-12-16,44
2024-12-17,42
2024-12-18,40
2024-12-19,43
2024-12-20,47
2024-12-21,57
2024-12-22,61
2024-12-23,58
2024-12-24,65
2024-12-25,43
2024-12-26,59
2024-12-27,51
2024-12-28,46
2024-12-29,43
2024-12-30,35
2024-12-31,35
2025-01-01,34
2025-01-02,33
2025-01-03,33
2025-01-04,34
2025-01-05,32
2025-01-06,24
2025-01-07,23
2025-01-08,19
2025-01-09,21
2025-01-10,21
2025-01-11,28
2025-01-12,26
2025-01-13,20
2025-01-14,20
2025-01-15,19
2025-01-16,20
2025-01-17,22
2025-01-18,25
2025-01-19,24
2025-01-20,23
2025-01-21,18
2025-01-22,20
2025-01-23,19
2025-01-24,20
2025-01-25,26
2025-01-26,23
2025-01-27,20
2025-01-28,19
2025-01-29,18
2025-01-30,18
2025-01-31,22
2025-02-01,25
2025-02-02,27
2025-02-03,18
2025-02-04,18
2025-02-05,18
2025-02-06,20
2025-02-07,23
2025-02-08,25
2025-02-09,24
2025-02-10,18
2025-02-11,19
2025-02-12,20
2025-02-13,23
2025-02-14,25
2025-02-15,25
2025-02-16,27
2025-02-17,24
2025-02-18,19
2025-02-19,20
2025-02-20,20
2025-02-21,23
2025-02-22,25
2025-02-23,27
2025-02-24,20
2025-02-25,18
2025-02-26,20
2025-02-27,20
2025-02-28,20
2025-03-01,28
2025-03-02,27
2025-03-03,19
2025-03-04,19
2025-03-05,19
2025-03-06,20
2025-03-07,21
2025-03-08,28
2025-03-09,28
2025-03-10,20
2025-03-11,20
2025-03-12,20
2025-03-13,19
2025-03-14,22
2025-03-15,27
2025-03-16,30
2025-03-17,22
2025-03-18,21
2025-03-19,20
2025-03-20,22
2025-03-21,24
2025-03-22,29
2025-03-23,33
2025-03-24,24
2025-03-25,23
2025-03-26,23
2025-03-27,21
2025-03-28,25
2025-03-29,32
2025-03-30,30
2025-03-31,25
2025-04-01,26
2025-04-02,26
2025-04-03,31
2025-04-04,53
2025-04-05,56
2025-04-06,49
2025-04-07,35
2025-04-08,38
2025-04-09,35
2025-04-10,33
2025-04-11,36
2025-04-12,41
2025-04-13,45
2025-04-14,34
2025-04-15,28
2025-04-16,21
2025-04-17,23
2025-04-18,24
2025-04-19,27
2025-04-20,27
2025-04-21,21
2025-04-22,20
2025-04-23,19
2025-04-24,20
2025-04-25,19
2025-04-26,27
2025-04-27,29
2025-04-28,20
2025-04-29,18
2025-04-30,19
2025-05-01,19
2025-05-02,19
2025-05-03,25
2025-05-04,27
2025-05-05,19
2025-05-06,19
2025-05-07,20
2025-05-08,19
2025-05-09,22
2025-05-10,30
2025-05-11,29
2025-05-12,20
2025-05-13,19
2025-05-14,19
