Time,sephora
2023-12-22,85
2023-12-23,100
2023-12-24,88
2023-12-25,67
2023-12-26,90
2023-12-27,74
2023-12-28,64
2023-12-29,82
2023-12-30,82
2023-12-31,73
2024-01-01,56
2024-01-02,53
2024-01-03,49
2024-01-04,46
2024-01-05,46
2024-01-06,56
2024-01-07,54
2024-01-08,36
2024-01-09,34
2024-01-10,34
2024-01-11,35
2024-01-12,38
2024-01-13,49
2024-01-14,50
2024-01-15,42
2024-01-16,34
2024-01-17,35
2024-01-18,33
2024-01-19,36
2024-01-20,47
2024-01-21,53
2024-01-22,33
2024-01-23,32
2024-01-24,32
2024-01-25,33
2024-01-26,36
2024-01-27,45
2024-01-28,44
2024-01-29,33
2024-01-30,31
2024-01-31,31
2024-02-01,34
2024-02-02,35
2024-02-03,48
2024-02-04,45
2024-02-05,32
2024-02-06,32
2024-02-07,32
2024-02-08,33
2024-02-09,34
2024-02-10,46
2024-02-11,44
2024-02-12,29
2024-02-13,52
2024-02-14,46
2024-02-15,42
2024-02-16,46
2024-02-17,61
2024-02-18,63
2024-02-19,52
2024-02-20,34
2024-02-21,39
2024-02-22,38
2024-02-23,39
2024-02-24,56
2024-02-25,51
2024-02-26,38
2024-02-27,31
2024-02-28,30
2024-02-29,31
2024-03-01,32
2024-03-02,45
2024-03-03,44
2024-03-04,33
2024-03-05,30
2024-03-06,30
2024-03-07,30
2024-03-08,34
2024-03-09,47
2024-03-10,47
2024-03-11,32
2024-03-12,31
2024-03-13,35
2024-03-14,34
2024-03-15,35
2024-03-16,43
2024-03-17,44
2024-03-18,31
2024-03-19,33
2024-03-20,31
2024-03-21,32
2024-03-22,37
2024-03-23,46
2024-03-24,50
2024-03-25,34
2024-03-26,35
2024-03-27,36
2024-03-28,37
2024-03-29,45
2024-03-30,56
2024-03-31,55
2024-04-01,47
2024-04-02,43
2024-04-03,50
2024-04-04,56
2024-04-05,83
2024-04-06,93
2024-04-07,82
2024-04-08,51
2024-04-09,62
2024-04-10,60
2024-04-11,51
2024-04-12,55
2024-04-13,66
2024-04-14,67
2024-04-15,51
2024-04-16,43
2024-04-17,32
2024-04-18,33
2024-04-19,33
2024-04-20,42
2024-04-21,37
2024-04-22,29
2024-04-23,31
2024-04-24,30
2024-04-25,34
2024-04-26,34
2024-04-27,39
2024-04-28,43
2024-04-29,31
2024-04-30,30
2024-05-01,32
2024-05-02,31
2024-05-03,34
2024-05-04,39
2024-05-05,43
2024-05-06,32
2024-05-07,30
2024-05-08,30
2024-05-09,33
2024-05-10,36
2024-05-11,51
2024-05-12,48
2024-05-13,31
2024-05-14,29
2024-05-15,28
2024-05-16,30
2024-05-17,33
2024-05-18,41
2024-05-19,42
2024-05-20,30
2024-05-21,31
2024-05-22,31
2024-05-23,33
2024-05-24,36
2024-05-25,40
2024-05-26,41
2024-05-27,40
2024-05-28,32
2024-05-29,31
2024-05-30,31
2024-05-31,31
2024-06-01,36
2024-06-02,36
2024-06-03,29
2024-06-04,28
2024-06-05,31
2024-06-06,32
2024-06-07,34
2024-06-08,39
2024-06-09,39
2024-06-10,31
2024-06-11,31
2024-06-12,32
2024-06-13,32
2024-06-14,36
2024-06-15,37
2024-06-16,34
2024-06-17,30
2024-06-18,30
2024-06-19,34
2024-06-20,31
2024-06-21,34
2024-06-22,38
2024-06-23,36
2024-06-24,31
2024-06-25,34
2024-06-26,30
2024-06-27,35
2024-06-28,33
2024-06-29,38
2024-06-30,35
2024-07-01,32
2024-07-02,32
2024-07-03,34
2024-07-04,38
2024-07-05,35
2024-07-06,36
2024-07-07,35
2024-07-08,31
2024-07-09,33
2024-07-10,33
2024-07-11,35
2024-07-12,33
2024-07-13,38
2024-07-14,33
2024-07-15,31
2024-07-16,31
2024-07-17,33
2024-07-18,32
2024-07-19,32
2024-07-20,37
2024-07-21,36
2024-07-22,33
2024-07-23,31
2024-07-24,29
2024-07-25,32
2024-07-26,32
2024-07-27,35
2024-07-28,35
2024-07-29,33
2024-07-30,30
2024-07-31,31
2024-08-01,33
2024-08-02,31
2024-08-03,40
2024-08-04,37
2024-08-05,32
2024-08-06,31
2024-08-07,33
2024-08-08,30
2024-08-09,35
2024-08-10,37
2024-08-11,41
2024-08-12,32
2024-08-13,31
2024-08-14,32
2024-08-15,32
2024-08-16,35
2024-08-17,40
2024-08-18,41
2024-08-19,29
2024-08-20,30
2024-08-21,30
2024-08-22,30
2024-08-23,30
2024-08-24,42
2024-08-25,37
2024-08-26,30
2024-08-27,27
2024-08-28,30
2024-08-29,30
2024-08-30,34
2024-08-31,40
2024-09-01,43
2024-09-02,47
2024-09-03,30
2024-09-04,28
2024-09-05,28
2024-09-06,28
2024-09-07,40
2024-09-08,37
2024-09-09,29
2024-09-10,28
2024-09-11,30
2024-09-12,30
2024-09-13,33
2024-09-14,41
2024-09-15,36
2024-09-16,32
