Time,batman
2024-08-18,64
2024-08-19,49
2024-08-20,46
2024-08-21,44
2024-08-22,41
2024-08-23,46
2024-08-24,57
2024-08-25,60
2024-08-26,48
2024-08-27,44
2024-08-28,45
2024-08-29,46
2024-08-30,48
2024-08-31,58
2024-09-01,60
2024-09-02,56
2024-09-03,47
2024-09-04,41
2024-09-05,43
2024-09-06,42
2024-09-07,50
2024-09-08,51
2024-09-09,42
2024-09-10,39
2024-09-11,40
2024-09-12,43
2024-09-13,46
2024-09-14,52
2024-09-15,55
2024-09-16,50
2024-09-17,46
2024-09-18,47
2024-09-19,49
2024-09-20,68
2024-09-21,100
2024-09-22,91
2024-09-23,67
2024-09-24,56
2024-09-25,53
2024-09-26,54
2024-09-27,54
2024-09-28,59
2024-09-29,59
2024-09-30,54
2024-10-01,53
2024-10-02,49
2024-10-03,53
2024-10-04,58
2024-10-05,72
2024-10-06,65
2024-10-07,61
2024-10-08,56
2024-10-09,53
2024-10-10,55
2024-10-11,53
2024-10-12,61
2024-10-13,64
2024-10-14,75
2024-10-15,65
2024-10-16,57
2024-10-17,55
2024-10-18,55
2024-10-19,64
2024-10-20,68
2024-10-21,64
2024-10-22,61
2024-10-23,58
2024-10-24,56
2024-10-25,53
2024-10-26,63
2024-10-27,69
2024-10-28,54
2024-10-29,52
2024-10-30,55
2024-10-31,76
2024-11-01,62
2024-11-02,55
2024-11-03,54
2024-11-04,46
2024-11-05,39
2024-11-06,32
2024-11-07,40
2024-11-08,43
2024-11-09,49
2024-11-10,55
2024-11-11,68
2024-11-12,63
2024-11-13,59
2024-11-14,52
2024-11-15,48
2024-11-16,49
2024-11-17,60
2024-11-18,48
2024-11-19,48
2024-11-20,50
2024-11-21,48
2024-11-22,49
2024-11-23,49
2024-11-24,56
2024-11-25,45
2024-11-26,43
2024-11-27,46
2024-11-28,51
2024-11-29,50
2024-11-30,49
2024-12-01,51
2024-12-02,42
2024-12-03,42
2024-12-04,40
2024-12-05,42
2024-12-06,43
2024-12-07,46
2024-12-08,50
2024-12-09,44
2024-12-10,39
2024-12-11,42
2024-12-12,47
2024-12-13,41
2024-12-14,48
2024-12-15,52
2024-12-16,41
2024-12-17,41
2024-12-18,45
2024-12-19,48
2024-12-20,54
2024-12-21,51
2024-12-22,55
2024-12-23,49
2024-12-24,54
2024-12-25,68
2024-12-26,54
2024-12-27,69
2024-12-28,71
2024-12-29,55
2024-12-30,45
2024-12-31,47
2025-01-01,46
2025-01-02,44
2025-01-03,43
2025-01-04,48
2025-01-05,52
2025-01-06,41
2025-01-07,39
2025-01-08,38
2025-01-09,40
2025-01-10,39
2025-01-11,47
2025-01-12,49
2025-01-13,41
2025-01-14,39
2025-01-15,38
2025-01-16,40
2025-01-17,40
2025-01-18,43
2025-01-19,40
2025-01-20,40
2025-01-21,36
2025-01-22,36
2025-01-23,36
2025-01-24,36
2025-01-25,39
2025-01-26,44
2025-01-27,36
2025-01-28,36
2025-01-29,36
2025-01-30,36
2025-01-31,36
2025-02-01,41
2025-02-02,45
2025-02-03,34
2025-02-04,34
2025-02-05,33
2025-02-06,32
2025-02-07,37
2025-02-08,41
2025-02-09,39
2025-02-10,30
2025-02-11,32
2025-02-12,35
2025-02-13,36
2025-02-14,35
2025-02-15,39
2025-02-16,40
2025-02-17,36
2025-02-18,33
2025-02-19,40
2025-02-20,34
2025-02-21,36
2025-02-22,44
2025-02-23,50
2025-02-24,41
2025-02-25,36
2025-02-26,34
2025-02-27,37
2025-02-28,35
2025-03-01,38
2025-03-02,44
2025-03-03,33
2025-03-04,33
2025-03-05,35
2025-03-06,39
2025-03-07,36
2025-03-08,40
2025-03-09,48
2025-03-10,34
2025-03-11,34
2025-03-12,34
2025-03-13,33
2025-03-14,35
2025-03-15,42
2025-03-16,43
2025-03-17,34
2025-03-18,37
2025-03-19,37
2025-03-20,37
2025-03-21,37
2025-03-22,46
2025-03-23,47
2025-03-24,37
2025-03-25,38
2025-03-26,36
2025-03-27,38
2025-03-28,37
2025-03-29,43
2025-03-30,44
2025-03-31,36
2025-04-01,34
2025-04-02,83
2025-04-03,49
2025-04-04,45
2025-04-05,49
2025-04-06,51
2025-04-07,41
2025-04-08,41
2025-04-09,42
2025-04-10,40
2025-04-11,43
2025-04-12,50
2025-04-13,53
2025-04-14,35
2025-04-15,36
2025-04-16,40
2025-04-17,37
2025-04-18,39
2025-04-19,44
2025-04-20,48
2025-04-21,34
2025-04-22,36
2025-04-23,33
2025-04-24,74
2025-04-25,40
2025-04-26,39
2025-04-27,43
2025-04-28,35
2025-04-29,34
2025-04-30,31
2025-05-01,33
2025-05-02,35
2025-05-03,40
2025-05-04,45
2025-05-05,37
2025-05-06,33
2025-05-07,33
2025-05-08,35
2025-05-09,34
2025-05-10,43
2025-05-11,43
2025-05-12,34
2025-05-13,33
2025-05-14,34
