Time,phoenix suns
2022-08-29,4
2022-08-30,4
2022-08-31,3
2022-09-01,3
2022-09-02,4
2022-09-03,3
2022-09-04,3
2022-09-05,3
2022-09-06,3
2022-09-07,3
2022-09-08,3
2022-09-09,3
2022-09-10,3
2022-09-11,3
2022-09-12,3
2022-09-13,9
2022-09-14,10
2022-09-15,8
2022-09-16,9
2022-09-17,6
2022-09-18,4
2022-09-19,4
2022-09-20,4
2022-09-21,11
2022-09-22,11
2022-09-23,6
2022-09-24,4
2022-09-25,5
2022-09-26,7
2022-09-27,6
2022-09-28,6
2022-09-29,6
2022-09-30,5
2022-10-01,6
2022-10-02,6
2022-10-03,17
2022-10-04,7
2022-10-05,6
2022-10-06,10
2022-10-07,5
2022-10-08,5
2022-10-09,4
2022-10-10,6
2022-10-11,9
2022-10-12,6
2022-10-13,9
2022-10-14,7
2022-10-15,6
2022-10-16,5
2022-10-17,5
2022-10-18,7
2022-10-19,11
2022-10-20,35
2022-10-21,10
2022-10-22,21
2022-10-23,10
2022-10-24,16
2022-10-25,11
2022-10-26,32
2022-10-27,11
2022-10-28,10
2022-10-29,24
2022-10-30,11
2022-10-31,18
2022-11-01,10
2022-11-02,23
2022-11-03,9
2022-11-04,11
2022-11-05,25
2022-11-06,20
2022-11-07,9
2022-11-08,14
2022-11-09,7
2022-11-10,14
2022-11-11,12
2022-11-12,15
2022-11-13,8
2022-11-14,9
2022-11-15,12
2022-11-16,9
2022-11-17,25
2022-11-18,11
2022-11-19,19
2022-11-20,14
2022-11-21,8
2022-11-22,9
2022-11-23,21
2022-11-24,8
2022-11-25,9
2022-11-26,20
2022-11-27,23
2022-11-28,9
2022-11-29,15
2022-11-30,9
2022-12-01,20
2022-12-02,10
2022-12-03,17
2022-12-04,13
2022-12-05,11
2022-12-06,14
2022-12-07,9
2022-12-08,18
2022-12-09,8
2022-12-10,18
2022-12-11,17
2022-12-12,8
2022-12-13,8
2022-12-14,14
2022-12-15,9
2022-12-16,16
2022-12-17,10
2022-12-18,23
2022-12-19,13
2022-12-20,25
2022-12-21,24
2022-12-22,10
2022-12-23,10
2022-12-24,20
2022-12-25,12
2022-12-26,29
2022-12-27,12
2022-12-28,19
2022-12-29,13
2022-12-30,8
2022-12-31,12
2023-01-01,7
2023-01-02,11
2023-01-03,7
2023-01-04,9
2023-01-05,11
2023-01-06,8
2023-01-07,18
2023-01-08,8
2023-01-09,11
2023-01-10,9
2023-01-11,19
2023-01-12,14
2023-01-13,8
2023-01-14,11
2023-01-15,7
2023-01-16,10
2023-01-17,11
2023-01-18,6
2023-01-19,9
2023-01-20,18
2023-01-21,10
2023-01-22,16
2023-01-23,14
2023-01-24,10
2023-01-25,16
2023-01-26,9
2023-01-27,18
2023-01-28,9
2023-01-29,14
2023-01-30,8
2023-01-31,15
2023-02-01,10
2023-02-02,18
2023-02-03,12
2023-02-04,20
2023-02-05,19
2023-02-06,12
2023-02-07,14
2023-02-08,22
2023-02-09,87
2023-02-10,47
2023-02-11,34
2023-02-12,24
2023-02-13,16
2023-02-14,21
2023-02-15,33
2023-02-16,19
2023-02-17,33
2023-02-18,12
2023-02-19,10
2023-02-20,11
2023-02-21,11
2023-02-22,11
2023-02-23,11
2023-02-24,18
2023-02-25,37
2023-02-26,36
2023-02-27,16
2023-02-28,11
2023-03-01,19
2023-03-02,43
2023-03-03,17
2023-03-04,35
2023-03-05,55
2023-03-06,21
2023-03-07,13
2023-03-08,19
2023-03-09,36
2023-03-10,15
2023-03-11,14
2023-03-12,26
2023-03-13,15
2023-03-14,23
2023-03-15,23
2023-03-16,11
2023-03-17,21
2023-03-18,10
2023-03-19,20
2023-03-20,9
2023-03-21,9
2023-03-22,10
2023-03-23,21
2023-03-24,12
2023-03-25,30
2023-03-26,34
2023-03-27,14
2023-03-28,21
2023-03-29,14
2023-03-30,37
2023-03-31,15
2023-04-01,33
2023-04-02,18
2023-04-03,22
2023-04-04,11
2023-04-05,24
2023-04-06,17
2023-04-07,38
2023-04-08,32
2023-04-09,31
2023-04-10,13
2023-04-11,11
2023-04-12,10
2023-04-13,8
2023-04-14,9
2023-04-15,15
2023-04-16,26
2023-04-17,57
2023-04-18,17
2023-04-19,55
2023-04-20,18
2023-04-21,62
2023-04-22,50
2023-04-23,25
2023-04-24,16
2023-04-25,21
2023-04-26,59
2023-04-27,17
2023-04-28,15
2023-04-29,32
2023-04-30,58
2023-05-01,21
2023-05-02,55
2023-05-03,18
2023-05-04,24
2023-05-05,22
2023-05-06,72
2023-05-07,38
2023-05-08,79
2023-05-09,28
2023-05-10,64
2023-05-11,27
2023-05-12,100
2023-05-13,18
2023-05-14,27
2023-05-15,18
2023-05-16,10
2023-05-17,8
2023-05-18,7
2023-05-19,7
2023-05-20,6
2023-05-21,8
2023-05-22,6
2023-05-23,5
2023-05-24,6
2023-05-25,5
