Time,mcdonalds
2022-01-01,100.0
2022-01-02,64.0
2022-01-03,51.0
2022-01-04,53.0
2022-01-05,48.0
2022-01-06,38.0
2022-01-07,47.0
2022-01-08,58.0
2022-01-09,59.0
2022-01-10,43.0
2022-01-11,43.0
2022-01-12,46.0
2022-01-13,46.0
2022-01-14,38.0
2022-01-15,58.0
2022-01-16,55.0
2022-01-17,46.0
2022-01-18,37.0
2022-01-19,39.0
2022-01-20,39.0
2022-01-21,41.0
2022-01-22,55.0
2022-01-23,54.0
2022-01-24,49.0
2022-01-25,36.0
2022-01-26,39.0
2022-01-27,42.0
2022-01-28,49.0
2022-01-29,58.0
2022-01-30,57.0
2022-01-31,43.0
2022-02-01,47.0
2022-02-02,44.0
2022-02-03,47.0
2022-02-04,50.0
2022-02-05,59.0
2022-02-06,65.0
2022-02-07,42.0
2022-02-08,44.0
2022-02-09,47.0
2022-02-10,43.0
2022-02-11,53.0
2022-02-12,62.0
2022-02-13,62.0
2022-02-14,41.0
2022-02-15,41.0
2022-02-16,42.0
2022-02-17,41.0
2022-02-18,48.0
2022-02-19,57.0
2022-02-20,61.0
2022-02-21,51.0
2022-02-22,43.0
2022-02-23,42.0
2022-02-24,40.0
2022-02-25,43.0
2022-02-26,56.0
2022-02-27,59.0
2022-02-28,42.0
2022-03-01,41.0
2022-03-02,43.0
2022-03-03,43.0
2022-03-04,46.0
2022-03-05,58.0
2022-03-06,59.0
2022-03-07,44.0
2022-03-08,46.0
2022-03-09,46.0
2022-03-10,46.0
2022-03-11,45.0
2022-03-12,56.0
2022-03-13,57.0
2022-03-14,53.0
2022-03-15,42.0
2022-03-16,44.0
2022-03-17,47.0
2022-03-18,53.0
2022-03-19,58.0
2022-03-20,62.0
2022-03-21,44.0
2022-03-22,42.0
2022-03-23,42.0
2022-03-24,42.0
2022-03-25,43.0
2022-03-26,58.0
2022-03-27,56.0
2022-03-28,37.0
2022-03-29,39.0
2022-03-30,45.0
2022-03-31,43.0
2022-04-01,45.0
2022-04-02,61.0
2022-04-03,59.0
2022-04-04,41.0
2022-04-05,41.0
2022-04-06,40.0
2022-04-07,42.0
2022-04-08,45.0
2022-04-09,55.0
2022-04-10,58.0
2022-04-11,42.0
2022-04-12,37.0
2022-04-13,40.0
2022-04-14,49.0
2022-04-15,49.0
2022-04-16,56.0
2022-04-17,70.0
2022-04-18,47.0
2022-04-19,38.0
2022-04-20,38.0
2022-04-21,42.0
2022-04-22,44.0
2022-04-23,59.0
2022-04-24,60.0
2022-04-25,40.0
2022-04-26,39.0
2022-04-27,38.0
2022-04-28,41.0
2022-04-29,42.0
2022-04-30,58.0
2022-05-01,58.0
2022-05-02,39.0
2022-05-03,35.0
2022-05-04,34.0
2022-05-05,37.0
2022-05-06,40.0
2022-05-07,52.0
2022-05-08,54.0
2022-05-09,36.0
2022-05-10,37.0
2022-05-11,38.0
2022-05-12,39.0
2022-05-13,42.0
2022-05-14,52.0
2022-05-15,57.0
2022-05-16,40.0
2022-05-17,39.0
2022-05-18,39.0
2022-05-19,40.0
2022-05-20,47.0
2022-05-21,56.0
2022-05-22,62.0
2022-05-23,43.0
2022-05-24,41.0
2022-05-25,40.0
2022-05-26,43.0
2022-05-27,46.0
2022-05-28,58.0
2022-05-29,60.0
2022-05-30,58.0
2022-05-31,42.0
2022-06-01,41.0
2022-06-02,42.0
2022-06-03,44.0
2022-06-04,56.0
2022-06-05,57.0
2022-06-06,40.0
2022-06-07,39.0
2022-06-08,43.0
2022-06-09,43.0
2022-06-10,44.0
2022-06-11,53.0
2022-06-12,57.0
2022-06-13,42.0
2022-06-14,42.0
2022-06-15,40.0
2022-06-16,44.0
2022-06-17,44.0
2022-06-18,55.0
2022-06-19,55.0
2022-06-20,43.0
2022-06-21,40.0
2022-06-22,43.0
2022-06-23,45.0
2022-06-24,47.0
2022-06-25,53.0
2022-06-26,55.0
2022-06-27,42.0
2022-06-28,43.0
2022-06-29,45.0
2022-06-30,51.0
2022-07-01,54.0
2022-07-02,54.0
2022-07-03,58.0
2022-07-04,63.0
2022-07-05,55.0
2022-07-06,45.0
2022-07-07,42.0
2022-07-08,48.0
2022-07-09,51.0
2022-07-10,55.0
2022-07-11,42.0
2022-07-12,43.0
2022-07-13,46.0
2022-07-14,46.0
2022-07-15,46.0
2022-07-16,56.0
2022-07-17,57.0
2022-07-18,42.0
2022-07-19,41.0
2022-07-20,42.0
2022-07-21,41.0
2022-07-22,44.0
2022-07-23,53.0
2022-07-24,55.0
2022-07-25,42.0
2022-07-26,41.0
2022-07-27,40.0
2022-07-28,43.0
2022-07-29,44.0
2022-07-30,51.0
2022-07-31,56.0
2022-08-01,41.0
2022-08-02,41.0
2022-08-03,41.0
2022-08-04,40.0
2022-08-05,44.0
2022-08-06,54.0
2022-08-07,54.0
2022-08-08,41.0
2022-08-09,40.0
2022-08-10,40.0
2022-08-11,41.0
2022-08-12,44.0
2022-08-13,50.0
2022-08-14,54.0
2022-08-15,40.0
2022-08-16,41.0
2022-08-17,40.0
2022-08-18,41.0
2022-08-19,43.0
2022-08-20,53.0
2022-08-21,54.0
2022-08-22,37.0
2022-08-23,39.0
2022-08-24,37.0
2022-08-25,38.0
2022-08-26,41.0
2022-08-27,54.0
2022-08-28,53.0
2022-08-29,35.08139534883721
2022-08-30,38.04651162790698
2022-08-31,36.56976744186046
2022-09-01,39.03488372093024
2022-09-02,42.0
2022-09-03,54.84883720930233
2022-09-04,52.872093023255815
2022-09-05,51.883720930232556
2022-09-06,36.06976744186046
2022-09-07,34.093023255813954
2022-09-08,34.093023255813954
2022-09-09,41.01162790697674
2022-09-10,49.90697674418605
2022-09-11,49.90697674418605
2022-09-12,33.1046511627907
2022-09-13,34.593023255813954
2022-09-14,36.56976744186046
2022-09-15,37.05813953488372
2022-09-16,38.04651162790698
2022-09-17,56.825581395348834
2022-09-18,55.83720930232558
2022-09-19,41.01162790697674
2022-09-20,40.02325581395349
2022-09-21,37.55813953488372
2022-09-22,39.53488372093024
2022-09-23,42.0
2022-09-24,51.883720930232556
2022-09-25,51.883720930232556
2022-09-26,33.6046511627907
2022-09-27,36.06976744186046
2022-09-28,45.906976744186046
2022-09-29,46.88372093023256
2022-09-30,47.86046511627907
2022-10-01,57.62790697674419
2022-10-02,59.58139534883721
2022-10-03,73.25581395348837
2022-10-04,97.67441860465117
2022-10-05,83.0232558139535
2022-10-06,74.23255813953489
2022-10-07,74.23255813953489
2022-10-08,63.48837209302326
2022-10-09,54.697674418604656
2022-10-10,40.04651162790698
2022-10-11,35.162790697674424
2022-10-12,33.2093023255814
2022-10-13,35.162790697674424
2022-10-14,37.116279069767444
2022-10-15,42.0
2022-10-16,42.0
2022-10-17,32.23255813953489
2022-10-18,61.53488372093024
2022-10-19,51.76744186046512
2022-10-20,43.95348837209303
2022-10-21,42.0
2022-10-22,46.88372093023256
2022-10-23,44.93023255813954
2022-10-24,33.2093023255814
2022-10-25,31.255813953488374
2022-10-26,31.255813953488374
2022-10-27,31.255813953488374
2022-10-28,31.255813953488374
2022-10-29,39.06976744186047
2022-10-30,39.06976744186047
2022-10-31,24.41860465116279
2022-11-01,24.41860465116279
2022-11-02,22.46511627906977
2022-11-03,22.46511627906977
2022-11-04,27.348837209302328
2022-11-05,31.255813953488374
2022-11-06,28.325581395348838
2022-11-07,22.46511627906977
2022-11-08,22.46511627906977
2022-11-09,20.511627906976745
2022-11-10,23.44186046511628
2022-11-11,29.30232558139535
2022-11-12,33.2093023255814
2022-11-13,36.139534883720934
2022-11-14,23.44186046511628
2022-11-15,22.46511627906977
2022-11-16,22.46511627906977
2022-11-17,23.44186046511628
2022-11-18,24.41860465116279
2022-11-19,33.2093023255814
