Time,calculator
2023-04-26,94
2023-04-27,98
2023-04-28,83
2023-04-29,56
2023-04-30,57
2023-05-01,98
2023-05-02,99
2023-05-03,93
2023-05-04,99
2023-05-05,86
2023-05-06,55
2023-05-07,53
2023-05-08,94
2023-05-09,97
2023-05-10,96
2023-05-11,92
2023-05-12,84
2023-05-13,50
2023-05-14,45
2023-05-15,90
2023-05-16,92
2023-05-17,92
2023-05-18,88
2023-05-19,82
2023-05-20,51
2023-05-21,51
2023-05-22,82
2023-05-23,85
2023-05-24,83
2023-05-25,78
2023-05-26,67
2023-05-27,45
2023-05-28,44
2023-05-29,46
2023-05-30,71
2023-05-31,74
2023-06-01,71
2023-06-02,65
2023-06-03,51
2023-06-04,48
2023-06-05,70
2023-06-06,69
2023-06-07,71
2023-06-08,65
2023-06-09,63
2023-06-10,49
2023-06-11,45
2023-06-12,66
2023-06-13,66
2023-06-14,64
2023-06-15,63
2023-06-16,56
2023-06-17,46
2023-06-18,43
2023-06-19,55
2023-06-20,62
2023-06-21,60
2023-06-22,55
2023-06-23,57
2023-06-24,46
2023-06-25,46
2023-06-26,60
2023-06-27,62
2023-06-28,59
2023-06-29,61
2023-06-30,60
2023-07-01,46
2023-07-02,47
2023-07-03,55
2023-07-04,45
2023-07-05,57
2023-07-06,61
2023-07-07,58
2023-07-08,48
2023-07-09,46
2023-07-10,59
2023-07-11,59
2023-07-12,60
2023-07-13,61
2023-07-14,58
2023-07-15,47
2023-07-16,45
2023-07-17,61
2023-07-18,56
2023-07-19,58
2023-07-20,58
2023-07-21,53
2023-07-22,45
2023-07-23,45
2023-07-24,57
2023-07-25,60
2023-07-26,56
2023-07-27,62
2023-07-28,55
2023-07-29,47
2023-07-30,44
2023-07-31,57
2023-08-01,62
2023-08-02,59
2023-08-03,62
2023-08-04,56
2023-08-05,51
2023-08-06,45
2023-08-07,57
2023-08-08,60
2023-08-09,60
2023-08-10,59
2023-08-11,59
2023-08-12,44
2023-08-13,43
2023-08-14,61
2023-08-15,63
2023-08-16,66
2023-08-17,67
2023-08-18,66
2023-08-19,44
2023-08-20,45
2023-08-21,70
2023-08-22,74
2023-08-23,78
2023-08-24,70
2023-08-25,72
2023-08-26,48
2023-08-27,49
2023-08-28,79
2023-08-29,79
2023-08-30,80
2023-08-31,85
2023-09-01,77
2023-09-02,48
2023-09-03,47
2023-09-04,54
2023-09-05,80
2023-09-06,88
2023-09-07,87
2023-09-08,84
2023-09-09,49
2023-09-10,50
2023-09-11,87
2023-09-12,93
2023-09-13,93
2023-09-14,92
2023-09-15,84
2023-09-16,51
2023-09-17,51
2023-09-18,91
2023-09-19,93
2023-09-20,94
2023-09-21,94
2023-09-22,79
2023-09-23,49
2023-09-24,49
2023-09-25,88
2023-09-26,90
2023-09-27,90
2023-09-28,94
2023-09-29,87
2023-09-30,50
2023-10-01,52
2023-10-02,88
2023-10-03,93
2023-10-04,97
2023-10-05,89
2023-10-06,81
2023-10-07,50
2023-10-08,48
2023-10-09,76
2023-10-10,85
2023-10-11,85
2023-10-12,92
2023-10-13,77
2023-10-14,46
2023-10-15,49
2023-10-16,85
2023-10-17,89
2023-10-18,94
2023-10-19,92
2023-10-20,81
2023-10-21,47
2023-10-22,52
2023-10-23,90
2023-10-24,88
2023-10-25,88
2023-10-26,91
2023-10-27,78
2023-10-28,45
2023-10-29,43
2023-10-30,88
2023-10-31,85
2023-11-01,87
2023-11-02,97
2023-11-03,83
2023-11-04,50
2023-11-05,50
2023-11-06,86
2023-11-07,84
2023-11-08,89
2023-11-09,85
2023-11-10,71
2023-11-11,49
2023-11-12,47
2023-11-13,86
2023-11-14,93
2023-11-15,93
2023-11-16,89
2023-11-17,84
2023-11-18,47
2023-11-19,46
2023-11-20,67
2023-11-21,68
2023-11-22,52
2023-11-23,39
2023-11-24,39
2023-11-25,44
2023-11-26,44
2023-11-27,82
2023-11-28,92
2023-11-29,91
2023-11-30,90
2023-12-01,88
2023-12-02,51
2023-12-03,49
2023-12-04,91
2023-12-05,95
2023-12-06,95
2023-12-07,94
2023-12-08,94
2023-12-09,55
2023-12-10,56
2023-12-11,92
2023-12-12,98
2023-12-13,94
2023-12-14,100
2023-12-15,87
2023-12-16,52
2023-12-17,49
2023-12-18,81
2023-12-19,82
2023-12-20,79
2023-12-21,73
2023-12-22,57
2023-12-23,45
2023-12-24,35
2023-12-25,34
2023-12-26,47
2023-12-27,53
2023-12-28,54
2023-12-29,54
2023-12-30,46
2023-12-31,41
2024-01-01,42
2024-01-02,64
2024-01-03,68
2024-01-04,73
2024-01-05,74
2024-01-06,50
2024-01-07,49
2024-01-08,77
2024-01-09,80
2024-01-10,91
2024-01-11,92
2024-01-12,83
2024-01-13,48
2024-01-14,48
2024-01-15,56
2024-01-16,76
2024-01-17,87
2024-01-18,92
2024-01-19,88
2024-01-20,54
