Time,calculator
2022-08-29,75
2022-08-30,79
2022-08-31,80
2022-09-01,82
2022-09-02,73
2022-09-03,43
2022-09-04,41
2022-09-05,50
2022-09-06,80
2022-09-07,84
2022-09-08,87
2022-09-09,79
2022-09-10,46
2022-09-11,47
2022-09-12,83
2022-09-13,85
2022-09-14,92
2022-09-15,93
2022-09-16,82
2022-09-17,48
2022-09-18,46
2022-09-19,86
2022-09-20,93
2022-09-21,90
2022-09-22,88
2022-09-23,84
2022-09-24,47
2022-09-25,47
2022-09-26,78
2022-09-27,84
2022-09-28,87
2022-09-29,84
2022-09-30,79
2022-10-01,46
2022-10-02,46
2022-10-03,83
2022-10-04,89
2022-10-05,86
2022-10-06,86
2022-10-07,81
2022-10-08,46
2022-10-09,46
2022-10-10,75
2022-10-11,86
2022-10-12,87
2022-10-13,89
2022-10-14,75
2022-10-15,46
2022-10-16,48
2022-10-17,84
2022-10-18,92
2022-10-19,90
2022-10-20,90
2022-10-21,77
2022-10-22,44
2022-10-23,45
2022-10-24,85
2022-10-25,87
2022-10-26,87
2022-10-27,90
2022-10-28,79
2022-10-29,45
2022-10-30,46
2022-10-31,76
2022-11-01,90
2022-11-02,93
2022-11-03,90
2022-11-04,82
2022-11-05,49
2022-11-06,46
2022-11-07,83
2022-11-08,76
2022-11-09,80
2022-11-10,79
2022-11-11,63
2022-11-12,46
2022-11-13,45
2022-11-14,82
2022-11-15,91
2022-11-16,90
2022-11-17,90
2022-11-18,81
2022-11-19,47
2022-11-20,42
2022-11-21,68
2022-11-22,68
2022-11-23,52
2022-11-24,35
2022-11-25,39
2022-11-26,39
2022-11-27,43
2022-11-28,71
2022-11-29,86
2022-11-30,84
2022-12-01,89
2022-12-02,84
2022-12-03,47
2022-12-04,47
2022-12-05,88
2022-12-06,94
2022-12-07,94
2022-12-08,95
2022-12-09,84
2022-12-10,48
2022-12-11,49
2022-12-12,93
2022-12-13,90
2022-12-14,93
2022-12-15,95
2022-12-16,79
2022-12-17,45
2022-12-18,42
2022-12-19,70
2022-12-20,70
2022-12-21,64
2022-12-22,54
2022-12-23,43
2022-12-24,33
2022-12-25,28
2022-12-26,37
2022-12-27,47
2022-12-28,51
2022-12-29,51
2022-12-30,49
2022-12-31,39
2023-01-01,35
2023-01-02,49
2023-01-03,63
2023-01-04,69
2023-01-05,73
2023-01-06,79
2023-01-07,48
2023-01-08,45
2023-01-09,77
2023-01-10,86
2023-01-11,90
2023-01-12,92
2023-01-13,86
2023-01-14,51
2023-01-15,47
2023-01-16,59
2023-01-17,86
2023-01-18,92
2023-01-19,100
2023-01-20,86
2023-01-21,59
2023-01-22,56
2023-01-23,90
2023-01-24,98
2023-01-25,97
2023-01-26,93
2023-01-27,84
2023-01-28,52
2023-01-29,53
2023-01-30,85
2023-01-31,94
2023-02-01,94
2023-02-02,96
2023-02-03,93
2023-02-04,58
2023-02-05,53
2023-02-06,89
2023-02-07,95
2023-02-08,93
2023-02-09,89
2023-02-10,90
2023-02-11,58
2023-02-12,50
2023-02-13,81
2023-02-14,91
2023-02-15,94
2023-02-16,88
2023-02-17,85
2023-02-18,51
2023-02-19,51
2023-02-20,66
2023-02-21,89
2023-02-22,88
2023-02-23,85
2023-02-24,85
2023-02-25,53
2023-02-26,55
2023-02-27,92
2023-02-28,95
2023-03-01,95
2023-03-02,93
2023-03-03,87
2023-03-04,56
2023-03-05,54
2023-03-06,92
2023-03-07,96
2023-03-08,95
2023-03-09,92
2023-03-10,83
2023-03-11,51
2023-03-12,50
2023-03-13,81
2023-03-14,82
2023-03-15,84
2023-03-16,84
2023-03-17,71
2023-03-18,50
2023-03-19,52
2023-03-20,82
2023-03-21,88
2023-03-22,85
2023-03-23,92
2023-03-24,84
2023-03-25,51
2023-03-26,50
2023-03-27,85
2023-03-28,86
2023-03-29,90
2023-03-30,87
2023-03-31,78
2023-04-01,48
2023-04-02,52
2023-04-03,82
2023-04-04,81
2023-04-05,84
2023-04-06,79
2023-04-07,65
2023-04-08,50
2023-04-09,45
2023-04-10,75
2023-04-11,87
2023-04-12,86
2023-04-13,90
2023-04-14,86
2023-04-15,50
2023-04-16,52
2023-04-17,87
2023-04-18,92
2023-04-19,92
2023-04-20,87
2023-04-21,81
2023-04-22,50
2023-04-23,51
2023-04-24,93
2023-04-25,88
2023-04-26,90
2023-04-27,93
2023-04-28,79
2023-04-29,53
2023-04-30,55
2023-05-01,94
2023-05-02,94
2023-05-03,89
2023-05-04,94
2023-05-05,82
2023-05-06,52
2023-05-07,51
2023-05-08,90
2023-05-09,92
2023-05-10,92
2023-05-11,88
2023-05-12,80
2023-05-13,48
2023-05-14,42
2023-05-15,86
2023-05-16,87
2023-05-17,87
2023-05-18,84
2023-05-19,78
2023-05-20,49
2023-05-21,48
2023-05-22,78
2023-05-23,81
2023-05-24,79
2023-05-25,75
