Time,movies
2025-12-11,43
2025-12-12,52
2025-12-13,72
2025-12-14,77
2025-12-15,66
2025-12-16,58
2025-12-17,55
2025-12-18,53
2025-12-19,60
2025-12-20,75
2025-12-21,78
2025-12-22,69
2025-12-23,65
2025-12-24,80
2025-12-25,100
2025-12-26,87
2025-12-27,90
2025-12-28,83
2025-12-29,69
2025-12-30,66
2025-12-31,67
2026-01-01,85
2026-01-02,78
2026-01-03,83
2026-01-04,74
2026-01-05,51
2026-01-06,48
2026-01-07,47
2026-01-08,46
2026-01-09,50
2026-01-10,71
2026-01-11,71
2026-01-12,50
2026-01-13,43
2026-01-14,43
2026-01-15,47
2026-01-16,50
2026-01-17,70
2026-01-18,72
2026-01-19,61
2026-01-20,46
2026-01-21,45
2026-01-22,45
2026-01-23,51
2026-01-24,81
2026-01-25,83
2026-01-26,62
2026-01-27,52
2026-01-28,45
2026-01-29,45
2026-01-30,52
2026-01-31,79
2026-02-01,77
2026-02-02,46
2026-02-03,43
2026-02-04,41
2026-02-05,43
2026-02-06,48
2026-02-07,70
2026-02-08,64
2026-02-09,41
2026-02-10,40
2026-02-11,42
2026-02-12,42
2026-02-13,51
2026-02-14,79
2026-02-15,84
2026-02-16,66
2026-02-17,51
2026-02-18,44
2026-02-19,43
2026-02-20,53
2026-02-21,74
2026-02-22,66
2026-02-23,48
2026-02-24,44
2026-02-25,40
2026-02-26,41
2026-02-27,49
2026-02-28,68
2026-03-01,70
2026-03-02,47
2026-03-03,43
2026-03-04,38
2026-03-05,41
2026-03-06,47
2026-03-07,70
2026-03-08,70
2026-03-09,44
2026-03-10,41
2026-03-11,42
2026-03-12,40
2026-03-13,49
2026-03-14,72
2026-03-15,74
2026-03-16,54
2026-03-17,47
2026-03-18,45
2026-03-19,44
2026-03-20,54
2026-03-21,70
2026-03-22,68
2026-03-23,48
2026-03-24,44
2026-03-25,43
2026-03-26,41
2026-03-27,47
2026-03-28,65
2026-03-29,66
2026-03-30,47
2026-03-31,43
2026-04-01,42
2026-04-02,47
2026-04-03,55
2026-04-04,65
2026-04-05,72
2026-04-06,51
2026-04-07,41
2026-04-08,40
2026-04-09,39
2026-04-10,44
2026-04-11,61
2026-04-12,64
2026-04-13,40
2026-04-14,37
2026-04-15,39
2026-04-16,37
2026-04-17,45
2026-04-18,63
2026-04-19,66
2026-04-20,43
2026-04-21,41
2026-04-22,39
2026-04-23,38
2026-04-24,47
2026-04-25,67
2026-04-26,68
2026-04-27,46
2026-04-28,42
2026-04-29,41
2026-04-30,43
2026-05-01,49
2026-05-02,69
2026-05-03,71
2026-05-04,46
2026-05-05,41
2026-05-06,43
2026-05-07,43
2026-05-08,48
2026-05-09,68
2026-05-10,73
2026-05-11,48
2026-05-12,42
2026-05-13,42
2026-05-14,43
2026-05-15,49
2026-05-16,62
2026-05-17,68
2026-05-18,47
2026-05-19,44
2026-05-20,47
2026-05-21,47
2026-05-22,57
2026-05-23,77
2026-05-24,81
2026-05-25,76
2026-05-26,52
2026-05-27,47
2026-05-28,49
2026-05-29,56
2026-05-30,73
2026-05-31,68
