Time,movies
2023-04-26,42
2023-04-27,43
2023-04-28,49
2023-04-29,74
2023-04-30,76
2023-05-01,48
2023-05-02,43
2023-05-03,40
2023-05-04,43
2023-05-05,46
2023-05-06,67
2023-05-07,69
2023-05-08,46
2023-05-09,41
2023-05-10,41
2023-05-11,38
2023-05-12,49
2023-05-13,68
2023-05-14,73
2023-05-15,49
2023-05-16,44
2023-05-17,42
2023-05-18,43
2023-05-19,50
2023-05-20,72
2023-05-21,72
2023-05-22,46
2023-05-23,42
2023-05-24,43
2023-05-25,46
2023-05-26,55
2023-05-27,73
2023-05-28,81
2023-05-29,75
2023-05-30,51
2023-05-31,47
2023-06-01,48
2023-06-02,54
2023-06-03,75
2023-06-04,79
2023-06-05,52
2023-06-06,49
2023-06-07,49
2023-06-08,48
2023-06-09,57
2023-06-10,75
2023-06-11,79
2023-06-12,57
2023-06-13,56
2023-06-14,51
2023-06-15,52
2023-06-16,58
2023-06-17,73
2023-06-18,83
2023-06-19,62
2023-06-20,53
2023-06-21,51
2023-06-22,50
2023-06-23,59
2023-06-24,74
2023-06-25,78
2023-06-26,55
2023-06-27,54
2023-06-28,55
2023-06-29,47
2023-06-30,58
2023-07-01,73
2023-07-02,87
2023-07-03,68
2023-07-04,82
2023-07-05,57
2023-07-06,56
2023-07-07,61
2023-07-08,83
2023-07-09,83
2023-07-10,57
2023-07-11,54
2023-07-12,55
2023-07-13,53
2023-07-14,61
2023-07-15,77
2023-07-16,82
2023-07-17,59
2023-07-18,54
2023-07-19,54
2023-07-20,55
2023-07-21,64
2023-07-22,82
2023-07-23,91
2023-07-24,62
2023-07-25,58
2023-07-26,55
2023-07-27,54
2023-07-28,60
2023-07-29,77
2023-07-30,79
2023-07-31,57
2023-08-01,53
2023-08-02,49
2023-08-03,48
2023-08-04,54
2023-08-05,73
2023-08-06,78
2023-08-07,55
2023-08-08,51
2023-08-09,48
2023-08-10,49
2023-08-11,54
2023-08-12,68
2023-08-13,74
2023-08-14,51
2023-08-15,47
2023-08-16,45
2023-08-17,44
2023-08-18,51
2023-08-19,65
2023-08-20,73
2023-08-21,53
2023-08-22,45
2023-08-23,45
2023-08-24,45
2023-08-25,52
2023-08-26,66
2023-08-27,84
2023-08-28,46
2023-08-29,42
2023-08-30,40
2023-08-31,42
2023-09-01,48
2023-09-02,64
2023-09-03,73
2023-09-04,73
2023-09-05,45
2023-09-06,40
2023-09-07,40
2023-09-08,45
2023-09-09,64
2023-09-10,66
2023-09-11,43
2023-09-12,40
2023-09-13,41
2023-09-14,39
2023-09-15,44
2023-09-16,66
2023-09-17,63
2023-09-18,43
2023-09-19,40
2023-09-20,40
2023-09-21,41
2023-09-22,47
2023-09-23,72
2023-09-24,72
2023-09-25,49
2023-09-26,42
2023-09-27,41
2023-09-28,43
2023-09-29,49
2023-09-30,69
2023-10-01,73
2023-10-02,48
2023-10-03,44
2023-10-04,46
2023-10-05,46
2023-10-06,50
2023-10-07,75
2023-10-08,78
2023-10-09,55
2023-10-10,45
2023-10-11,44
2023-10-12,47
2023-10-13,55
2023-10-14,82
2023-10-15,76
2023-10-16,50
2023-10-17,43
2023-10-18,43
2023-10-19,46
2023-10-20,54
2023-10-21,72
2023-10-22,73
2023-10-23,48
2023-10-24,44
2023-10-25,45
2023-10-26,45
2023-10-27,54
2023-10-28,73
2023-10-29,77
2023-10-30,54
2023-10-31,55
2023-11-01,52
2023-11-02,43
2023-11-03,50
2023-11-04,70
2023-11-05,68
2023-11-06,47
2023-11-07,44
2023-11-08,44
2023-11-09,45
2023-11-10,55
2023-11-11,73
2023-11-12,73
2023-11-13,49
2023-11-14,44
2023-11-15,43
2023-11-16,44
2023-11-17,48
2023-11-18,69
2023-11-19,72
2023-11-20,55
2023-11-21,54
2023-11-22,63
2023-11-23,77
2023-11-24,78
2023-11-25,79
2023-11-26,81
2023-11-27,49
2023-11-28,45
2023-11-29,44
2023-11-30,43
2023-12-01,48
2023-12-02,68
2023-12-03,72
2023-12-04,48
2023-12-05,43
2023-12-06,43
2023-12-07,43
2023-12-08,49
2023-12-09,70
2023-12-10,78
2023-12-11,50
2023-12-12,46
2023-12-13,47
2023-12-14,45
2023-12-15,49
2023-12-16,70
2023-12-17,72
2023-12-18,52
2023-12-19,50
2023-12-20,51
2023-12-21,54
2023-12-22,63
2023-12-23,75
2023-12-24,80
2023-12-25,100
2023-12-26,82
2023-12-27,69
2023-12-28,68
2023-12-29,66
2023-12-30,79
2023-12-31,77
2024-01-01,86
2024-01-02,57
2024-01-03,53
2024-01-04,49
2024-01-05,53
2024-01-06,77
2024-01-07,74
2024-01-08,47
2024-01-09,42
2024-01-10,43
2024-01-11,42
2024-01-12,51
2024-01-13,71
2024-01-14,75
2024-01-15,61
2024-01-16,47
2024-01-17,44
2024-01-18,42
2024-01-19,48
2024-01-20,74
