Time,twitch
2025-12-11,81
2025-12-12,100
2025-12-13,98
2025-12-14,87
2025-12-15,73
2025-12-16,68
2025-12-17,68
2025-12-18,73
2025-12-19,71
2025-12-20,74
2025-12-21,77
2025-12-22,71
2025-12-23,71
2025-12-24,73
2025-12-25,72
2025-12-26,72
2025-12-27,79
2025-12-28,83
2025-12-29,74
2025-12-30,73
2025-12-31,77
2026-01-01,75
2026-01-02,78
2026-01-03,88
2026-01-04,83
2026-01-05,73
2026-01-06,75
2026-01-07,75
2026-01-08,69
2026-01-09,75
2026-01-10,86
2026-01-11,92
2026-01-12,64
2026-01-13,73
2026-01-14,66
2026-01-15,70
2026-01-16,79
2026-01-17,85
2026-01-18,90
2026-01-19,85
2026-01-20,77
2026-01-21,82
2026-01-22,78
2026-01-23,81
2026-01-24,90
2026-01-25,96
2026-01-26,85
2026-01-27,80
2026-01-28,74
2026-01-29,82
2026-01-30,82
2026-01-31,91
2026-02-01,94
2026-02-02,68
2026-02-03,71
2026-02-04,69
2026-02-05,72
2026-02-06,74
2026-02-07,83
2026-02-08,84
2026-02-09,60
2026-02-10,63
2026-02-11,68
2026-02-12,67
2026-02-13,88
2026-02-14,93
2026-02-15,88
2026-02-16,76
2026-02-17,67
2026-02-18,69
2026-02-19,75
2026-02-20,72
2026-02-21,83
2026-02-22,87
2026-02-23,76
2026-02-24,70
2026-02-25,69
2026-02-26,76
2026-02-27,83
2026-02-28,84
2026-03-01,88
2026-03-02,71
2026-03-03,75
2026-03-04,70
2026-03-05,75
2026-03-06,71
2026-03-07,88
2026-03-08,77
2026-03-09,71
2026-03-10,67
2026-03-11,70
2026-03-12,68
2026-03-13,69
2026-03-14,87
2026-03-15,87
2026-03-16,71
2026-03-17,76
2026-03-18,70
2026-03-19,77
2026-03-20,72
2026-03-21,85
2026-03-22,79
2026-03-23,70
2026-03-24,74
2026-03-25,70
2026-03-26,71
2026-03-27,74
2026-03-28,82
2026-03-29,84
2026-03-30,66
2026-03-31,69
2026-04-01,69
2026-04-02,72
2026-04-03,74
2026-04-04,82
2026-04-05,88
2026-04-06,75
2026-04-07,73
2026-04-08,71
2026-04-09,71
2026-04-10,72
2026-04-11,83
2026-04-12,80
2026-04-13,61
2026-04-14,63
2026-04-15,65
2026-04-16,71
2026-04-17,84
2026-04-18,84
2026-04-19,76
2026-04-20,64
2026-04-21,70
2026-04-22,60
2026-04-23,63
2026-04-24,67
2026-04-25,76
2026-04-26,82
2026-04-27,69
2026-04-28,62
2026-04-29,60
2026-04-30,65
2026-05-01,57
2026-05-02,69
2026-05-03,74
2026-05-04,58
2026-05-05,62
2026-05-06,58
2026-05-07,63
2026-05-08,65
2026-05-09,64
2026-05-10,71
2026-05-11,64
2026-05-12,66
2026-05-13,67
2026-05-14,67
2026-05-15,72
2026-05-16,77
2026-05-17,71
2026-05-18,60
2026-05-19,64
2026-05-20,68
2026-05-21,74
2026-05-22,87
2026-05-23,84
2026-05-24,87
2026-05-25,83
2026-05-26,78
2026-05-27,76
2026-05-28,78
2026-05-29,82
2026-05-30,98
2026-05-31,91
