Time,twitch
2023-04-26,51
2023-04-27,48
2023-04-28,53
2023-04-29,60
2023-04-30,65
2023-05-01,52
2023-05-02,52
2023-05-03,58
2023-05-04,55
2023-05-05,49
2023-05-06,54
2023-05-07,56
2023-05-08,47
2023-05-09,54
2023-05-10,53
2023-05-11,53
2023-05-12,52
2023-05-13,59
2023-05-14,55
2023-05-15,48
2023-05-16,57
2023-05-17,59
2023-05-18,56
2023-05-19,55
2023-05-20,62
2023-05-21,59
2023-05-22,47
2023-05-23,50
2023-05-24,53
2023-05-25,56
2023-05-26,54
2023-05-27,54
2023-05-28,58
2023-05-29,57
2023-05-30,54
2023-05-31,53
2023-06-01,66
2023-06-02,59
2023-06-03,61
2023-06-04,62
2023-06-05,58
2023-06-06,74
2023-06-07,82
2023-06-08,71
2023-06-09,65
2023-06-10,68
2023-06-11,67
2023-06-12,64
2023-06-13,66
2023-06-14,71
2023-06-15,64
2023-06-16,64
2023-06-17,76
2023-06-18,66
2023-06-19,64
2023-06-20,64
2023-06-21,63
2023-06-22,62
2023-06-23,65
2023-06-24,69
2023-06-25,69
2023-06-26,60
2023-06-27,64
2023-06-28,61
2023-06-29,61
2023-06-30,66
2023-07-01,75
2023-07-02,63
2023-07-03,60
2023-07-04,74
2023-07-05,62
2023-07-06,63
2023-07-07,65
2023-07-08,65
2023-07-09,62
2023-07-10,55
2023-07-11,61
2023-07-12,57
2023-07-13,63
2023-07-14,61
2023-07-15,66
2023-07-16,60
2023-07-17,63
2023-07-18,59
2023-07-19,61
2023-07-20,60
2023-07-21,59
2023-07-22,59
2023-07-23,63
2023-07-24,57
2023-07-25,60
2023-07-26,56
2023-07-27,60
2023-07-28,63
2023-07-29,58
2023-07-30,56
2023-07-31,52
2023-08-01,56
2023-08-02,54
2023-08-03,61
2023-08-04,81
2023-08-05,88
2023-08-06,74
2023-08-07,64
2023-08-08,60
2023-08-09,60
2023-08-10,60
2023-08-11,63
2023-08-12,68
2023-08-13,65
2023-08-14,62
2023-08-15,54
2023-08-16,53
2023-08-17,53
2023-08-18,53
2023-08-19,59
2023-08-20,55
2023-08-21,48
2023-08-22,60
2023-08-23,57
2023-08-24,53
2023-08-25,51
2023-08-26,65
2023-08-27,60
2023-08-28,49
2023-08-29,51
2023-08-30,52
2023-08-31,50
2023-09-01,56
2023-09-02,57
2023-09-03,50
2023-09-04,56
2023-09-05,49
2023-09-06,47
2023-09-07,50
2023-09-08,46
2023-09-09,53
2023-09-10,49
2023-09-11,44
2023-09-12,46
2023-09-13,44
2023-09-14,49
2023-09-15,56
2023-09-16,55
2023-09-17,50
2023-09-18,42
2023-09-19,44
2023-09-20,45
2023-09-21,47
2023-09-22,51
2023-09-23,56
2023-09-24,53
2023-09-25,46
2023-09-26,45
2023-09-27,46
2023-09-28,46
2023-09-29,53
2023-09-30,54
2023-10-01,54
2023-10-02,42
2023-10-03,46
2023-10-04,43
2023-10-05,42
2023-10-06,49
2023-10-07,49
2023-10-08,46
2023-10-09,43
2023-10-10,44
2023-10-11,44
2023-10-12,46
2023-10-13,51
2023-10-14,57
2023-10-15,57
2023-10-16,41
2023-10-17,48
2023-10-18,47
2023-10-19,53
2023-10-20,57
2023-10-21,57
2023-10-22,61
2023-10-23,48
2023-10-24,45
2023-10-25,44
2023-10-26,48
2023-10-27,51
2023-10-28,66
2023-10-29,58
2023-10-30,52
2023-10-31,54
2023-11-01,45
2023-11-02,46
2023-11-03,66
2023-11-04,55
2023-11-05,55
2023-11-06,43
2023-11-07,49
2023-11-08,43
2023-11-09,46
2023-11-10,47
2023-11-11,56
2023-11-12,57
2023-11-13,49
2023-11-14,46
2023-11-15,51
2023-11-16,50
2023-11-17,50
2023-11-18,54
2023-11-19,59
2023-11-20,51
2023-11-21,51
2023-11-22,50
2023-11-23,49
2023-11-24,46
2023-11-25,49
2023-11-26,52
2023-11-27,44
2023-11-28,45
2023-11-29,48
2023-11-30,50
2023-12-01,51
2023-12-02,73
2023-12-03,63
2023-12-04,50
2023-12-05,47
2023-12-06,62
2023-12-07,59
2023-12-08,64
2023-12-09,65
2023-12-10,69
2023-12-11,66
2023-12-12,65
2023-12-13,65
2023-12-14,100
2023-12-15,92
2023-12-16,90
2023-12-17,72
2023-12-18,57
2023-12-19,59
2023-12-20,64
2023-12-21,63
2023-12-22,68
2023-12-23,64
2023-12-24,53
2023-12-25,51
2023-12-26,46
2023-12-27,62
2023-12-28,62
2023-12-29,70
2023-12-30,65
2023-12-31,64
2024-01-01,64
2024-01-02,63
2024-01-03,62
2024-01-04,62
2024-01-05,67
2024-01-06,69
2024-01-07,69
2024-01-08,60
2024-01-09,58
2024-01-10,65
2024-01-11,61
2024-01-12,61
2024-01-13,66
2024-01-14,74
2024-01-15,64
2024-01-16,66
2024-01-17,66
2024-01-18,62
2024-01-19,66
2024-01-20,73
