Time,spy
2024-08-18,30
2024-08-19,33
2024-08-20,33
2024-08-21,33
2024-08-22,33
2024-08-23,34
2024-08-24,28
2024-08-25,30
2024-08-26,29
2024-08-27,30
2024-08-28,31
2024-08-29,30
2024-08-30,30
2024-08-31,26
2024-09-01,27
2024-09-02,34
2024-09-03,38
2024-09-04,35
2024-09-05,32
2024-09-06,34
2024-09-07,26
2024-09-08,26
2024-09-09,32
2024-09-10,29
2024-09-11,29
2024-09-12,31
2024-09-13,30
2024-09-14,25
2024-09-15,23
2024-09-16,28
2024-09-17,30
2024-09-18,36
2024-09-19,36
2024-09-20,33
2024-09-21,26
2024-09-22,25
2024-09-23,35
2024-09-24,28
2024-09-25,31
2024-09-26,29
2024-09-27,29
2024-09-28,25
2024-09-29,25
2024-09-30,29
2024-10-01,30
2024-10-02,29
2024-10-03,29
2024-10-04,30
2024-10-05,25
2024-10-06,24
2024-10-07,29
2024-10-08,29
2024-10-09,30
2024-10-10,28
2024-10-11,28
2024-10-12,25
2024-10-13,25
2024-10-14,32
2024-10-15,28
2024-10-16,29
2024-10-17,28
2024-10-18,28
2024-10-19,24
2024-10-20,24
2024-10-21,29
2024-10-22,31
2024-10-23,30
2024-10-24,29
2024-10-25,32
2024-10-26,23
2024-10-27,24
2024-10-28,27
2024-10-29,28
2024-10-30,29
2024-10-31,30
2024-11-01,34
2024-11-02,24
2024-11-03,24
2024-11-04,28
2024-11-05,26
2024-11-06,29
2024-11-07,33
2024-11-08,32
2024-11-09,25
2024-11-10,25
2024-11-11,32
2024-11-12,31
2024-11-13,31
2024-11-14,33
2024-11-15,31
2024-11-16,22
2024-11-17,25
2024-11-18,30
2024-11-19,28
2024-11-20,30
2024-11-21,30
2024-11-22,31
2024-11-23,26
2024-11-24,24
2024-11-25,31
2024-11-26,32
2024-11-27,30
2024-11-28,24
2024-11-29,31
2024-11-30,26
2024-12-01,26
2024-12-02,31
2024-12-03,29
2024-12-04,29
2024-12-05,30
2024-12-06,29
2024-12-07,26
2024-12-08,24
2024-12-09,29
2024-12-10,28
2024-12-11,29
2024-12-12,30
2024-12-13,28
2024-12-14,26
2024-12-15,26
2024-12-16,31
2024-12-17,30
2024-12-18,38
2024-12-19,40
2024-12-20,35
2024-12-21,32
2024-12-22,26
2024-12-23,34
2024-12-24,31
2024-12-25,26
2024-12-26,35
2024-12-27,34
2024-12-28,28
2024-12-29,26
2024-12-30,35
2024-12-31,34
2025-01-01,28
2025-01-02,35
2025-01-03,33
2025-01-04,28
2025-01-05,26
2025-01-06,32
2025-01-07,36
2025-01-08,33
2025-01-09,25
2025-01-10,34
2025-01-11,27
2025-01-12,32
2025-01-13,36
2025-01-14,35
2025-01-15,33
2025-01-16,31
2025-01-17,32
2025-01-18,27
2025-01-19,26
2025-01-20,32
2025-01-21,38
2025-01-22,36
2025-01-23,36
2025-01-24,30
2025-01-25,27
2025-01-26,26
2025-01-27,37
2025-01-28,35
2025-01-29,34
2025-01-30,29
2025-01-31,33
2025-02-01,27
2025-02-02,29
2025-02-03,44
2025-02-04,31
2025-02-05,31
2025-02-06,29
2025-02-07,33
2025-02-08,25
2025-02-09,25
2025-02-10,29
2025-02-11,28
2025-02-12,33
2025-02-13,30
2025-02-14,31
2025-02-15,26
2025-02-16,26
2025-02-17,26
2025-02-18,32
2025-02-19,31
2025-02-20,30
2025-02-21,34
2025-02-22,28
2025-02-23,27
2025-02-24,34
2025-02-25,34
2025-02-26,75
2025-02-27,65
2025-02-28,44
2025-03-01,30
2025-03-02,28
2025-03-03,37
2025-03-04,51
2025-03-05,39
2025-03-06,44
2025-03-07,41
2025-03-08,27
2025-03-09,27
2025-03-10,54
2025-03-11,54
2025-03-12,43
2025-03-13,43
2025-03-14,38
2025-03-15,27
2025-03-16,26
2025-03-17,36
2025-03-18,34
2025-03-19,39
2025-03-20,34
2025-03-21,31
2025-03-22,25
2025-03-23,26
2025-03-24,33
2025-03-25,32
2025-03-26,33
2025-03-27,33
2025-03-28,36
2025-03-29,27
2025-03-30,27
2025-03-31,38
2025-04-01,35
2025-04-02,52
2025-04-03,79
2025-04-04,82
2025-04-05,35
2025-04-06,37
2025-04-07,100
2025-04-08,73
2025-04-09,99
2025-04-10,75
2025-04-11,59
2025-04-12,29
2025-04-13,28
2025-04-14,47
2025-04-15,38
2025-04-16,45
2025-04-17,41
2025-04-18,28
2025-04-19,23
2025-04-20,23
2025-04-21,49
2025-04-22,46
2025-04-23,45
2025-04-24,38
2025-04-25,34
2025-04-26,25
2025-04-27,25
2025-04-28,38
2025-04-29,35
2025-04-30,39
2025-05-01,38
2025-05-02,38
2025-05-03,26
2025-05-04,27
2025-05-05,38
2025-05-06,35
2025-05-07,37
2025-05-08,38
2025-05-09,39
2025-05-10,25
2025-05-11,28
2025-05-12,46
2025-05-13,41
2025-05-14,36
