Time,spy
2025-12-11,70
2025-12-12,71
2025-12-13,62
2025-12-14,58
2025-12-15,70
2025-12-16,73
2025-12-17,74
2025-12-18,79
2025-12-19,71
2025-12-20,58
2025-12-21,59
2025-12-22,76
2025-12-23,68
2025-12-24,71
2025-12-25,56
2025-12-26,74
2025-12-27,78
2025-12-28,66
2025-12-29,74
2025-12-30,73
2025-12-31,77
2026-01-01,61
2026-01-02,72
2026-01-03,66
2026-01-04,67
2026-01-05,78
2026-01-06,73
2026-01-07,75
2026-01-08,71
2026-01-09,74
2026-01-10,61
2026-01-11,65
2026-01-12,73
2026-01-13,71
2026-01-14,72
2026-01-15,67
2026-01-16,63
2026-01-17,57
2026-01-18,59
2026-01-19,65
2026-01-20,85
2026-01-21,85
2026-01-22,74
2026-01-23,67
2026-01-24,60
2026-01-25,65
2026-01-26,71
2026-01-27,70
2026-01-28,74
2026-01-29,78
2026-01-30,78
2026-01-31,65
2026-02-01,69
2026-02-02,81
2026-02-03,78
2026-02-04,76
2026-02-05,87
2026-02-06,80
2026-02-07,65
2026-02-08,59
2026-02-09,68
2026-02-10,68
2026-02-11,68
2026-02-12,79
2026-02-13,77
2026-02-14,62
2026-02-15,62
2026-02-16,63
2026-02-17,77
2026-02-18,70
2026-02-19,70
2026-02-20,80
2026-02-21,63
2026-02-22,62
2026-02-23,82
2026-02-24,81
2026-02-25,72
2026-02-26,75
2026-02-27,78
2026-02-28,60
2026-03-01,62
2026-03-02,90
2026-03-03,94
2026-03-04,81
2026-03-05,81
2026-03-06,85
2026-03-07,67
2026-03-08,64
2026-03-09,96
2026-03-10,80
2026-03-11,79
2026-03-12,82
2026-03-13,86
2026-03-14,70
2026-03-15,63
2026-03-16,77
2026-03-17,79
2026-03-18,85
2026-03-19,88
2026-03-20,92
2026-03-21,72
2026-03-22,67
2026-03-23,94
2026-03-24,83
2026-03-25,77
2026-03-26,87
2026-03-27,91
2026-03-28,68
2026-03-29,69
2026-03-30,99
2026-03-31,96
2026-04-01,99
2026-04-02,95
2026-04-03,67
2026-04-04,62
2026-04-05,70
2026-04-06,88
2026-04-07,89
2026-04-08,90
2026-04-09,80
2026-04-10,74
2026-04-11,65
2026-04-12,68
2026-04-13,97
2026-04-14,87
2026-04-15,89
2026-04-16,82
2026-04-17,100
2026-04-18,69
2026-04-19,61
2026-04-20,86
2026-04-21,78
2026-04-22,76
2026-04-23,81
2026-04-24,73
2026-04-25,60
2026-04-26,60
2026-04-27,74
2026-04-28,74
2026-04-29,73
2026-04-30,73
2026-05-01,70
2026-05-02,57
2026-05-03,59
2026-05-04,65
2026-05-05,71
2026-05-06,75
2026-05-07,74
2026-05-08,71
2026-05-09,57
2026-05-10,61
2026-05-11,73
2026-05-12,86
2026-05-13,76
2026-05-14,86
2026-05-15,84
2026-05-16,61
2026-05-17,62
2026-05-18,70
2026-05-19,71
2026-05-20,67
2026-05-21,76
2026-05-22,83
2026-05-23,63
2026-05-24,62
2026-05-25,63
2026-05-26,76
2026-05-27,69
2026-05-28,74
2026-05-29,70
2026-05-30,58
2026-05-31,58
