Time,nba schedule
2022-01-01,29
2022-01-02,27
2022-01-03,21
2022-01-04,27
2022-01-05,28
2022-01-06,22
2022-01-07,24
2022-01-08,31
2022-01-09,33
2022-01-10,29
2022-01-11,24
2022-01-12,26
2022-01-13,23
2022-01-14,22
2022-01-15,31
2022-01-16,30
2022-01-17,27
2022-01-18,21
2022-01-19,20
2022-01-20,23
2022-01-21,22
2022-01-22,31
2022-01-23,27
2022-01-24,24
2022-01-25,17
2022-01-26,21
2022-01-27,22
2022-01-28,25
2022-01-29,32
2022-01-30,35
2022-01-31,19
2022-02-01,21
2022-02-02,22
2022-02-03,24
2022-02-04,24
2022-02-05,25
2022-02-06,32
2022-02-07,21
2022-02-08,21
2022-02-09,25
2022-02-10,22
2022-02-11,29
2022-02-12,29
2022-02-13,26
2022-02-14,15
2022-02-15,25
2022-02-16,26
2022-02-17,29
2022-02-18,44
2022-02-19,51
2022-02-20,37
2022-02-21,18
2022-02-22,14
2022-02-23,14
2022-02-24,16
2022-02-25,23
2022-02-26,27
2022-02-27,33
2022-02-28,23
2022-03-01,21
2022-03-02,22
2022-03-03,22
2022-03-04,25
2022-03-05,27
2022-03-06,34
2022-03-07,23
2022-03-08,25
2022-03-09,22
2022-03-10,26
2022-03-11,23
2022-03-12,30
2022-03-13,35
2022-03-14,21
2022-03-15,26
2022-03-16,22
2022-03-17,27
2022-03-18,18
2022-03-19,29
2022-03-20,29
2022-03-21,23
2022-03-22,24
2022-03-23,23
2022-03-24,26
2022-03-25,19
2022-03-26,27
2022-03-27,33
2022-03-28,24
2022-03-29,22
2022-03-30,26
2022-03-31,24
2022-04-01,26
2022-04-02,37
2022-04-03,41
2022-04-04,28
2022-04-05,24
2022-04-06,35
2022-04-07,28
2022-04-08,31
2022-04-09,37
2022-04-10,52
2022-04-11,68
2022-04-12,50
2022-04-13,54
2022-04-14,45
2022-04-15,39
2022-04-16,76
2022-04-17,92
2022-04-18,53
2022-04-19,52
2022-04-20,44
2022-04-21,47
2022-04-22,52
2022-04-23,73
2022-04-24,79
2022-04-25,50
2022-04-26,52
2022-04-27,42
2022-04-28,49
2022-04-29,59
2022-04-30,70
2022-05-01,70
2022-05-02,39
2022-05-03,42
2022-05-04,43
2022-05-05,49
2022-05-06,42
2022-05-07,65
2022-05-08,74
2022-05-09,44
2022-05-10,47
2022-05-11,43
2022-05-12,53
2022-05-13,60
2022-05-14,94
2022-05-15,100
2022-05-16,67
2022-05-17,47
2022-05-18,49
2022-05-19,51
2022-05-20,43
2022-05-21,61
2022-05-22,61
2022-05-23,49
2022-05-24,47
2022-05-25,45
2022-05-26,47
2022-05-27,64
2022-05-28,64
2022-05-29,57
2022-05-30,99
2022-05-31,45
2022-06-01,39
2022-06-02,55
2022-06-03,69
2022-06-04,52
2022-06-05,71
2022-06-06,52
2022-06-07,45
2022-06-08,59
2022-06-09,60
2022-06-10,53
2022-06-11,64
2022-06-12,61
2022-06-13,52
2022-06-14,59
2022-06-15,38
2022-06-16,46
2022-06-17,41
2022-06-18,6
2022-06-19,5
2022-06-20,5
2022-06-21,5
2022-06-22,5
2022-06-23,7
2022-06-24,9
2022-06-25,5
2022-06-26,4
2022-06-27,4
2022-06-28,4
2022-06-29,4
2022-06-30,4
2022-07-01,5
2022-07-02,10
2022-07-03,13
2022-07-04,10
2022-07-05,12
2022-07-06,16
2022-07-07,16
2022-07-08,18
2022-07-09,16
2022-07-10,14
2022-07-11,11
2022-07-12,10
2022-07-13,9
2022-07-14,8
2022-07-15,8
2022-07-16,9
2022-07-17,9
2022-07-18,5
2022-07-19,4
2022-07-20,3
2022-07-21,3
2022-07-22,3
2022-07-23,3
2022-07-24,4
2022-07-25,4
2022-07-26,4
2022-07-27,3
2022-07-28,3
2022-07-29,3
2022-07-30,3
2022-07-31,4
2022-08-01,4
2022-08-02,4
2022-08-03,4
2022-08-04,4
2022-08-05,4
2022-08-06,4
2022-08-07,5
2022-08-08,6
2022-08-09,5
2022-08-10,6
2022-08-11,6
2022-08-12,5
2022-08-13,8
2022-08-14,11
2022-08-15,13
2022-08-16,11
2022-08-17,22
2022-08-18,10
2022-08-19,5
2022-08-20,4
2022-08-21,4
2022-08-22,3
2022-08-23,4
2022-08-24,3
2022-08-25,3
2022-08-26,3
2022-08-27,3
2022-08-28,3
2022-08-29,4
2022-08-30,3
2022-08-31,3
2022-09-01,4
2022-09-02,4
2022-09-03,4
2022-09-04,5
2022-09-05,3
2022-09-06,4
2022-09-07,4
2022-09-08,4
2022-09-09,4
2022-09-10,4
2022-09-11,5
2022-09-12,5
2022-09-13,4
2022-09-14,4
2022-09-15,4
2022-09-16,3
2022-09-17,3
2022-09-18,4
2022-09-19,4
2022-09-20,4
2022-09-21,4
2022-09-22,4
2022-09-23,4
2022-09-24,4
2022-09-25,4
2022-09-26,5
2022-09-27,6
