Time,nba schedule
2023-12-22,36
2023-12-23,46
2023-12-24,41
2023-12-25,60
2023-12-26,37
2023-12-27,37
2023-12-28,31
2023-12-29,38
2023-12-30,38
2023-12-31,35
2024-01-01,37
2024-01-02,28
2024-01-03,29
2024-01-04,34
2024-01-05,27
2024-01-06,39
2024-01-07,33
2024-01-08,29
2024-01-09,27
2024-01-10,28
2024-01-11,32
2024-01-12,29
2024-01-13,36
2024-01-14,36
2024-01-15,32
2024-01-16,27
2024-01-17,28
2024-01-18,30
2024-01-19,27
2024-01-20,37
2024-01-21,29
2024-01-22,24
2024-01-23,28
2024-01-24,30
2024-01-25,26
2024-01-26,27
2024-01-27,35
2024-01-28,30
2024-01-29,17
2024-01-30,26
2024-01-31,26
2024-02-01,23
2024-02-02,23
2024-02-03,29
2024-02-04,36
2024-02-05,21
2024-02-06,24
2024-02-07,23
2024-02-08,23
2024-02-09,24
2024-02-10,29
2024-02-11,28
2024-02-12,16
2024-02-13,27
2024-02-14,25
2024-02-15,31
2024-02-16,50
2024-02-17,85
2024-02-18,62
2024-02-19,21
2024-02-20,13
2024-02-21,13
2024-02-22,15
2024-02-23,25
2024-02-24,38
2024-02-25,30
2024-02-26,21
2024-02-27,20
2024-02-28,22
2024-02-29,22
2024-03-01,25
2024-03-02,29
2024-03-03,33
2024-03-04,22
2024-03-05,22
2024-03-06,22
2024-03-07,23
2024-03-08,23
2024-03-09,28
2024-03-10,40
2024-03-11,22
2024-03-12,22
2024-03-13,22
2024-03-14,21
2024-03-15,21
2024-03-16,25
2024-03-17,33
2024-03-18,22
2024-03-19,23
2024-03-20,22
2024-03-21,22
2024-03-22,21
2024-03-23,26
2024-03-24,29
2024-03-25,24
2024-03-26,24
2024-03-27,26
2024-03-28,27
2024-03-29,23
2024-03-30,31
2024-03-31,31
2024-04-01,28
2024-04-02,24
2024-04-03,29
2024-04-04,29
2024-04-05,28
2024-04-06,36
2024-04-07,35
2024-04-08,30
2024-04-09,26
2024-04-10,42
2024-04-11,37
2024-04-12,39
2024-04-13,60
2024-04-14,86
2024-04-15,87
2024-04-16,74
2024-04-17,77
2024-04-18,63
2024-04-19,50
2024-04-20,100
2024-04-21,89
2024-04-22,55
2024-04-23,57
2024-04-24,57
2024-04-25,49
2024-04-26,50
2024-04-27,76
2024-04-28,91
2024-04-29,60
2024-04-30,64
2024-05-01,53
2024-05-02,58
2024-05-03,66
2024-05-04,75
2024-05-05,88
2024-05-06,46
2024-05-07,55
2024-05-08,55
2024-05-09,55
2024-05-10,51
2024-05-11,70
2024-05-12,77
2024-05-13,50
2024-05-14,53
2024-05-15,58
2024-05-16,69
2024-05-17,67
2024-05-18,81
2024-05-19,93
2024-05-20,70
2024-05-21,47
2024-05-22,50
2024-05-23,47
2024-05-24,44
2024-05-25,56
2024-05-26,65
2024-05-27,66
2024-05-28,70
2024-05-29,55
2024-05-30,38
2024-05-31,83
2024-06-01,45
2024-06-02,44
2024-06-03,38
2024-06-04,36
2024-06-05,38
2024-06-06,64
2024-06-07,78
2024-06-08,57
2024-06-09,70
2024-06-10,57
2024-06-11,45
2024-06-12,51
2024-06-13,48
2024-06-14,36
2024-06-15,63
2024-06-16,47
2024-06-17,41
2024-06-18,34
2024-06-19,7
2024-06-20,6
2024-06-21,5
2024-06-22,5
2024-06-23,5
2024-06-24,5
2024-06-25,6
2024-06-26,9
2024-06-27,17
2024-06-28,10
2024-06-29,6
2024-06-30,6
2024-07-01,7
2024-07-02,8
2024-07-03,9
2024-07-04,6
2024-07-05,9
2024-07-06,27
2024-07-07,23
2024-07-08,14
2024-07-09,14
2024-07-10,14
2024-07-11,15
2024-07-12,18
2024-07-13,19
2024-07-14,17
2024-07-15,13
2024-07-16,13
2024-07-17,13
2024-07-18,13
2024-07-19,14
2024-07-20,13
2024-07-21,12
2024-07-22,10
2024-07-23,7
2024-07-24,6
2024-07-25,6
2024-07-26,7
2024-07-27,9
2024-07-28,12
2024-07-29,7
2024-07-30,7
2024-07-31,8
2024-08-01,6
2024-08-02,7
2024-08-03,8
2024-08-04,7
2024-08-05,8
2024-08-06,7
2024-08-07,7
2024-08-08,9
2024-08-09,11
2024-08-10,13
2024-08-11,10
2024-08-12,14
2024-08-13,15
2024-08-14,13
2024-08-15,26
2024-08-16,11
2024-08-17,7
2024-08-18,5
2024-08-19,5
2024-08-20,4
2024-08-21,4
2024-08-22,4
2024-08-23,3
2024-08-24,4
2024-08-25,4
2024-08-26,5
2024-08-27,4
2024-08-28,4
2024-08-29,3
2024-08-30,4
2024-08-31,4
2024-09-01,5
2024-09-02,5
2024-09-03,5
2024-09-04,4
2024-09-05,4
2024-09-06,4
2024-09-07,4
2024-09-08,4
2024-09-09,4
2024-09-10,4
2024-09-11,4
2024-09-12,4
2024-09-13,3
2024-09-14,4
2024-09-15,4
2024-09-16,4
