Time,wordle_hint
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,1.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,2.0
2022-01-21,2.0
2022-01-22,3.0
2022-01-23,2.0
2022-01-24,7.0
2022-01-25,5.0
2022-01-26,4.0
2022-01-27,3.0
2022-01-28,5.0
2022-01-29,4.0
2022-01-30,4.0
2022-01-31,4.0
2022-02-01,4.0
2022-02-02,4.0
2022-02-03,4.0
2022-02-04,5.0
2022-02-05,7.0
2022-02-06,6.0
2022-02-07,11.0
2022-02-08,10.0
2022-02-09,10.0
2022-02-10,8.0
2022-02-11,12.0
2022-02-12,20.0
2022-02-13,15.0
2022-02-14,25.0
2022-02-15,20.0
2022-02-16,17.0
2022-02-17,11.0
2022-02-18,23.0
2022-02-19,23.0
2022-02-20,32.0
2022-02-21,23.0
2022-02-22,13.0
2022-02-23,15.0
2022-02-24,16.0
2022-02-25,38.0
2022-02-26,19.0
2022-02-27,16.0
2022-02-28,14.0
2022-03-01,29.0
2022-03-02,21.0
2022-03-03,18.0
2022-03-04,36.0
2022-03-05,24.0
2022-03-06,21.0
2022-03-07,17.0
2022-03-08,16.0
2022-03-09,20.0
2022-03-10,19.0
2022-03-11,26.0
2022-03-12,26.0
2022-03-13,32.0
2022-03-14,22.0
2022-03-15,19.0
2022-03-16,19.0
2022-03-17,30.0
2022-03-18,23.0
2022-03-19,37.0
2022-03-20,36.0
2022-03-21,22.0
2022-03-22,26.0
2022-03-23,27.0
2022-03-24,18.0
2022-03-25,32.0
2022-03-26,57.0
2022-03-27,69.0
2022-03-28,33.0
2022-03-29,24.0
2022-03-30,21.0
2022-03-31,43.0
2022-04-01,27.0
2022-04-02,18.0
2022-04-03,34.0
2022-04-04,24.0
2022-04-05,41.0
2022-04-06,50.0
2022-04-07,55.0
2022-04-08,24.0
2022-04-09,16.0
2022-04-10,18.0
2022-04-11,53.0
2022-04-12,40.0
2022-04-13,23.0
2022-04-14,29.0
2022-04-15,20.0
2022-04-16,22.0
2022-04-17,25.0
2022-04-18,24.0
2022-04-19,42.0
2022-04-20,35.0
2022-04-21,62.0
2022-04-22,28.0
2022-04-23,35.0
2022-04-24,44.0
2022-04-25,55.0
2022-04-26,37.0
2022-04-27,21.0
2022-04-28,37.0
2022-04-29,19.0
2022-04-30,54.0
2022-05-01,67.0
2022-05-02,26.0
2022-05-03,23.0
2022-05-04,14.0
2022-05-05,28.0
2022-05-06,48.0
2022-05-07,51.0
2022-05-08,52.0
2022-05-09,25.0
2022-05-10,51.0
2022-05-11,45.0
2022-05-12,32.0
2022-05-13,27.0
2022-05-14,22.0
2022-05-15,39.0
2022-05-16,60.0
2022-05-17,46.0
2022-05-18,29.0
2022-05-19,28.0
2022-05-20,30.0
2022-05-21,27.0
2022-05-22,22.0
2022-05-23,32.0
2022-05-24,49.0
2022-05-25,38.0
2022-05-26,37.0
2022-05-27,37.0
2022-05-28,29.0
2022-05-29,67.0
2022-05-30,64.0
2022-05-31,36.0
2022-06-01,22.0
2022-06-02,24.0
2022-06-03,17.0
2022-06-04,21.0
2022-06-05,36.0
2022-06-06,33.0
2022-06-07,27.0
2022-06-08,25.0
2022-06-09,25.0
2022-06-10,45.0
2022-06-11,42.0
2022-06-12,28.0
2022-06-13,32.0
2022-06-14,30.0
2022-06-15,32.0
2022-06-16,33.0
2022-06-17,24.0
2022-06-18,78.0
2022-06-19,38.0
2022-06-20,44.0
2022-06-21,28.0
2022-06-22,56.0
2022-06-23,28.0
2022-06-24,20.0
2022-06-25,29.0
2022-06-26,20.0
2022-06-27,34.0
2022-06-28,36.0
2022-06-29,61.0
2022-06-30,45.0
2022-07-01,30.0
2022-07-02,50.0
2022-07-03,62.0
2022-07-04,41.0
2022-07-05,29.0
2022-07-06,48.0
2022-07-07,50.0
2022-07-08,43.0
2022-07-09,30.0
2022-07-10,40.0
2022-07-11,62.0
2022-07-12,40.0
2022-07-13,22.0
2022-07-14,28.0
2022-07-15,51.0
2022-07-16,41.0
2022-07-17,37.0
2022-07-18,23.0
2022-07-19,45.0
2022-07-20,42.0
2022-07-21,60.0
2022-07-22,40.0
2022-07-23,54.0
2022-07-24,33.0
2022-07-25,35.0
2022-07-26,44.0
2022-07-27,45.0
2022-07-28,27.0
2022-07-29,38.0
2022-07-30,34.0
2022-07-31,29.0
2022-08-01,48.0
2022-08-02,71.0
2022-08-03,39.0
2022-08-04,49.0
2022-08-05,44.0
2022-08-06,42.0
2022-08-07,34.0
2022-08-08,41.0
2022-08-09,41.0
2022-08-10,27.0
2022-08-11,28.0
2022-08-12,43.0
2022-08-13,50.0
2022-08-14,100.0
2022-08-15,49.0
2022-08-16,44.0
2022-08-17,35.0
2022-08-18,46.0
2022-08-19,38.0
2022-08-20,26.0
2022-08-21,33.0
2022-08-22,34.0
2022-08-23,38.0
2022-08-24,38.0
2022-08-25,27.0
2022-08-26,34.0
2022-08-27,53.0
2022-08-28,63.0
2022-08-29,38.84622762148338
2022-08-30,45.41000639386189
2022-08-31,34.809782608695656
2022-09-01,57.51934143222506
2022-09-02,29.264226342710998
2022-09-03,43.89178388746803
2022-09-04,39.35533887468031
2022-09-05,44.90089514066496
2022-09-06,42.3826726342711
2022-09-07,45.91000639386189
2022-09-08,30.77333759590793
2022-09-09,27.746003836317136
2022-09-10,41.87356138107417
2022-09-11,69.11956521739131
2022-09-12,72.1468989769821
2022-09-13,68.61956521739131
2022-09-14,38.84622762148338
2022-09-15,31.78244884910486
2022-09-16,65.08312020460357
2022-09-17,32.29156010230179
2022-09-18,21.19133631713555
2022-09-19,35.81889386189258
2022-09-20,33.30067135549872
2022-09-21,33.30067135549872
2022-09-22,25.227781329923275
2022-09-23,29.764226342710998
2022-09-24,24.218670076726344
2022-09-25,48.93734015345269
2022-09-26,31.28244884910486
2022-09-27,34.809782608695656
2022-09-28,56.00223785166241
2022-09-29,33.60134271099744
2022-09-30,24.437340153452688
2022-10-01,37.67423273657289
2022-10-02,28.510230179028135
2022-10-03,23.419117647058822
2022-10-04,35.637787723785166
2022-10-05,31.56489769820972
2022-10-06,22.40089514066496
2022-10-07,43.78356777493606
2022-10-08,53.965792838874684
2022-10-09,48.874680306905375
2022-10-10,59.05690537084399
2022-10-11,50.9111253196931
2022-10-12,63.12979539641944
2022-10-13,76.36668797953965
2022-10-14,44.80179028132992
2022-10-15,51.92934782608696
2022-10-16,28.510230179028135
2022-10-17,28.510230179028135
2022-10-18,40.728900255754475
2022-10-19,58.03868286445013
2022-10-20,50.9111253196931
2022-10-21,37.67423273657289
2022-10-22,34.619565217391305
2022-10-23,64.1480179028133
2022-10-24,36.65601023017903
2022-10-25,44.80179028132992
2022-10-26,36.65601023017903
2022-10-27,40.728900255754475
2022-10-28,31.56489769820972
2022-10-29,60.075127877237854
2022-10-30,82.47602301790282
2022-10-31,63.12979539641944
2022-11-01,48.874680306905375
2022-11-02,47.85645780051151
2022-11-03,38.69245524296675
2022-11-04,35.637787723785166
2022-11-05,23.419117647058822
2022-11-06,22.40089514066496
2022-11-07,43.78356777493606
2022-11-08,31.56489769820972
2022-11-09,24.437340153452688
2022-11-10,30.546675191815858
2022-11-11,33.60134271099744
2022-11-12,40.728900255754475
2022-11-13,76.36668797953965
2022-11-14,45.82001278772378
2022-11-15,36.65601023017903
2022-11-16,43.78356777493606
2022-11-17,30.546675191815858
2022-11-18,74.33024296675192
2022-11-19,51.92934782608696
2022-11-20,36.65601023017903
2022-11-21,70.25735294117648
2022-11-22,36.65601023017903
2022-11-23,23.419117647058822
2022-11-24,25.45556265984655
2022-11-25,47.85645780051151
2022-11-26,27.492007672634273
2022-11-27,34.619565217391305
2022-11-28,30.546675191815858
2022-11-29,52.94757033248082
2022-11-30,35.637787723785166
2022-12-01,56.00223785166241
2022-12-02,41.74712276214834
2022-12-03,36.65601023017903
2022-12-04,34.619565217391305
2022-12-05,44.80179028132992
2022-12-06,51.92934782608696
2022-12-07,42.7653452685422
2022-12-08,39.71067774936061
2022-12-09,25.45556265984655
2022-12-10,59.05690537084399
2022-12-11,62.11157289002558
2022-12-12,44.80179028132992
2022-12-13,26.47378516624041
2022-12-14,66.18446291560103
2022-12-15,54.984015345268546
2022-12-16,31.56489769820972
2022-12-17,30.546675191815858
2022-12-18,31.56489769820972
2022-12-19,19.346227621483376
2022-12-20,25.45556265984655
2022-12-21,41.74712276214834
2022-12-22,71.27557544757033
2022-12-23,66.18446291560103
2022-12-24,41.74712276214834
2022-12-25,61.093350383631716
2022-12-26,77.3849104859335
2022-12-27,65.16624040920716
2022-12-28,73.31202046035806
2022-12-29,84.51246803069054
2022-12-30,45.82001278772378
2022-12-31,43.78356777493606
2023-01-01,30.546675191815858
2023-01-02,26.47378516624041
2023-01-03,39.71067774936061
2023-01-04,47.85645780051151
2023-01-05,31.56489769820972
2023-01-06,76.36668797953965
2023-01-07,52.94757033248082
2023-01-08,65.16624040920716
2023-01-09,84.51246803069054
2023-01-10,56.00223785166241
2023-01-11,41.74712276214834
2023-01-12,38.69245524296675
2023-01-13,50.9111253196931
2023-01-14,82.47602301790282
2023-01-15,39.71067774936061
2023-01-16,34.619565217391305
2023-01-17,45.82001278772378
2023-01-18,36.65601023017903
2023-01-19,40.728900255754475
2023-01-20,32.58312020460358
2023-01-21,56.00223785166241
2023-01-22,58.03868286445013
2023-01-23,53.965792838874684
2023-01-24,32.58312020460358
2023-01-25,61.093350383631716
2023-01-26,66.18446291560103
2023-01-27,52.94757033248082
2023-01-28,31.56489769820972
2023-01-29,40.728900255754475
2023-01-30,33.60134271099744
2023-01-31,34.619565217391305
2023-02-01,33.60134271099744
2023-02-02,31.56489769820972
2023-02-03,39.71067774936061
2023-02-04,46.838235294117645
2023-02-05,44.80179028132992
2023-02-06,56.00223785166241
2023-02-07,40.728900255754475
2023-02-08,62.11157289002558
2023-02-09,40.728900255754475
2023-02-10,35.637787723785166
2023-02-11,86.54891304347827
2023-02-12,56.00223785166241
2023-02-13,54.984015345268546
2023-02-14,41.74712276214834
2023-02-15,52.94757033248082
2023-02-16,51.92934782608696
2023-02-17,70.25735294117648
2023-02-18,79.42135549872123
2023-02-19,101.8222506393862
2023-02-20,44.80179028132992
2023-02-21,53.965792838874684
2023-02-22,63.12979539641944
2023-02-23,63.12979539641944
2023-02-24,62.11157289002558
2023-02-25,63.12979539641944
2023-02-26,50.9111253196931
2023-02-27,40.728900255754475
2023-02-28,53.965792838874684
2023-03-01,51.92934782608696
2023-03-02,54.984015345268546
2023-03-03,71.27557544757033
2023-03-04,47.85645780051151
2023-03-05,49.89290281329924
2023-03-06,41.74712276214834
2023-03-07,29.528452685421996
2023-03-08,36.65601023017903
2023-03-09,44.80179028132992
2023-03-10,47.85645780051151
2023-03-11,71.27557544757033
2023-03-12,47.85645780051151
2023-03-13,27.492007672634273
2023-03-14,37.67423273657289
2023-03-15,31.56489769820972
2023-03-16,39.71067774936061
2023-03-17,38.69245524296675
2023-03-18,68.22090792838875
2023-03-19,69.23913043478261
2023-03-20,41.74712276214834
2023-03-21,29.528452685421996
2023-03-22,59.05690537084399
2023-03-23,47.85645780051151
2023-03-24,34.619565217391305
2023-03-25,44.80179028132992
2023-03-26,50.9111253196931
2023-03-27,92.65824808184144
2023-03-28,58.03868286445013
2023-03-29,65.16624040920716
2023-03-30,37.67423273657289
2023-03-31,58.03868286445013
2023-04-01,43.78356777493606
2023-04-02,31.56489769820972
2023-04-03,45.82001278772378
2023-04-04,53.965792838874684
2023-04-05,51.92934782608696
2023-04-06,47.85645780051151
2023-04-07,54.984015345268546
2023-04-08,70.25735294117648
2023-04-09,87.56713554987212
2023-04-10,45.82001278772378
2023-04-11,76.36668797953965
2023-04-12,79.42135549872123
2023-04-13,69.23913043478261
2023-04-14,47.85645780051151
2023-04-15,57.02046035805627
2023-04-16,94.69469309462916
2023-04-17,72.2937979539642
2023-04-18,60.075127877237854
2023-04-19,34.619565217391305
2023-04-20,25.45556265984655
2023-04-21,85.5306905370844
2023-04-22,53.965792838874684
2023-04-23,77.3849104859335
2023-04-24,62.11157289002558
2023-04-25,71.27557544757033
2023-04-26,55.45071474166082
2023-04-27,55.95982599485775
2023-04-28,71.90854284036014
2023-04-29,58.489329964442234
2023-04-30,80.26874777710908
2023-05-01,51.65645878728409
2023-05-02,43.80536510373208
2023-05-03,54.18596275686858
2023-05-04,55.45071474166082
2023-05-05,57.73368923284692
2023-05-06,57.22457797964999
2023-05-07,61.52794518722365
2023-05-08,74.19151733154625
2023-05-09,89.38459344545333
2023-05-10,77.23013255432767
2023-05-11,52.92121077207633
2023-05-12,30.38615222781417
2023-05-13,65.075671663202
2023-05-14,52.92121077207633
2023-05-15,55.95982599485775
2023-05-16,57.22457797964999
2023-05-17,32.915656197398654
2023-05-18,35.95427142018007
2023-05-19,42.54061311893983
2023-05-20,33.42476745059558
2023-05-21,34.68951943538782
2023-05-22,72.926765346754
2023-05-23,58.489329964442234
2023-05-24,51.14734753408716
2023-05-25,52.92121077207633
2023-05-26,36.270755116574975
2023-05-27,51.383569748481214
2023-05-28,52.894851211671835
2023-05-29,43.8271624325281
2023-05-30,69.5189473067687
2023-05-31,49.872288285290594
2023-06-01,101.2558580337718
2023-06-02,71.03022876995932
2023-06-03,92.18816925462806
2023-06-04,43.8271624325281
2023-06-05,113.3461097392968
2023-06-06,55.91741413805309
2023-06-07,57.42869560124371
2023-06-08,36.270755116574975
2023-06-09,77.07535462272182
2023-06-10,77.07535462272182
2023-06-11,66.49638438038745
2023-06-12,36.270755116574975
2023-06-13,33.24819219019373
2023-06-14,31.736910727003103
2023-06-15,75.5640731595312
2023-06-16,43.8271624325281
2023-06-17,46.84972535890934
2023-06-18,89.16560632824681
2023-06-19,151.1281463190624
2023-06-20,49.872288285290594
2023-06-21,31.736910727003103
2023-06-22,45.33844389571872
2023-06-23,52.894851211671835
2023-06-24,33.24819219019373
2023-06-25,45.33844389571872
2023-06-26,48.36100682209997
2023-06-27,46.84972535890934
2023-06-28,40.80459950614684
2023-06-29,36.270755116574975
2023-06-30,34.75947365338435
2023-07-01,43.8271624325281
2023-07-02,58.93997706443433
2023-07-03,43.8271624325281
2023-07-04,55.91741413805309
2023-07-05,69.5189473067687
2023-07-06,45.33844389571872
2023-07-07,36.270755116574975
2023-07-08,66.49638438038745
2023-07-09,52.894851211671835
2023-07-10,58.93997706443433
2023-07-11,37.7820365797656
2023-07-12,42.31588096933747
2023-07-13,46.84972535890934
2023-07-14,48.36100682209997
2023-07-15,48.36100682209997
2023-07-16,81.60919901229369
2023-07-17,40.80459950614684
2023-07-18,55.91741413805309
2023-07-19,40.80459950614684
2023-07-20,34.75947365338435
2023-07-21,40.80459950614684
2023-07-22,71.03022876995932
2023-07-23,39.29331804295622
2023-07-24,58.93997706443433
2023-07-25,45.33844389571872
2023-07-26,27.20306633743123
2023-07-27,58.93997706443433
2023-07-28,75.5640731595312
2023-07-29,43.8271624325281
2023-07-30,52.894851211671835
2023-07-31,37.7820365797656
2023-08-01,46.84972535890934
2023-08-02,77.07535462272182
2023-08-03,39.29331804295622
2023-08-04,27.20306633743123
2023-08-05,63.473821454006206
2023-08-06,86.14304340186557
2023-08-07,51.383569748481214
2023-08-08,40.80459950614684
2023-08-09,42.31588096933747
2023-08-10,60.45125852762496
2023-08-11,52.894851211671835
2023-08-12,54.40613267486246
2023-08-13,40.80459950614684
2023-08-14,46.84972535890934
2023-08-15,64.98510291719683
2023-08-16,48.36100682209997
2023-08-17,74.05279169634058
2023-08-18,55.91741413805309
2023-08-19,96.72201364419993
2023-08-20,60.45125852762496
2023-08-21,33.24819219019373
2023-08-22,33.24819219019373
2023-08-23,87.6543248650562
2023-08-24,43.8271624325281
2023-08-25,55.91741413805309
2023-08-26,43.8271624325281
2023-08-27,52.894851211671835
2023-08-28,28.714347800621855
2023-08-29,37.7820365797656
2023-08-30,69.5189473067687
2023-08-31,34.75947365338435
2023-09-01,25.691784874240607
2023-09-02,71.03022876995932
2023-09-03,93.69945071781868
2023-09-04,64.98510291719683
2023-09-05,43.8271624325281
2023-09-06,81.60919901229369
2023-09-07,80.09791754910307
2023-09-08,46.84972535890934
2023-09-09,34.75947365338435
2023-09-10,58.93997706443433
2023-09-11,51.383569748481214
2023-09-12,42.31588096933747
2023-09-13,30.22562926381248
2023-09-14,51.383569748481214
2023-09-15,71.03022876995932
2023-09-16,66.49638438038745
2023-09-17,55.91741413805309
2023-09-18,43.8271624325281
2023-09-19,27.20306633743123
2023-09-20,37.7820365797656
2023-09-21,28.714347800621855
2023-09-22,28.714347800621855
2023-09-23,45.33844389571872
2023-09-24,45.33844389571872
2023-09-25,39.29331804295622
2023-09-26,69.5189473067687
2023-09-27,34.75947365338435
2023-09-28,45.33844389571872
2023-09-29,69.5189473067687
2023-09-30,84.63176193867494
2023-10-01,64.98510291719683
2023-10-02,54.40613267486246
2023-10-03,37.7820365797656
2023-10-04,33.24819219019373
2023-10-05,46.84972535890934
2023-10-06,31.736910727003103
2023-10-07,89.16560632824681
2023-10-08,66.49638438038745
2023-10-09,52.894851211671835
2023-10-10,34.75947365338435
2023-10-11,39.29331804295622
2023-10-12,81.60919901229369
2023-10-13,66.49638438038745
2023-10-14,68.00766584357808
2023-10-15,51.383569748481214
2023-10-16,54.40613267486246
2023-10-17,60.45125852762496
2023-10-18,57.42869560124371
2023-10-19,60.45125852762496
2023-10-20,78.58663608591245
