Time,president
2022-01-01,19.0
2022-01-02,19.0
2022-01-03,19.0
2022-01-04,25.0
2022-01-05,28.0
2022-01-06,31.0
2022-01-07,31.0
2022-01-08,24.0
2022-01-09,20.0
2022-01-10,25.0
2022-01-11,31.0
2022-01-12,31.0
2022-01-13,37.0
2022-01-14,26.0
2022-01-15,20.0
2022-01-16,30.0
2022-01-17,23.0
2022-01-18,28.0
2022-01-19,31.0
2022-01-20,34.0
2022-01-21,35.0
2022-01-22,23.0
2022-01-23,25.0
2022-01-24,38.0
2022-01-25,32.0
2022-01-26,31.0
2022-01-27,33.0
2022-01-28,34.0
2022-01-29,23.0
2022-01-30,24.0
2022-01-31,29.0
2022-02-01,30.0
2022-02-02,31.0
2022-02-03,32.0
2022-02-04,29.0
2022-02-05,25.0
2022-02-06,24.0
2022-02-07,33.0
2022-02-08,33.0
2022-02-09,33.0
2022-02-10,29.0
2022-02-11,34.0
2022-02-12,27.0
2022-02-13,25.0
2022-02-14,32.0
2022-02-15,38.0
2022-02-16,39.0
2022-02-17,38.0
2022-02-18,39.0
2022-02-19,35.0
2022-02-20,36.0
2022-02-21,58.0
2022-02-22,50.0
2022-02-23,43.0
2022-02-24,92.0
2022-02-25,91.0
2022-02-26,100.0
2022-02-27,93.0
2022-02-28,82.0
2022-03-01,78.0
2022-03-02,92.0
2022-03-03,59.0
2022-03-04,58.0
2022-03-05,44.0
2022-03-06,44.0
2022-03-07,49.0
2022-03-08,51.0
2022-03-09,48.0
2022-03-10,46.0
2022-03-11,43.0
2022-03-12,35.0
2022-03-13,37.0
2022-03-14,38.0
2022-03-15,39.0
2022-03-16,48.0
2022-03-17,40.0
2022-03-18,37.0
2022-03-19,29.0
2022-03-20,31.0
2022-03-21,34.0
2022-03-22,35.0
2022-03-23,34.0
2022-03-24,41.0
2022-03-25,47.0
2022-03-26,31.0
2022-03-27,31.0
2022-03-28,48.0
2022-03-29,50.0
2022-03-30,35.0
2022-03-31,48.0
2022-04-01,46.0
2022-04-02,32.0
2022-04-03,33.0
2022-04-04,49.0
2022-04-05,49.0
2022-04-06,51.0
2022-04-07,48.0
2022-04-08,44.0
2022-04-09,28.0
2022-04-10,30.0
2022-04-11,40.0
2022-04-12,42.0
2022-04-13,41.0
2022-04-14,44.0
2022-04-15,33.0
2022-04-16,27.0
2022-04-17,28.0
2022-04-18,42.0
2022-04-19,45.0
2022-04-20,44.0
2022-04-21,46.0
2022-04-22,44.0
2022-04-23,29.0
2022-04-24,34.0
2022-04-25,47.0
2022-04-26,48.0
2022-04-27,48.0
2022-04-28,49.0
2022-04-29,42.0
2022-04-30,27.0
2022-05-01,29.0
2022-05-02,51.0
2022-05-03,49.0
2022-05-04,47.0
