Time,microsoft
2025-12-11,63
2025-12-12,59
2025-12-13,41
2025-12-14,37
2025-12-15,59
2025-12-16,57
2025-12-17,59
2025-12-18,57
2025-12-19,50
2025-12-20,35
2025-12-21,32
2025-12-22,51
2025-12-23,46
2025-12-24,37
2025-12-25,38
2025-12-26,43
2025-12-27,35
2025-12-28,33
2025-12-29,46
2025-12-30,46
2025-12-31,39
2026-01-01,30
2026-01-02,43
2026-01-03,35
2026-01-04,33
2026-01-05,58
2026-01-06,62
2026-01-07,61
2026-01-08,61
2026-01-09,55
2026-01-10,38
2026-01-11,36
2026-01-12,59
2026-01-13,63
2026-01-14,66
2026-01-15,61
2026-01-16,59
2026-01-17,38
2026-01-18,38
2026-01-19,51
2026-01-20,64
2026-01-21,70
2026-01-22,100
2026-01-23,82
2026-01-24,45
2026-01-25,42
2026-01-26,68
2026-01-27,70
2026-01-28,73
2026-01-29,87
2026-01-30,74
2026-01-31,46
2026-02-01,49
2026-02-02,71
2026-02-03,67
2026-02-04,77
2026-02-05,80
2026-02-06,72
2026-02-07,47
2026-02-08,51
2026-02-09,69
2026-02-10,71
2026-02-11,66
2026-02-12,65
2026-02-13,61
2026-02-14,43
2026-02-15,45
2026-02-16,62
2026-02-17,69
2026-02-18,68
2026-02-19,67
2026-02-20,63
2026-02-21,48
2026-02-22,43
2026-02-23,72
2026-02-24,72
2026-02-25,66
2026-02-26,74
2026-02-27,70
2026-02-28,39
2026-03-01,38
2026-03-02,73
2026-03-03,80
2026-03-04,72
2026-03-05,73
2026-03-06,67
2026-03-07,43
2026-03-08,43
2026-03-09,68
2026-03-10,75
2026-03-11,71
2026-03-12,69
2026-03-13,65
2026-03-14,46
2026-03-15,47
2026-03-16,70
2026-03-17,79
2026-03-18,77
2026-03-19,80
2026-03-20,74
2026-03-21,49
2026-03-22,49
2026-03-23,74
2026-03-24,73
2026-03-25,85
2026-03-26,75
2026-03-27,82
2026-03-28,65
2026-03-29,71
2026-03-30,84
2026-03-31,80
2026-04-01,88
2026-04-02,76
2026-04-03,67
2026-04-04,49
2026-04-05,47
2026-04-06,76
2026-04-07,80
2026-04-08,89
2026-04-09,86
2026-04-10,77
2026-04-11,49
2026-04-12,47
2026-04-13,73
2026-04-14,82
2026-04-15,77
2026-04-16,80
2026-04-17,82
2026-04-18,53
2026-04-19,51
2026-04-20,72
2026-04-21,77
2026-04-22,83
2026-04-23,79
2026-04-24,70
2026-04-25,53
2026-04-26,57
2026-04-27,81
2026-04-28,73
2026-04-29,78
2026-04-30,76
2026-05-01,66
2026-05-02,51
2026-05-03,49
2026-05-04,64
2026-05-05,73
2026-05-06,73
2026-05-07,73
2026-05-08,68
2026-05-09,45
2026-05-10,45
2026-05-11,69
2026-05-12,75
2026-05-13,78
2026-05-14,83
2026-05-15,71
2026-05-16,66
2026-05-17,66
2026-05-18,84
2026-05-19,86
2026-05-20,86
2026-05-21,78
2026-05-22,75
2026-05-23,62
2026-05-24,57
2026-05-25,60
2026-05-26,82
2026-05-27,88
2026-05-28,90
2026-05-29,79
2026-05-30,63
2026-05-31,75
