Time,fidelity
2022-01-01,39
2022-01-02,34
2022-01-03,80
2022-01-04,100
2022-01-05,86
2022-01-06,55
2022-01-07,66
2022-01-08,38
2022-01-09,29
2022-01-10,59
2022-01-11,70
2022-01-12,65
2022-01-13,71
2022-01-14,56
2022-01-15,37
2022-01-16,27
2022-01-17,34
2022-01-18,60
2022-01-19,65
2022-01-20,63
2022-01-21,68
2022-01-22,38
2022-01-23,29
2022-01-24,88
2022-01-25,73
2022-01-26,65
2022-01-27,65
2022-01-28,73
2022-01-29,42
2022-01-30,32
2022-01-31,72
2022-02-01,77
2022-02-02,78
2022-02-03,71
2022-02-04,72
2022-02-05,39
2022-02-06,33
2022-02-07,65
2022-02-08,68
2022-02-09,67
2022-02-10,60
2022-02-11,65
2022-02-12,37
2022-02-13,28
2022-02-14,54
2022-02-15,70
2022-02-16,70
2022-02-17,64
2022-02-18,63
2022-02-19,35
2022-02-20,30
2022-02-21,42
2022-02-22,64
2022-02-23,65
2022-02-24,72
2022-02-25,70
2022-02-26,45
2022-02-27,32
2022-02-28,65
2022-03-01,70
2022-03-02,67
2022-03-03,66
2022-03-04,64
2022-03-05,37
2022-03-06,31
2022-03-07,68
2022-03-08,70
2022-03-09,70
2022-03-10,67
2022-03-11,60
2022-03-12,38
2022-03-13,29
2022-03-14,61
2022-03-15,69
2022-03-16,72
2022-03-17,66
2022-03-18,67
2022-03-19,41
2022-03-20,31
2022-03-21,61
2022-03-22,75
2022-03-23,69
2022-03-24,69
2022-03-25,67
2022-03-26,41
2022-03-27,33
2022-03-28,60
2022-03-29,72
2022-03-30,70
2022-03-31,64
2022-04-01,70
2022-04-02,45
2022-04-03,36
2022-04-04,71
2022-04-05,68
2022-04-06,66
2022-04-07,62
2022-04-08,62
2022-04-09,43
2022-04-10,34
2022-04-11,67
2022-04-12,66
2022-04-13,64
2022-04-14,68
2022-04-15,55
2022-04-16,35
2022-04-17,29
2022-04-18,69
2022-04-19,63
2022-04-20,62
2022-04-21,57
2022-04-22,54
2022-04-23,30
2022-04-24,24
2022-04-25,55
2022-04-26,59
2022-04-27,56
2022-04-28,56
2022-04-29,54
2022-04-30,31
2022-05-01,25
2022-05-02,56
2022-05-03,54
2022-05-04,55
2022-05-05,58
2022-05-06,54
2022-05-07,28
2022-05-08,23
2022-05-09,52
2022-05-10,54
2022-05-11,53
2022-05-12,55
2022-05-13,53
2022-05-14,30
2022-05-15,24
2022-05-16,49
2022-05-17,55
2022-05-18,54
2022-05-19,54
2022-05-20,55
2022-05-21,29
2022-05-22,22
2022-05-23,58
2022-05-24,55
2022-05-25,51
2022-05-26,53
2022-05-27,56
2022-05-28,31
2022-05-29,22
2022-05-30,24
2022-05-31,57
2022-06-01,61
2022-06-02,57
2022-06-03,51
2022-06-04,30
2022-06-05,23
2022-06-06,56
2022-06-07,59
2022-06-08,57
2022-06-09,49
2022-06-10,52
2022-06-11,29
2022-06-12,24
2022-06-13,58
2022-06-14,62
2022-06-15,62
2022-06-16,61
2022-06-17,55
2022-06-18,30
2022-06-19,22
2022-06-20,35
2022-06-21,59
2022-06-22,61
2022-06-23,57
2022-06-24,57
2022-06-25,31
2022-06-26,24
2022-06-27,52
2022-06-28,50
2022-06-29,53
2022-06-30,52
2022-07-01,53
2022-07-02,31
2022-07-03,22
2022-07-04,22
2022-07-05,57
2022-07-06,59
2022-07-07,61
2022-07-08,56
2022-07-09,30
2022-07-10,24
2022-07-11,52
2022-07-12,57
2022-07-13,53
2022-07-14,51
2022-07-15,51
2022-07-16,32
2022-07-17,25
2022-07-18,58
2022-07-19,64
2022-07-20,66
2022-07-21,63
2022-07-22,57
2022-07-23,32
2022-07-24,24
2022-07-25,53
2022-07-26,59
2022-07-27,60
2022-07-28,71
2022-07-29,73
2022-07-30,35
2022-07-31,30
2022-08-01,64
2022-08-02,63
2022-08-03,63
2022-08-04,66
2022-08-05,59
2022-08-06,32
2022-08-07,27
2022-08-08,62
2022-08-09,61
2022-08-10,70
2022-08-11,69
2022-08-12,63
2022-08-13,34
2022-08-14,28
2022-08-15,63
2022-08-16,68
2022-08-17,60
2022-08-18,58
2022-08-19,56
2022-08-20,31
2022-08-21,25
2022-08-22,52
2022-08-23,56
2022-08-24,55
2022-08-25,57
2022-08-26,53
2022-08-27,29
2022-08-28,24
2022-08-29,50
2022-08-30,54
2022-08-31,55
2022-09-01,54
2022-09-02,51
2022-09-03,28
2022-09-04,21
2022-09-05,24
2022-09-06,48
2022-09-07,54
2022-09-08,52
2022-09-09,53
2022-09-10,30
2022-09-11,22
2022-09-12,54
2022-09-13,58
2022-09-14,55
2022-09-15,51
2022-09-16,46
2022-09-17,28
2022-09-18,22
2022-09-19,49
2022-09-20,52
2022-09-21,51
2022-09-22,51
2022-09-23,52
2022-09-24,29
2022-09-25,22
2022-09-26,47
2022-09-27,51
