Time,fidelity
2023-12-22,73
2023-12-23,40
2023-12-24,28
2023-12-25,25
2023-12-26,70
2023-12-27,82
2023-12-28,86
2023-12-29,79
2023-12-30,47
2023-12-31,36
2024-01-01,40
2024-01-02,87
2024-01-03,90
2024-01-04,84
2024-01-05,77
2024-01-06,44
2024-01-07,34
2024-01-08,71
2024-01-09,77
2024-01-10,81
2024-01-11,79
2024-01-12,75
2024-01-13,42
2024-01-14,33
2024-01-15,40
2024-01-16,66
2024-01-17,73
2024-01-18,71
2024-01-19,78
2024-01-20,54
2024-01-21,37
2024-01-22,79
2024-01-23,81
2024-01-24,79
2024-01-25,83
2024-01-26,76
2024-01-27,47
2024-01-28,38
2024-01-29,74
2024-01-30,82
2024-01-31,76
2024-02-01,82
2024-02-02,92
2024-02-03,58
2024-02-04,41
2024-02-05,74
2024-02-06,75
2024-02-07,78
2024-02-08,78
2024-02-09,78
2024-02-10,52
2024-02-11,38
2024-02-12,68
2024-02-13,80
2024-02-14,73
2024-02-15,83
2024-02-16,82
2024-02-17,49
2024-02-18,40
2024-02-19,55
2024-02-20,72
2024-02-21,75
2024-02-22,82
2024-02-23,81
2024-02-24,54
2024-02-25,43
2024-02-26,74
2024-02-27,81
2024-02-28,77
2024-02-29,80
2024-03-01,90
2024-03-02,58
2024-03-03,43
2024-03-04,81
2024-03-05,83
2024-03-06,82
2024-03-07,83
2024-03-08,84
2024-03-09,50
2024-03-10,39
2024-03-11,74
2024-03-12,85
2024-03-13,79
2024-03-14,74
2024-03-15,70
2024-03-16,46
2024-03-17,38
2024-03-18,74
2024-03-19,78
2024-03-20,80
2024-03-21,82
2024-03-22,76
2024-03-23,48
2024-03-24,37
2024-03-25,76
2024-03-26,71
2024-03-27,81
2024-03-28,80
2024-03-29,62
2024-03-30,39
2024-03-31,39
2024-04-01,80
2024-04-02,84
2024-04-03,74
2024-04-04,77
2024-04-05,77
2024-04-06,47
2024-04-07,38
2024-04-08,67
2024-04-09,72
2024-04-10,77
2024-04-11,74
2024-04-12,74
2024-04-13,45
2024-04-14,42
2024-04-15,76
2024-04-16,67
2024-04-17,61
2024-04-18,58
2024-04-19,57
2024-04-20,33
2024-04-21,27
2024-04-22,60
2024-04-23,67
2024-04-24,64
2024-04-25,58
2024-04-26,58
2024-04-27,35
2024-04-28,29
2024-04-29,62
2024-04-30,65
2024-05-01,63
2024-05-02,61
2024-05-03,64
2024-05-04,37
2024-05-05,30
2024-05-06,64
2024-05-07,65
2024-05-08,61
2024-05-09,62
2024-05-10,63
2024-05-11,37
2024-05-12,28
2024-05-13,67
2024-05-14,72
2024-05-15,77
2024-05-16,79
2024-05-17,71
2024-05-18,44
2024-05-19,32
2024-05-20,65
2024-05-21,69
2024-05-22,67
2024-05-23,68
2024-05-24,66
2024-05-25,38
2024-05-26,24
2024-05-27,31
2024-05-28,68
2024-05-29,69
2024-05-30,67
2024-05-31,67
2024-06-01,41
2024-06-02,31
2024-06-03,71
2024-06-04,71
2024-06-05,76
2024-06-06,73
2024-06-07,70
2024-06-08,41
2024-06-09,31
2024-06-10,71
2024-06-11,73
2024-06-12,74
2024-06-13,76
2024-06-14,68
2024-06-15,37
2024-06-16,28
2024-06-17,70
2024-06-18,74
2024-06-19,54
2024-06-20,66
2024-06-21,65
2024-06-22,35
2024-06-23,29
2024-06-24,67
2024-06-25,69
2024-06-26,67
2024-06-27,65
2024-06-28,66
2024-06-29,46
2024-06-30,31
2024-07-01,73
2024-07-02,77
2024-07-03,69
2024-07-04,36
2024-07-05,55
2024-07-06,40
2024-07-07,30
2024-07-08,72
2024-07-09,76
2024-07-10,76
2024-07-11,76
2024-07-12,73
2024-07-13,37
2024-07-14,30
2024-07-15,73
2024-07-16,81
2024-07-17,81
2024-07-18,72
2024-07-19,65
2024-07-20,35
2024-07-21,31
2024-07-22,68
2024-07-23,73
2024-07-24,69
2024-07-25,69
2024-07-26,67
2024-07-27,41
2024-07-28,31
2024-07-29,63
2024-07-30,70
2024-07-31,76
2024-08-01,73
2024-08-02,72
2024-08-03,38
2024-08-04,30
2024-08-05,100
2024-08-06,82
2024-08-07,72
2024-08-08,70
2024-08-09,70
2024-08-10,39
2024-08-11,30
2024-08-12,64
2024-08-13,75
2024-08-14,71
2024-08-15,77
2024-08-16,73
2024-08-17,43
2024-08-18,33
2024-08-19,72
2024-08-20,77
2024-08-21,71
2024-08-22,69
2024-08-23,72
2024-08-24,47
2024-08-25,36
2024-08-26,69
2024-08-27,75
2024-08-28,69
2024-08-29,69
2024-08-30,70
2024-08-31,41
2024-09-01,33
2024-09-02,37
2024-09-03,74
2024-09-04,75
2024-09-05,80
2024-09-06,77
2024-09-07,38
2024-09-08,33
2024-09-09,67
2024-09-10,76
2024-09-11,67
2024-09-12,71
2024-09-13,69
2024-09-14,42
2024-09-15,29
2024-09-16,65
