Time,fidelity
2022-08-29,61
2022-08-30,66
2022-08-31,67
2022-09-01,65
2022-09-02,62
2022-09-03,34
2022-09-04,25
2022-09-05,29
2022-09-06,58
2022-09-07,65
2022-09-08,63
2022-09-09,64
2022-09-10,36
2022-09-11,27
2022-09-12,65
2022-09-13,70
2022-09-14,67
2022-09-15,61
2022-09-16,56
2022-09-17,34
2022-09-18,26
2022-09-19,60
2022-09-20,63
2022-09-21,62
2022-09-22,62
2022-09-23,63
2022-09-24,35
2022-09-25,27
2022-09-26,56
2022-09-27,61
2022-09-28,61
2022-09-29,64
2022-09-30,58
2022-10-01,37
2022-10-02,31
2022-10-03,74
2022-10-04,79
2022-10-05,74
2022-10-06,61
2022-10-07,57
2022-10-08,35
2022-10-09,29
2022-10-10,57
2022-10-11,61
2022-10-12,63
2022-10-13,64
2022-10-14,64
2022-10-15,34
2022-10-16,28
2022-10-17,66
2022-10-18,67
2022-10-19,66
2022-10-20,62
2022-10-21,60
2022-10-22,39
2022-10-23,28
2022-10-24,66
2022-10-25,71
2022-10-26,69
2022-10-27,69
2022-10-28,73
2022-10-29,41
2022-10-30,29
2022-10-31,60
2022-11-01,71
2022-11-02,67
2022-11-03,67
2022-11-04,71
2022-11-05,36
2022-11-06,31
2022-11-07,66
2022-11-08,70
2022-11-09,63
2022-11-10,78
2022-11-11,78
2022-11-12,41
2022-11-13,32
2022-11-14,68
2022-11-15,75
2022-11-16,70
2022-11-17,66
2022-11-18,67
2022-11-19,39
2022-11-20,29
2022-11-21,58
2022-11-22,65
2022-11-23,62
2022-11-24,30
2022-11-25,37
2022-11-26,32
2022-11-27,31
2022-11-28,55
2022-11-29,61
2022-11-30,71
2022-12-01,79
2022-12-02,69
2022-12-03,42
2022-12-04,30
2022-12-05,61
2022-12-06,65
2022-12-07,61
2022-12-08,68
2022-12-09,61
2022-12-10,37
2022-12-11,29
2022-12-12,67
2022-12-13,72
2022-12-14,69
2022-12-15,67
2022-12-16,64
2022-12-17,37
2022-12-18,26
2022-12-19,59
2022-12-20,61
2022-12-21,65
2022-12-22,61
2022-12-23,48
2022-12-24,32
2022-12-25,21
2022-12-26,34
2022-12-27,62
2022-12-28,76
2022-12-29,70
2022-12-30,72
2022-12-31,43
2023-01-01,33
2023-01-02,49
2023-01-03,74
2023-01-04,86
2023-01-05,83
2023-01-06,80
2023-01-07,47
2023-01-08,35
2023-01-09,74
2023-01-10,80
2023-01-11,80
2023-01-12,79
2023-01-13,81
2023-01-14,51
2023-01-15,34
2023-01-16,44
2023-01-17,81
2023-01-18,80
2023-01-19,75
2023-01-20,79
2023-01-21,50
2023-01-22,34
2023-01-23,85
2023-01-24,86
2023-01-25,78
2023-01-26,83
2023-01-27,83
2023-01-28,52
2023-01-29,39
2023-01-30,74
2023-01-31,91
2023-02-01,99
2023-02-02,98
2023-02-03,100
2023-02-04,55
2023-02-05,44
2023-02-06,82
2023-02-07,88
2023-02-08,85
2023-02-09,79
2023-02-10,75
2023-02-11,55
2023-02-12,38
2023-02-13,75
2023-02-14,82
2023-02-15,86
2023-02-16,81
2023-02-17,80
2023-02-18,52
2023-02-19,40
2023-02-20,53
2023-02-21,78
2023-02-22,80
2023-02-23,80
2023-02-24,77
2023-02-25,50
2023-02-26,43
2023-02-27,82
2023-02-28,82
2023-03-01,82
2023-03-02,78
2023-03-03,77
2023-03-04,55
2023-03-05,43
2023-03-06,77
2023-03-07,79
2023-03-08,77
2023-03-09,77
2023-03-10,81
2023-03-11,54
2023-03-12,44
2023-03-13,88
2023-03-14,91
2023-03-15,86
2023-03-16,82
2023-03-17,79
2023-03-18,46
2023-03-19,41
2023-03-20,84
2023-03-21,86
2023-03-22,81
2023-03-23,80
2023-03-24,74
2023-03-25,45
2023-03-26,43
2023-03-27,76
2023-03-28,79
2023-03-29,77
2023-03-30,81
2023-03-31,87
2023-04-01,56
2023-04-02,45
2023-04-03,88
2023-04-04,89
2023-04-05,83
2023-04-06,80
2023-04-07,71
2023-04-08,43
2023-04-09,37
2023-04-10,83
2023-04-11,89
2023-04-12,82
2023-04-13,84
2023-04-14,84
2023-04-15,52
2023-04-16,45
2023-04-17,83
2023-04-18,87
2023-04-19,84
2023-04-20,70
2023-04-21,69
2023-04-22,41
2023-04-23,34
2023-04-24,68
2023-04-25,72
2023-04-26,74
2023-04-27,72
2023-04-28,73
2023-04-29,44
2023-04-30,37
2023-05-01,76
2023-05-02,74
2023-05-03,70
2023-05-04,70
2023-05-05,70
2023-05-06,42
2023-05-07,32
2023-05-08,65
2023-05-09,69
2023-05-10,65
2023-05-11,68
2023-05-12,66
2023-05-13,43
2023-05-14,28
2023-05-15,72
2023-05-16,75
2023-05-17,68
2023-05-18,74
2023-05-19,68
2023-05-20,39
2023-05-21,31
2023-05-22,68
2023-05-23,72
2023-05-24,64
2023-05-25,73
