Time,fidelity
2023-04-26,67
2023-04-27,66
2023-04-28,67
2023-04-29,40
2023-04-30,34
2023-05-01,70
2023-05-02,68
2023-05-03,64
2023-05-04,64
2023-05-05,64
2023-05-06,38
2023-05-07,30
2023-05-08,59
2023-05-09,64
2023-05-10,60
2023-05-11,62
2023-05-12,60
2023-05-13,39
2023-05-14,26
2023-05-15,66
2023-05-16,68
2023-05-17,62
2023-05-18,68
2023-05-19,62
2023-05-20,36
2023-05-21,29
2023-05-22,62
2023-05-23,66
2023-05-24,58
2023-05-25,67
2023-05-26,67
2023-05-27,38
2023-05-28,27
2023-05-29,33
2023-05-30,67
2023-05-31,71
2023-06-01,76
2023-06-02,81
2023-06-03,48
2023-06-04,38
2023-06-05,71
2023-06-06,76
2023-06-07,76
2023-06-08,71
2023-06-09,71
2023-06-10,37
2023-06-11,29
2023-06-12,73
2023-06-13,84
2023-06-14,76
2023-06-15,80
2023-06-16,78
2023-06-17,38
2023-06-18,29
2023-06-19,45
2023-06-20,71
2023-06-21,72
2023-06-22,65
2023-06-23,65
2023-06-24,34
2023-06-25,30
2023-06-26,65
2023-06-27,71
2023-06-28,72
2023-06-29,72
2023-06-30,82
2023-07-01,45
2023-07-02,35
2023-07-03,66
2023-07-04,40
2023-07-05,71
2023-07-06,81
2023-07-07,73
2023-07-08,40
2023-07-09,32
2023-07-10,71
2023-07-11,77
2023-07-12,77
2023-07-13,86
2023-07-14,87
2023-07-15,43
2023-07-16,33
2023-07-17,80
2023-07-18,86
2023-07-19,87
2023-07-20,78
2023-07-21,74
2023-07-22,38
2023-07-23,35
2023-07-24,73
2023-07-25,79
2023-07-26,78
2023-07-27,75
2023-07-28,76
2023-07-29,48
2023-07-30,36
2023-07-31,76
2023-08-01,81
2023-08-02,75
2023-08-03,74
2023-08-04,72
2023-08-05,38
2023-08-06,31
2023-08-07,73
2023-08-08,73
2023-08-09,70
2023-08-10,68
2023-08-11,66
2023-08-12,38
2023-08-13,31
2023-08-14,67
2023-08-15,76
2023-08-16,65
2023-08-17,66
2023-08-18,59
2023-08-19,35
2023-08-20,29
2023-08-21,70
2023-08-22,69
2023-08-23,68
2023-08-24,65
2023-08-25,58
2023-08-26,36
2023-08-27,29
2023-08-28,59
2023-08-29,68
2023-08-30,80
2023-08-31,68
2023-09-01,67
2023-09-02,37
2023-09-03,30
2023-09-04,33
2023-09-05,67
2023-09-06,71
2023-09-07,62
2023-09-08,57
2023-09-09,36
2023-09-10,28
2023-09-11,62
2023-09-12,64
2023-09-13,64
2023-09-14,69
2023-09-15,62
2023-09-16,35
2023-09-17,27
2023-09-18,65
2023-09-19,66
2023-09-20,61
2023-09-21,54
2023-09-22,55
2023-09-23,33
2023-09-24,28
2023-09-25,58
2023-09-26,61
2023-09-27,59
2023-09-28,57
2023-09-29,59
2023-09-30,35
2023-10-01,30
2023-10-02,62
2023-10-03,67
2023-10-04,69
2023-10-05,65
2023-10-06,66
2023-10-07,34
2023-10-08,27
2023-10-09,57
2023-10-10,65
2023-10-11,64
2023-10-12,63
2023-10-13,56
2023-10-14,34
2023-10-15,30
2023-10-16,64
2023-10-17,67
2023-10-18,61
2023-10-19,61
2023-10-20,55
2023-10-21,36
2023-10-22,28
2023-10-23,58
2023-10-24,63
2023-10-25,61
2023-10-26,56
2023-10-27,55
2023-10-28,30
2023-10-29,26
2023-10-30,58
2023-10-31,64
2023-11-01,69
2023-11-02,71
2023-11-03,74
2023-11-04,41
2023-11-05,33
2023-11-06,68
2023-11-07,71
2023-11-08,67
2023-11-09,63
2023-11-10,62
2023-11-11,39
2023-11-12,30
2023-11-13,62
2023-11-14,75
2023-11-15,83
2023-11-16,72
2023-11-17,69
2023-11-18,38
2023-11-19,28
2023-11-20,66
2023-11-21,73
2023-11-22,66
2023-11-23,35
2023-11-24,40
2023-11-25,36
2023-11-26,31
2023-11-27,65
2023-11-28,77
2023-11-29,75
2023-11-30,73
2023-12-01,86
2023-12-02,49
2023-12-03,32
2023-12-04,70
2023-12-05,74
2023-12-06,74
2023-12-07,73
2023-12-08,75
2023-12-09,45
2023-12-10,30
2023-12-11,69
2023-12-12,78
2023-12-13,83
2023-12-14,100
2023-12-15,88
2023-12-16,47
2023-12-17,34
2023-12-18,74
2023-12-19,87
2023-12-20,90
2023-12-21,81
2023-12-22,81
2023-12-23,44
2023-12-24,31
2023-12-25,27
2023-12-26,77
2023-12-27,91
2023-12-28,95
2023-12-29,88
2023-12-30,51
2023-12-31,40
2024-01-01,44
2024-01-02,96
2024-01-03,100
2024-01-04,93
2024-01-05,85
2024-01-06,48
2024-01-07,37
2024-01-08,79
2024-01-09,85
2024-01-10,89
2024-01-11,88
2024-01-12,83
2024-01-13,46
2024-01-14,36
2024-01-15,44
2024-01-16,73
2024-01-17,80
2024-01-18,78
2024-01-19,86
2024-01-20,60
